reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180002f6c	0x1800923e8	import	0x180002f30	KERNEL32.dll.LoadLibraryA
0x180002f7f	0x1800bc850	string	0x180002f30	IEIsProtectedModeProcess
0x180002f89	0x1800923f0	import	0x180002f30	KERNEL32.dll.GetProcAddress
0x180002fe1	0x180092408	import	0x180002f30	KERNEL32.dll.FreeLibrary
0x180003323	0x180007410	string	0x180003210	@SVWH
0x180003434	0x180007530	string	0x180003210	@UVATH
0x18000349d	0x1800bcad8	string	0x180003210	%s(%d):
0x180003533	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x1800035c9	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x1800035fe	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x18000368e	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x18000372f	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x180003754	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x180003776	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x180003798	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x1800037ba	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x180003840	0x1800bcae8	string	0x1800034e0	..\..\CommonFile\sm2\sm2.c
0x180003997	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x1800039f5	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003a48	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003c07	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003c2c	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003c51	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003c76	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003c9b	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003cbd	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003ce4	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003d11	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003d5a	0x1800bcae8	string	0x180003870	..\..\CommonFile\sm2\sm2.c
0x180003e00	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180003e8a	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180003ebf	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180003f50	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180003f86	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180003fb8	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180004004	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x18000405a	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180004099	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x1800040fe	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180004148	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180004184	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x1800041bf	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x18000420a	0x1800bcae8	string	0x180003d90	..\..\CommonFile\sm2\sm2.c
0x180004356	0x1800bcb08	string	0x180004340	haha
0x1800049ca	0x1800bcae8	string	0x180004340	..\..\CommonFile\sm2\sm2.c
0x180004bba	0x180003210	string	0x180004a00	@SVWATAUAVAWH
0x18000519b	0x180003210	string	0x180005040	@SVWATAUAVAWH
0x180005214	0x180007410	string	0x180005040	@SVWH
0x18000534e	0x180007530	string	0x180005040	@UVATH
0x180005eb4	0x180003210	string	0x180005db0	@SVWATAUAVAWH
0x180005f1e	0x180007410	string	0x180005db0	@SVWH
0x18000607f	0x180007530	string	0x180005db0	@UVATH
0x180006186	0x1800058d0	string	0x1800060d0	@SUVAWH
0x1800061ad	0x180005db0	string	0x1800060d0	@SVWH
0x18000625f	0x1800bc8b0	string	0x180006200	1.2.156.10197.1.301
0x18000626f	0x1800bc880	string	0x180006200	sha-sm2
