reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001004	0x1400475f0	import	0x140001000	KERNEL32.dll.GetLastError
0x14000102f	0x1400475f8	import	0x140001000	KERNEL32.dll.FormatMessageA
0x14000103a	0x140047608	import	0x140001000	KERNEL32.dll.LocalFree
0x140001069	0x1400478f0	import	0x140001050	USER32.dll.PeekMessageA
0x140001078	0x1400478e8	import	0x140001050	USER32.dll.TranslateMessage
0x140001083	0x1400478e0	import	0x140001050	USER32.dll.DispatchMessageA
0x14000109e	0x1400478f0	import	0x140001050	USER32.dll.PeekMessageA
0x140001107	0x1400475d0	import	0x1400010b0	KERNEL32.dll.CreateProcessA
0x140001119	0x1400475d8	import	0x1400010b0	KERNEL32.dll.WaitForSingleObject
0x14000112c	0x1400475e0	import	0x1400010b0	KERNEL32.dll.GetExitCodeProcess
0x140001137	0x1400475e8	import	0x1400010b0	KERNEL32.dll.CloseHandle
0x1400011a8	0x1400475b8	import	0x140001190	KERNEL32.dll.LoadResource
0x1400011cb	0x1400475c0	import	0x140001190	KERNEL32.dll.LockResource
0x1400011df	0x1400475c8	import	0x140001190	KERNEL32.dll.SizeofResource
0x1400015d8	0x140031290	string	0x140001590	H;\r)
0x14000161d	0x1400475b0	import	0x1400015f0	KERNEL32.dll.FindResourceA
0x140001674	0x1400475a8	import	0x1400015f0	KERNEL32.dll.WideCharToMultiByte
0x1400016be	0x1400475a8	import	0x1400015f0	KERNEL32.dll.WideCharToMultiByte
0x14000222b	0x140047d60	string	0x140001ee0	HKEY_LOCAL_MACHINE
0x14000226a	0x140047d48	string	0x140001ee0	HKEY_CURRENT_USER
0x140002296	0x140047d30	string	0x140001ee0	HKEY_CLASSES_ROOT
0x1400022c2	0x140047d20	string	0x140001ee0	HKEY_USERS
0x140002420	0x140047040	import	0x140001ee0	ADVAPI32.dll.RegOpenKeyExA
0x140002480	0x140047048	import	0x140001ee0	ADVAPI32.dll.RegQueryValueExA
0x1400024b1	0x140047050	import	0x140001ee0	ADVAPI32.dll.RegCloseKey
0x140002502	0x140047d48	string	0x140001ee0	HKEY_CURRENT_USER
0x140002521	0x140047d60	string	0x140001ee0	HKEY_LOCAL_MACHINE
0x140002528	0x140047d48	string	0x140001ee0	HKEY_CURRENT_USER
0x140002551	0x140001ee0	string	0x140001ee0	@SUVWH
0x140002695	0x140031290	string	0x140001ee0	H;\r)
0x140002959	0x140047d60	string	0x1400026b0	HKEY_LOCAL_MACHINE
0x140002980	0x140047d48	string	0x1400026b0	HKEY_CURRENT_USER
