reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40102c	0x408204	import	0x401000	USER32.dll.DefWindowProcA
0x401047	0x408208	import	0x401000	USER32.dll.BeginPaint
0x40105b	0x40820c	import	0x401000	USER32.dll.GetClientRect
0x401068	0x408060	import	0x401000	GDI32.dll.DeleteObject
0x4010cf	0x40805c	import	0x401000	GDI32.dll.CreateBrushIndirect
0x4010e4	0x408210	import	0x401000	USER32.dll.FillRect
0x401105	0x408058	import	0x401000	GDI32.dll.CreateFontIndirectA
0x401126	0x408054	import	0x401000	GDI32.dll.SetBkMode
0x401130	0x408050	import	0x401000	GDI32.dll.SetTextColor
0x401139	0x40804c	import	0x401000	GDI32.dll.SelectObject
0x401156	0x408268	import	0x401000	USER32.dll.DrawTextA
0x40116e	0x40826c	import	0x401000	USER32.dll.EndPaint
0x4013e4	0x408144	import	0x401389	KERNEL32.dll.MulDiv
0x4013f4	0x408200	import	0x401389	USER32.dll.SendMessageA
0x4014ac	0x408278	import	0x401434	USER32.dll.PostQuitMessage
0x4014e9	0x40808c	import	0x401434	KERNEL32.dll.Sleep
0x4014f7	0x408244	import	0x401434	USER32.dll.SetForegroundWindow
0x401575	0x408248	import	0x401434	USER32.dll.ShowWindow
0x4015a8	0x4080b4	import	0x401434	KERNEL32.dll.SetFileAttributesA
0x40160d	0x4080fc	import	0x401434	KERNEL32.dll.GetFileAttributesA
0x40163c	0x408100	import	0x401434	KERNEL32.dll.SetCurrentDirectoryA
0x401685	0x408104	import	0x401434	KERNEL32.dll.MoveFileA
0x4016ce	0x408108	import	0x401434	KERNEL32.dll.GetFullPathNameA
0x401714	0x40810c	import	0x401434	KERNEL32.dll.GetShortPathNameA
0x401733	0x408110	import	0x401434	KERNEL32.dll.SearchPathA
0x4017c2	0x4080f4	import	0x401434	KERNEL32.dll.CompareFileTime
0x4018bb	0x4080f8	import	0x401434	KERNEL32.dll.SetFileTime
0x4018c4	0x408114	import	0x401434	KERNEL32.dll.CloseHandle
0x401a04	0x408118	import	0x401434	KERNEL32.dll.lstrcmpiA
0x401a16	0x408124	import	0x401434	KERNEL32.dll.lstrcmpA
0x401a31	0x408160	import	0x401434	KERNEL32.dll.ExpandEnvironmentStringsA
0x401a44	0x408124	import	0x401434	KERNEL32.dll.lstrcmpA
0x401b55	0x408274	import	0x401434	USER32.dll.wsprintfA
0x401bd2	0x40815c	import	0x401434	KERNEL32.dll.GlobalFree
0x401be4	0x408158	import	0x401434	KERNEL32.dll.GlobalAlloc
0x401c7a	0x408250	import	0x401434	USER32.dll.SendMessageTimeoutA
0x401c92	0x408200	import	0x401434	USER32.dll.SendMessageA
0x401cc0	0x408254	import	0x401434	USER32.dll.FindWindowExA
0x401ce5	0x408258	import	0x401434	USER32.dll.IsWindow
0x401d15	0x4081d0	import	0x401434	USER32.dll.GetDlgItem
0x401d36	0x40824c	import	0x401434	USER32.dll.SetWindowLongA
0x401d58	0x4081d0	import	0x401434	USER32.dll.GetDlgItem
0x401d9f	0x40820c	import	0x401434	USER32.dll.GetClientRect
0x401dcd	0x408234	import	0x401434	USER32.dll.LoadImageA
0x401ddd	0x408200	import	0x401434	USER32.dll.SendMessageA
0x401df4	0x408060	import	0x401434	GDI32.dll.DeleteObject
0x401e02	0x4081f0	import	0x401434	USER32.dll.GetDC
0x401e1c	0x408064	import	0x401434	GDI32.dll.GetDeviceCaps
0x401e24	0x408144	import	0x401434	KERNEL32.dll.MulDiv
0x401e35	0x4081f4	import	0x401434	USER32.dll.ReleaseDC
0x401e84	0x408058	import	0x401434	GDI32.dll.CreateFontIndirectA
0x401ead	0x408248	import	0x401434	USER32.dll.ShowWindow
0x401eb8	0x4081f8	import	0x401434	USER32.dll.EnableWindow
0x401f8d	0x408114	import	0x401434	KERNEL32.dll.CloseHandle
0x401ff9	0x408158	import	0x401434	KERNEL32.dll.GlobalAlloc
0x402095	0x408154	import	0x401434	KERNEL32.dll.GetModuleHandleA
0x4020a5	0x408150	import	0x401434	KERNEL32.dll.LoadLibraryExA
0x40211f	0x40814c	import	0x401434	KERNEL32.dll.FreeLibrary
0x4021ba	0x40828c	import	0x401434	ole32.dll.CoCreateInstance
0x402269	0x408148	import	0x401434	KERNEL32.dll.MultiByteToWideChar
0x402324	0x40817c	import	0x401434	SHELL32.dll.SHFileOperationA
0x40239c	0x408140	import	0x401434	KERNEL32.dll.WritePrivateProfileStringA
0x4023da	0x40813c	import	0x401434	KERNEL32.dll.GetPrivateProfileStringA
0x402409	0x408020	import	0x401434	ADVAPI32.dll.RegDeleteValueA
0x402412	0x408024	import	0x401434	ADVAPI32.dll.RegCloseKey
0x4024c5	0x408028	import	0x401434	ADVAPI32.dll.RegSetValueExA
0x40250a	0x40802c	import	0x401434	ADVAPI32.dll.RegQueryValueExA
0x40257e	0x408030	import	0x401434	ADVAPI32.dll.RegEnumKeyA
0x402591	0x408018	import	0x401434	ADVAPI32.dll.RegEnumValueA
0x4025a9	0x408024	import	0x401434	ADVAPI32.dll.RegCloseKey
0x4026d9	0x408138	import	0x401434	KERNEL32.dll.SetFilePointer
0x40270d	0x408138	import	0x401434	KERNEL32.dll.SetFilePointer
0x402730	0x408134	import	0x401434	KERNEL32.dll.FindClose
0x40274d	0x408130	import	0x401434	KERNEL32.dll.FindNextFileA
0x402774	0x40812c	import	0x401434	KERNEL32.dll.FindFirstFileA
0x4027eb	0x408158	import	0x401434	KERNEL32.dll.GlobalAlloc
0x40284c	0x40815c	import	0x401434	KERNEL32.dll.GlobalFree
0x40285f	0x40815c	import	0x401434	KERNEL32.dll.GlobalFree
0x402877	0x408114	import	0x401434	KERNEL32.dll.CloseHandle
0x40288b	0x408128	import	0x401434	KERNEL32.dll.DeleteFileA
0x4029a2	0x408200	import	0x401434	USER32.dll.SendMessageA
0x4029b2	0x4081fc	import	0x401434	USER32.dll.InvalidateRect
0x402c60	0x408030	import	0x402c2e	ADVAPI32.dll.RegEnumKeyA
0x402c9c	0x408024	import	0x402c2e	ADVAPI32.dll.RegCloseKey
0x402cbd	0x408024	import	0x402c2e	ADVAPI32.dll.RegCloseKey
0x402cd0	0x40801c	import	0x402c2e	ADVAPI32.dll.RegDeleteKeyA
0x402cf8	0x40823c	import	0x402cdd	USER32.dll.SetTimer
0x402d23	0x408144	import	0x402cdd	KERNEL32.dll.MulDiv
0x402d33	0x408274	import	0x402cdd	USER32.dll.wsprintfA
0x402d43	0x408240	import	0x402cdd	USER32.dll.SetWindowTextA
0x402d73	0x408270	import	0x402d60	USER32.dll.DestroyWindow
0x402d91	0x408090	import	0x402d60	KERNEL32.dll.GetTickCount
0x402dae	0x408238	import	0x402d60	USER32.dll.CreateDialogParamA
0x402dbc	0x408248	import	0x402d60	USER32.dll.ShowWindow
0x402dd5	0x408090	import	0x402dc4	KERNEL32.dll.GetTickCount
0x402df1	0x408078	import	0x402dc4	KERNEL32.dll.GetModuleFileNameA
0x402e3d	0x408074	import	0x402dc4	KERNEL32.dll.GetFileSize
0x402f73	0x408158	import	0x402dc4	KERNEL32.dll.GlobalAlloc
0x402fd9	0x408138	import	0x402dc4	KERNEL32.dll.SetFilePointer
0x40305c	0x408090	import	0x402ffb	KERNEL32.dll.GetTickCount
0x40310f	0x408144	import	0x402ffb	KERNEL32.dll.MulDiv
0x40311f	0x408274	import	0x402ffb	USER32.dll.wsprintfA
0x40320e	0x408138	import	0x403200	KERNEL32.dll.SetFilePointer
0x40373b	0x408114	import	0x403730	KERNEL32.dll.CloseHandle
0x40378f	0x40814c	import	0x403775	KERNEL32.dll.FreeLibrary
0x403796	0x40815c	import	0x403775	KERNEL32.dll.GlobalFree
0x4037de	0x408158	import	0x4037aa	KERNEL32.dll.GlobalAlloc
0x40390d	0x408118	import	0x40380a	KERNEL32.dll.lstrcmpiA
0x403918	0x4080fc	import	0x40380a	KERNEL32.dll.GetFileAttributesA
0x403961	0x408234	import	0x40380a	USER32.dll.LoadImageA
0x40399e	0x408218	import	0x40380a	USER32.dll.RegisterClassA
0x4039b6	0x40821c	import	0x40380a	USER32.dll.SystemParametersInfoA
0x4039eb	0x408220	import	0x40380a	USER32.dll.CreateWindowExA
0x403a21	0x408248	import	0x40380a	USER32.dll.ShowWindow
0x403a3f	0x408224	import	0x40380a	USER32.dll.GetClassInfoA
0x403a63	0x408218	import	0x40380a	USER32.dll.RegisterClassA
0x403a82	0x408228	import	0x40380a	USER32.dll.DialogBoxParamA
0x403b9d	0x408240	import	0x403b88	USER32.dll.SetWindowTextA
