reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001096	0x1002b038	import	0x10001060	KERNEL32.dll.CreateFileW
0x100010a8	0x1002b028	import	0x10001060	KERNEL32.dll.GetFileSize
0x100010ce	0x1002b030	import	0x10001060	KERNEL32.dll.ReadFile
0x10001103	0x1002b03c	import	0x10001060	KERNEL32.dll.CloseHandle
0x1000137d	0x100013b5	string	0x100012f0	;F\bu\a
0x10001386	0x100013b5	string	0x100012f0	;F\bu\a
0x10001514	0x1002d470	string	0x10001500	vector<T> too long
0x1000155e	0x1002d470	string	0x10001550	vector<T> too long
0x10001825	0x1002b010	import	0x10001810	ADVAPI32.dll.RegQueryValueExA
0x10001832	0x1002b004	import	0x10001810	ADVAPI32.dll.RegCloseKey
0x1000186a	0x1002b010	import	0x10001810	ADVAPI32.dll.RegQueryValueExA
0x10001875	0x1002b004	import	0x10001810	ADVAPI32.dll.RegCloseKey
0x100018b3	0x10030bf4	string	0x100018a0	kbdmai.dll
0x100018b8	0x1002b044	import	0x100018a0	KERNEL32.dll.CreateFileA
0x100018d2	0x1002b048	import	0x100018a0	KERNEL32.dll.SetFileTime
0x100018dd	0x1002b03c	import	0x100018a0	KERNEL32.dll.CloseHandle
0x100018e8	0x1002b03c	import	0x100018a0	KERNEL32.dll.CloseHandle
0x10001916	0x10030c24	string	0x10001900	kernel32.dll
0x1000191b	0x1002b044	import	0x10001900	KERNEL32.dll.CreateFileA
0x10001935	0x1002b064	import	0x10001900	KERNEL32.dll.GetFileTime
0x10001940	0x1002b03c	import	0x10001900	KERNEL32.dll.CloseHandle
0x1000194d	0x1002b03c	import	0x10001900	KERNEL32.dll.CloseHandle
0x10001985	0x1002b044	import	0x10001970	KERNEL32.dll.CreateFileA
0x100019a8	0x1002b04c	import	0x10001970	KERNEL32.dll.WriteFile
0x100019b3	0x1002b03c	import	0x10001970	KERNEL32.dll.CloseHandle
0x100019c0	0x1002b03c	import	0x10001970	KERNEL32.dll.CloseHandle
0x100019fb	0x1002b060	import	0x100019d0	KERNEL32.dll.CreateToolhelp32Snapshot
0x10001a16	0x1002b058	import	0x100019d0	KERNEL32.dll.Process32FirstW
0x10001a21	0x1002b03c	import	0x100019d0	KERNEL32.dll.CloseHandle
0x10001b9a	0x1002b05c	import	0x100019d0	KERNEL32.dll.Process32NextW
0x10001ba9	0x1002b03c	import	0x100019d0	KERNEL32.dll.CloseHandle
0x10001ca9	0x1002b0b0	import	0x10001bd0	KERNEL32.dll.WideCharToMultiByte
0x10001ccf	0x1002b0b0	import	0x10001bd0	KERNEL32.dll.WideCharToMultiByte
0x10001dae	0x1002b008	import	0x10001d40	ADVAPI32.dll.RegEnumValueW
0x10001dd1	0x1002b054	import	0x10001d40	KERNEL32.dll.lstrlenW
0x10001ef2	0x1002b008	import	0x10001d40	ADVAPI32.dll.RegEnumValueW
0x10001f06	0x1002b004	import	0x10001d40	ADVAPI32.dll.RegCloseKey
0x10001f69	0x10030bb0	string	0x10001f20	System
0x10001f73	0x10030bb8	string	0x10001f20	\Parameters
0x10001f78	0x10030bc4	string	0x10001f20	kbdmai
0x10001f82	0x10030bcc	string	0x10001f20	System\CurrentControlSet\Services
0x10001fa0	0x1002b00c	import	0x10001f20	ADVAPI32.dll.RegCreateKeyA
0x10002033	0x1002b0b0	import	0x10001f20	KERNEL32.dll.WideCharToMultiByte
0x1000205a	0x1002b0b0	import	0x10001f20	KERNEL32.dll.WideCharToMultiByte
0x100021c7	0x1002b050	import	0x100021a0	KERNEL32.dll.GetSystemDirectoryW
0x100021f4	0x10030bf4	string	0x100021a0	kbdmai.dll
0x10002256	0x10030d30	string	0x10002250	EntryPoint
0x100022f5	0x10030d30	string	0x10002250	EntryPoint
0x1000238d	0x1002b09c	import	0x10002350	KERNEL32.dll.LoadLibraryA
0x100023d1	0x1002b094	import	0x10002350	KERNEL32.dll.GetProcAddress
0x1000251a	0x1002b098	import	0x100024d0	KERNEL32.dll.VirtualAlloc
0x100025f1	0x1002b080	import	0x100024d0	KERNEL32.dll.VirtualFree
0x10002797	0x100027ab	string	0x10002620	+\$<
0x100027b4	0x1002b0a4	import	0x10002620	KERNEL32.dll.GetSystemInfo
0x100027e5	0x10030c08	string	0x10002620	%d %s
0x1000281c	0x1002b06c	import	0x10002620	KERNEL32.dll.GetComputerNameA
0x10002848	0x1002b19c	import	0x10002620	USER32.dll.IsWindowEnabled
0x1000287f	0x1002b034	import	0x10002620	KERNEL32.dll.GetModuleFileNameW
0x100028b4	0x10030c10	string	0x10002620	65524765_673.dat
0x100028b9	0x1002b088	import	0x10002620	KERNEL32.dll.GetFileAttributesA
0x100028c4	0x10030c10	string	0x10002620	65524765_673.dat
0x100028c9	0x1002b0ac	import	0x10002620	KERNEL32.dll.DeleteFileA
0x10002a0b	0x1002b08c	import	0x10002960	KERNEL32.dll.GetSystemDirectoryA
0x10002a40	0x10030bf4	string	0x10002960	kbdmai.dll
0x10002b7b	0x1002b040	import	0x10002af0	KERNEL32.dll.CreateThread
0x10002b87	0x1002b03c	import	0x10002af0	KERNEL32.dll.CloseHandle
0x10002bc4	0x10030bf4	string	0x10002bb0	kbdmai.dll
0x10002bc9	0x1002b044	import	0x10002bb0	KERNEL32.dll.CreateFileA
0x10002bde	0x1002b028	import	0x10002bb0	KERNEL32.dll.GetFileSize
0x10002bf7	0x1002b03c	import	0x10002bb0	KERNEL32.dll.CloseHandle
0x10002c1e	0x1002b030	import	0x10002bb0	KERNEL32.dll.ReadFile
0x10002c25	0x1002b03c	import	0x10002bb0	KERNEL32.dll.CloseHandle
0x10002d04	0x1002b060	import	0x10002cb0	KERNEL32.dll.CreateToolhelp32Snapshot
0x10002d2b	0x1002b074	import	0x10002cb0	KERNEL32.dll.Process32First
0x10002d3d	0x1002b0a0	import	0x10002cb0	KERNEL32.dll.Process32Next
0x10002d90	0x1002b07c	import	0x10002cb0	KERNEL32.dll.GetTickCount
0x10002e05	0x1002b03c	import	0x10002e00	KERNEL32.dll.CloseHandle
0x10002e40	0x10030bc4	string	0x10002e10	kbdmai
0x10002e45	0x10030bcc	string	0x10002e10	System\CurrentControlSet\Services
0x10002e50	0x10030c38	string	0x10002e10	%s\%s\Parameters
0x10002e56	0x1002b1a0	import	0x10002e10	USER32.dll.wsprintfA
0x10002e7a	0x1002b00c	import	0x10002e10	ADVAPI32.dll.RegCreateKeyA
0x10002e90	0x10030c4c	string	0x10002e10	info
0x10002f07	0x1002b00c	import	0x10002e10	ADVAPI32.dll.RegCreateKeyA
0x10002f39	0x10030c4c	string	0x10002e10	info
0x10002f3f	0x1002b014	import	0x10002e10	ADVAPI32.dll.RegSetValueExA
0x10002f4c	0x1002b004	import	0x10002e10	ADVAPI32.dll.RegCloseKey
0x10002f65	0x1002b00c	import	0x10002e10	ADVAPI32.dll.RegCreateKeyA
0x10002f7a	0x10030c54	string	0x10002e10	group
0x10003152	0x1000315a	string	0x100030e0	3ɍd$ blocks=Basic Latin,Latin Extended-B
0x100032e5	0x10030c5c	string	0x10003240	%d:%d:%d
0x100032ee	0x1002b1a0	import	0x10003240	USER32.dll.wsprintfA
0x100034bd	0x100034c6	string	0x10003420	+ƋЋE blocks=Basic Latin,Latin Extended-B,Cyrillic
0x10003b23	0x1002b0c8	import	0x10003af0	KERNEL32.dll.lstrlenA
0x10003b2b	0x1002b1cc	import	0x10003af0	WININET.dll.InternetCrackUrlA
0x10003b3d	0x1002b1bc	import	0x10003af0	WININET.dll.InternetAttemptConnect
0x10003b73	0x1002b1a8	import	0x10003af0	WININET.dll.InternetQueryOptionA
0x10003be7	0x1002b1ac	import	0x10003b90	WININET.dll.InternetCloseHandle
0x10003c13	0x10003c1e	string	0x10003b90	jjjjj
0x10003c28	0x1002b1b0	import	0x10003b90	WININET.dll.InternetOpenA
0x10003c48	0x1002b1c4	import	0x10003b90	WININET.dll.InternetSetOptionA
0x10003c8c	0x1002b1d0	import	0x10003b90	WININET.dll.InternetConnectA
0x10003c9f	0x1002b1c0	import	0x10003b90	WININET.dll.HttpOpenRequestA
