reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001096	0x1002701c	import	0x10001060	KERNEL32.dll.CreateFileW
0x100010a8	0x10027040	import	0x10001060	KERNEL32.dll.GetFileSize
0x100010ce	0x10027014	import	0x10001060	KERNEL32.dll.ReadFile
0x10001103	0x10027020	import	0x10001060	KERNEL32.dll.CloseHandle
0x10001277	0x100012fc	string	0x10001230	_^[]
0x100014ae	0x100141c0	string	0x100013a0	;\r@4
0x10001570	0x10027034	import	0x10001550	KERNEL32.dll.LoadLibraryA
0x10001576	0x10027030	import	0x10001550	KERNEL32.dll.GetProcAddress
0x1000157e	0x1002c598	string	0x10001550	RegQueryValueExA
0x1000159b	0x1002c5b4	string	0x10001550	%s%cC%c%se%ce%c
0x100015cb	0x1002c5d0	string	0x10001550	R%s%C%ce%sK%c%s
0x10001666	0x100141c0	string	0x10001550	;\r@4
0x100016ba	0x100141c0	string	0x10001550	;\r@4
0x100016f6	0x1002c5e0	string	0x100016e0	advapi32.dll
0x10001700	0x10027034	import	0x100016e0	KERNEL32.dll.LoadLibraryA
0x1000171b	0x1002c5f8	string	0x100016e0	R%c%cC%sa%ce%sy%c
0x10001728	0x10027030	import	0x100016e0	KERNEL32.dll.GetProcAddress
0x10001738	0x1002c60c	string	0x100016e0	RegSetValueExA
0x10001760	0x100141c0	string	0x100016e0	;\r@4
0x1000178b	0x100308e8	string	0x100016e0	info
0x10001799	0x10027004	import	0x100016e0	ADVAPI32.dll.RegCloseKey
0x100017a0	0x10027028	import	0x100016e0	KERNEL32.dll.FreeLibrary
0x100017b5	0x100141c0	string	0x100016e0	;\r@4
0x100017eb	0x1002c620	string	0x100017c0	%sn%cl%d%d.d%c%c
0x10001803	0x1002703c	import	0x100017c0	KERNEL32.dll.GetModuleHandleA
0x10001818	0x1002c63c	string	0x100017c0	Cr%s%s%ceFileA
0x10001825	0x10027030	import	0x100017c0	KERNEL32.dll.GetProcAddress
0x10001835	0x1002c64c	string	0x100017c0	CloseHandle
0x1000183f	0x1002c658	string	0x100017c0	SetFileTime
0x10001859	0x1002c774	string	0x100017c0	d3dadapter.dll
0x1000188a	0x100141c0	string	0x100017c0	;\r@4
0x100018a0	0x100141c0	string	0x100017c0	;\r@4
0x100018c6	0x1002c5e0	string	0x100018b0	advapi32.dll
0x100018cb	0x10027024	import	0x100018b0	KERNEL32.dll.CreateFileA
0x100018e5	0x10027044	import	0x100018b0	KERNEL32.dll.GetFileTime
0x100018f0	0x10027020	import	0x100018b0	KERNEL32.dll.CloseHandle
0x100018fd	0x10027020	import	0x100018b0	KERNEL32.dll.CloseHandle
0x10001929	0x1002c664	string	0x10001920	kernel32.dll
0x1000192e	0x1002703c	import	0x10001920	KERNEL32.dll.GetModuleHandleA
0x10001934	0x10027030	import	0x10001920	KERNEL32.dll.GetProcAddress
0x1000193c	0x1002c674	string	0x10001920	CreateFileA
0x10001944	0x1002c680	string	0x10001920	WriteFile
0x1000194e	0x1002c64c	string	0x10001920	CloseHandle
0x10001993	0x10027020	import	0x10001920	KERNEL32.dll.CloseHandle
0x100019a2	0x10027020	import	0x10001920	KERNEL32.dll.CloseHandle
0x100019ef	0x10027070	import	0x100019c0	KERNEL32.dll.CreateToolhelp32Snapshot
0x10001a06	0x1002702c	import	0x100019c0	KERNEL32.dll.Process32First
0x10001a11	0x10027020	import	0x100019c0	KERNEL32.dll.CloseHandle
0x10001a25	0x100141c0	string	0x100019c0	;\r@4
0x10001ab5	0x10027038	import	0x100019c0	KERNEL32.dll.Process32Next
0x10001ac4	0x10027020	import	0x100019c0	KERNEL32.dll.CloseHandle
0x10001ad8	0x100141c0	string	0x100019c0	;\r@4
0x10001c10	0x10027034	import	0x10001bf0	KERNEL32.dll.LoadLibraryA
0x10001c18	0x1002c664	string	0x10001bf0	kernel32.dll
0x10001c20	0x1002703c	import	0x10001bf0	KERNEL32.dll.GetModuleHandleA
0x10001c35	0x1002c690	string	0x10001bf0	RegCre%s%ce%s
0x10001c43	0x10027030	import	0x10001bf0	KERNEL32.dll.GetProcAddress
0x10001c70	0x1002c6ac	string	0x10001bf0	%Ce%c%s%c%sa%se%c
0x10001c85	0x1002c6c0	string	0x10001bf0	RegCloseKey
0x10001c93	0x1002c6cc	string	0x10001bf0	lstrlenA
0x10001cbb	0x100141c0	string	0x10001bf0	;\r@4
0x10001e55	0x10027004	import	0x10001bf0	ADVAPI32.dll.RegCloseKey
0x10001e5f	0x10027028	import	0x10001bf0	KERNEL32.dll.FreeLibrary
0x10001e6f	0x100141c0	string	0x10001bf0	;\r@4
0x10001ec2	0x1002c6e0	string	0x10001e80	d%d%cad%c%ser
0x10001ede	0x1002c6fc	string	0x10001e80	olSet
0x10001eea	0x1002c708	string	0x10001e80	tem\\Cur
0x10001ef4	0x1002c714	string	0x10001e80	S%cs%s%cen%sontr%s%s%cer%s%s
0x10001f0a	0x1002c734	string	0x10001e80	%s\%s\Parameters\System
0x10001f36	0x100141c0	string	0x10001e80	;\r@4
0x10001f88	0x100141c0	string	0x10001e80	;\r@4
0x10001fa9	0x10002070	string	0x10001fa0	SVhL
0x10002072	0x1002c74c	string	0x10002070	Kernel32.dll
0x10002077	0x1002703c	import	0x10002070	KERNEL32.dll.GetModuleHandleA
0x1000207d	0x1002c75c	string	0x10002070	GetSystemDirectoryW
0x10002083	0x10027030	import	0x10002070	KERNEL32.dll.GetProcAddress
0x100020e3	0x10011b60	string	0x10002070	SVWj
0x1000225b	0x1002c7cc	string	0x10002240	d3dadapter_2_22\src\check_error.c
0x10002260	0x1002c7f0	string	0x10002240	malloc of %u bytes failed:
0x10002278	0x1002c790	string	0x10002240	CK_DEFAULT_TIMEOUT
0x10002298	0x1002c7a4	string	0x10002240	CK_TIMEOUT_MULTIPLIER
0x100023c9	0x1002c7cc	string	0x100023b0	d3dadapter_2_22\src\check_error.c
0x100023ce	0x1002c7f0	string	0x100023b0	malloc of %u bytes failed:
0x10002403	0x1002c7cc	string	0x100023b0	d3dadapter_2_22\src\check_error.c
0x10002408	0x1002c7f0	string	0x100023b0	malloc of %u bytes failed:
0x10002449	0x1002c7cc	string	0x10002430	d3dadapter_2_22\src\check_error.c
0x1000244e	0x1002c7f0	string	0x10002430	malloc of %u bytes failed:
0x10002483	0x1002c7cc	string	0x10002430	d3dadapter_2_22\src\check_error.c
0x10002488	0x1002c7f0	string	0x10002430	malloc of %u bytes failed:
0x10002510	0x100141c0	string	0x100024b0	;\r@4
