reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010a0	0x423214	string	0x4010a0	RegCloseKey
0x4010b8	0x423258	string	0x4010b8	GetTokenInformation
0x4010f0	0x423204	string	0x4010f0	RegCreateKeyW
0x404ee4	0x423368	string	0x404ee4	LoadLibraryA
0x404f6c	0x423334	string	0x404eec	QueryPerformanceCounter
0x404f84	0x423328	string	0x404eec	ReadFile
0x404fa4	0x423318	string	0x404eec	SetErrorMode
0x404fc4	0x423308	string	0x404eec	SetLastError
0x404fd4	0x423300	string	0x404eec	Sleep
0x405034	0x4232d0	string	0x404eec	WaitForSingleObject
0x405044	0x423390	string	0x404eec	InitializeCriticalSection
0x40505c	0x4233ac	string	0x404eec	GetVolumeInformationW
0x40fdf0	0x4233e4	string	0x40fdf0	GetSystemTime
0x4113ac	0x4233f4	string	0x4113ac	GetStdHandle
