reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401051	0x402004	import	0x401042	KERNEL32.dll.VirtualAlloc
0x401066	0x402008	import	0x401059	KERNEL32.dll.VirtualFree
0x4015b9	0x401608	string	0x401565	a_^[]
0x4016d8	0x401000	string	0x401690	.data
0x4016e1	0x402014	import	0x401690	KERNEL32.dll.lstrcmpA
0x4016f9	0x402004	import	0x401690	KERNEL32.dll.VirtualAlloc
0x401756	0x40200c	import	0x401745	KERNEL32.dll.VirtualQuery
0x4017af	0x402004	import	0x401763	KERNEL32.dll.VirtualAlloc
0x4018be	0x402018	import	0x401763	KERNEL32.dll.LoadLibraryA
0x401920	0x402000	import	0x401763	KERNEL32.dll.GetProcAddress
0x40193d	0x402000	import	0x401763	KERNEL32.dll.GetProcAddress
0x401985	0x40201c	import	0x401763	KERNEL32.dll.GetModuleHandleA
0x4019cf	0x402010	import	0x401763	KERNEL32.dll.Sleep
