reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001ae5	0x10003513	string	0x10001aa9	USWV
0x10001f43	0x10003513	string	0x10001edf	USWV
0x10001f62	0x10003513	string	0x10001edf	USWV
0x10003865	0x10003513	string	0x10003513	USWV
0x10003d38	0x10003513	string	0x10003cd0	USWV
0x10003d57	0x10003513	string	0x10003cd0	USWV
0x10003d76	0x10003513	string	0x10003cd0	USWV
0x10004aac	0x10008524	string	0x10004a37	USW1
0x100057fe	0x10003513	string	0x100057a0	USWV
0x1000581d	0x10003513	string	0x100057a0	USWV
0x1000583c	0x10003513	string	0x100057a0	USWV
0x10007556	0x10019890	string	0x1000746c	SUVW
0x100075fb	0x10019890	string	0x1000746c	SUVW
0x10007721	0x10003513	string	0x100076fa	USWV
0x10007740	0x10003513	string	0x100076fa	USWV
0x1000775f	0x10003513	string	0x100076fa	USWV
0x10007828	0x100460b8	string	0x10007813	NLPJVUU
0x10007864	0x100460b8	string	0x10007813	NLPJVUU
0x1000786c	0x100460b8	string	0x10007813	NLPJVUU
0x10007881	0x100460b8	string	0x10007813	NLPJVUU
0x10008535	0x10002a0f	string	0x10008524	USW1
0x10009048	0x10019c40	string	0x10008614	SUVW
0x1000ad56	0x10003513	string	0x1000ad2f	USWV
0x1000ad75	0x10003513	string	0x1000ad2f	USWV
0x1000ad94	0x10003513	string	0x1000ad2f	USWV
0x1000b9b7	0x1000710b	string	0x1000b976	USW1
0x1001736c	0x10016f3e	string	0x100172f8	USWV1
0x10017382	0x10016f3e	string	0x100172f8	USWV1
0x10017393	0x10016f3e	string	0x100172f8	USWV1
0x100173bb	0x10016f3e	string	0x100172f8	USWV1
0x100174c3	0x1000c1d1	string	0x100172f8	USWV1
0x1001751f	0x10016f3e	string	0x100172f8	USWV1
0x1001754a	0x10016f3e	string	0x100172f8	USWV1
0x10017575	0x10016f3e	string	0x100172f8	USWV1
0x10017701	0x10003513	string	0x100176da	USWV
0x10017720	0x10003513	string	0x100176da	USWV
0x1001773f	0x10003513	string	0x100176da	USWV
0x1001775e	0x10003513	string	0x100176da	USWV
0x1001777d	0x10003513	string	0x100176da	USWV
0x1001779c	0x10003513	string	0x100176da	USWV
0x100177bb	0x10003513	string	0x100176da	USWV
0x100177da	0x10003513	string	0x100176da	USWV
0x1001787c	0x10003513	string	0x10017855	USWV
0x1001789b	0x10003513	string	0x10017855	USWV
0x100178ba	0x10003513	string	0x10017855	USWV
0x100178d9	0x10003513	string	0x10017855	USWV
0x100178f8	0x10003513	string	0x10017855	USWV
0x10017917	0x10003513	string	0x10017855	USWV
0x10017936	0x10003513	string	0x10017855	USWV
0x10017955	0x10003513	string	0x10017855	USWV
0x10017974	0x10003513	string	0x10017855	USWV
0x10017993	0x10003513	string	0x10017855	USWV
0x100179b2	0x10003513	string	0x10017855	USWV
0x100179d1	0x10003513	string	0x10017855	USWV
0x100179f0	0x10003513	string	0x10017855	USWV
0x10017a0f	0x10003513	string	0x10017855	USWV
0x10017a2e	0x10003513	string	0x10017855	USWV
0x10017a4d	0x10003513	string	0x10017855	USWV
0x10017a6c	0x10003513	string	0x10017855	USWV
0x10018351	0x10016f3e	string	0x10018271	USWV1
0x1001835f	0x10016f3e	string	0x10018271	USWV1
0x100185e4	0x1000c1d1	string	0x10018271	USWV1
0x10018678	0x10016f3e	string	0x10018271	USWV1
0x10018693	0x1000c1d1	string	0x10018271	USWV1
0x100186bd	0x10016f3e	string	0x10018271	USWV1
