reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140126100	0x140126145	string	0x140125ee2	\f|,?]
0x1401267fe	0x14013a85e	string	0x140125ee2	8̀?# blocks=Basic Latin,Combining Diacritical Marks
0x140126db0	0x140126de5	string	0x140125ee2	9TaL
0x140127186	0x140127170	string	0x140125ee2	&(fؾ blocks=Basic Latin,Arabic
0x14012739d	0x1401273a5	string	0x140125ee2	N^t|6
0x140127430	0x1401274ae	string	0x140125ee2	htm|
0x1401275f7	0x1401275ec	string	0x140125ee2	J<p
0x1401275fe	0x14012766f	string	0x140125ee2	p@|~
0x140127689	0x1401276cd	string	0x140125ee2	|@Dp|
0x1401276cc	0x14012774a	string	0x140125ee2	.nON
0x140128cac	0x140128cff	string	0x140128978	KM.X
0x140135b59	0x140135b16	string	0x14013526b	769n
0x140135e2b	0x140135e6e	string	0x14013526b	qnbVG
0x140136422	0x14013648a	string	0x14013526b	eiZT
0x140136536	0x140136563	string	0x14013526b	%uQ\t
0x140136a7f	0x140136a9b	string	0x14013526b	/ $H
0x140136eec	0x140136f5a	string	0x14013526b	;WiZ
0x140137386	0x1401373e7	string	0x14013526b	gϿ&Q blocks=Basic Latin,Greek and Coptic
0x140137896	0x14013788b	string	0x14013526b	ڳ5܉j\t? blocks=Basic Latin,Arabic,Syriac
0x140137b85	0x140137b82	string	0x14013526b	v*t{
0x1401387d4	0x14013880f	string	0x14013526b	Xוr$M blocks=Basic Latin,Hebrew
0x14022dbd4	0x1401320b0	import	0x14022dab9	KERNEL32.dll.LoadLibraryA
0x14022df1b	0x14022df57	string	0x14022dab9	imYZ
