reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001021	0x1400328f0	import	0x140001000	KERNEL32.dll.Sleep
0x140001043	0x1400323d4	string	0x140001000	195.133.18.27
0x14000104e	0x140032870	import	0x140001000	KERNEL32.dll.CreateMutexA
0x140001054	0x140032890	import	0x140001000	KERNEL32.dll.GetLastError
0x140001061	0x1400323d4	string	0x140001000	195.133.18.27
0x14000107c	0x14000a8a0	string	0x140001000	AWAVAUATVWUSH
0x140001084	0x14000dbc0	string	0x140001000	UAWAVAUATVWSH
0x14000108d	0x14000b290	string	0x140001000	AWAVATVWSH
0x1400010a0	0x140032a68	import	0x140001000	api-ms-win-crt-runtime-l1-1-0.dll.exit
0x1400010c6	0x14000b290	string	0x140001000	AWAVATVWSH
0x140001236	0x1400017ba	string	0x1400010e0	=,GK
0x140001264	0x140032ac8	import	0x1400010e0	api-ms-win-crt-utility-l1-1-0.dll.srand
0x14000126a	0x140032ac0	import	0x1400010e0	api-ms-win-crt-utility-l1-1-0.dll.rand
0x140001285	0x1400013b2	string	0x1400010e0	=B%d
0x140001593	0x1400019fd	string	0x1400010e0	=s1\v
0x1400015dd	0x140001a1d	string	0x1400010e0	=c\eNu
0x14000165b	0x14000209c	string	0x1400010e0	=C%d
0x140001750	0x140032920	import	0x1400010e0	WS2_32.dll.WSAStartup
0x140001832	0x140032920	import	0x1400010e0	WS2_32.dll.WSAStartup
0x140001956	0x1400020e0	string	0x1400010e0	AWAVAUATVWUSH
0x140001c25	0x140032ac8	import	0x1400010e0	api-ms-win-crt-utility-l1-1-0.dll.srand
0x140001c2b	0x140032ac0	import	0x1400010e0	api-ms-win-crt-utility-l1-1-0.dll.rand
0x140001d8c	0x1400020e0	string	0x1400010e0	AWAVAUATVWUSH
0x1400020b6	0x140032a68	import	0x1400010e0	api-ms-win-crt-runtime-l1-1-0.dll.exit
0x1400021b4	0x140032ab0	import	0x1400020e0	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x14000230d	0x140032a80	import	0x1400022e0	api-ms-win-crt-time-l1-1-0.dll._time64
0x1400025b7	0x140032960	import	0x1400022e0	WS2_32.dll.send
0x1400025be	0x140032a88	import	0x1400022e0	api-ms-win-crt-time-l1-1-0.dll.clock
0x1400025c5	0x140032968	import	0x1400022e0	WS2_32.dll.socket
0x1400026cf	0x140032930	import	0x1400022e0	WS2_32.dll.connect
0x1400028bf	0x140032950	import	0x1400022e0	WS2_32.dll.inet_pton
0x1400028c8	0x140032ac0	import	0x1400022e0	api-ms-win-crt-utility-l1-1-0.dll.rand
0x14000297f	0x140032950	import	0x1400022e0	WS2_32.dll.inet_pton
0x140002993	0x140032ac0	import	0x1400022e0	api-ms-win-crt-utility-l1-1-0.dll.rand
0x140002a81	0x140032930	import	0x1400022e0	WS2_32.dll.connect
0x140002dab	0x140032940	import	0x1400022e0	WS2_32.dll.htons
0x140002f6a	0x1400328f0	import	0x1400022e0	KERNEL32.dll.Sleep
0x1400030c1	0x140032940	import	0x1400022e0	WS2_32.dll.htons
0x140003134	0x1400328f0	import	0x1400022e0	KERNEL32.dll.Sleep
0x14000315a	0x140032928	import	0x1400022e0	WS2_32.dll.closesocket
0x14000326b	0x140032928	import	0x1400022e0	WS2_32.dll.closesocket
0x140004845	0x140002540	string	0x140004700	UAWAVAUATVWSH
0x140004ad9	0x140003430	string	0x140004700	UAWAVAUATVWSH
0x140004af2	0x140004f40	string	0x140004700	AWAVAUATVWUSH
0x140004ccd	0x140004f40	string	0x140004700	AWAVAUATVWUSH
0x140004cef	0x140004f40	string	0x140004700	AWAVAUATVWUSH
0x140004dcd	0x140002540	string	0x140004700	UAWAVAUATVWSH
0x140004e0b	0x140003430	string	0x140004700	UAWAVAUATVWSH
0x140004e24	0x140004f40	string	0x140004700	AWAVAUATVWUSH
0x1400050ec	0x140005580	string	0x140004f40	AVVWUSP
0x1400050fa	0x140005380	string	0x140004f40	UAWAVVWSH
0x14000531c	0x140005580	string	0x140004f40	AVVWUSP
0x14000532a	0x140005380	string	0x140004f40	UAWAVVWSH
0x1400054ae	0x140005580	string	0x140005380	AVVWUSP
0x1400054c0	0x140005710	string	0x140005380	UAWAVAUATVWSH
0x1400054cf	0x140005c90	string	0x140005380	UAWAVAUATVWSH
0x1400054d7	0x140006260	string	0x140005380	AVVWSH
0x1400054e3	0x140006b10	string	0x140005380	VWSH
0x1400054f5	0x140006860	string	0x140005380	UAWAVVWSH
0x140005503	0x1400329f0	import	0x140005380	api-ms-win-crt-runtime-l1-1-0.dll._beginthreadex
0x140005518	0x140006ce0	string	0x140005380	UAWAVAUATVWSH
0x140005520	0x140006260	string	0x140005380	AVVWSH
0x140005569	0x140006260	string	0x140005380	AVVWSH
0x1400057e1	0x140007150	string	0x140005710	UAWAVAUATVWSH
0x1400057f5	0x140005c90	string	0x140005710	UAWAVAUATVWSH
0x140005806	0x140006260	string	0x140005710	AVVWSH
0x140005a12	0x140005580	string	0x140005710	AVVWUSP
0x140005a29	0x140006fe0	string	0x140005710	UAWAVVWSH
0x140005acc	0x140007150	string	0x140005710	UAWAVAUATVWSH
0x140005ae0	0x140005c90	string	0x140005710	UAWAVAUATVWSH
0x140005af1	0x140006260	string	0x140005710	AVVWSH
0x140005c42	0x140005580	string	0x140005710	AVVWUSP
0x140005c50	0x140006fe0	string	0x140005710	UAWAVVWSH
0x140005d93	0x140006ce0	string	0x140005c90	UAWAVAUATVWSH
0x140005da7	0x140008c00	string	0x140005c90	AVVWSH
0x140005fb6	0x140008ee0	string	0x140005c90	AWAVAUATVWUSH
0x140006014	0x140006ce0	string	0x140005c90	UAWAVAUATVWSH
0x140006028	0x140008c00	string	0x140005c90	AVVWSH
0x14000620d	0x140008ee0	string	0x140005c90	AWAVAUATVWUSH
0x140006446	0x140009860	string	0x140006260	AVVWSH
0x140006636	0x140009620	string	0x140006260	AVVWUSH
0x140006679	0x140009620	string	0x140006260	AVVWUSH
0x140006766	0x140009860	string	0x140006260	AVVWSH
0x140007105	0x140005580	string	0x140006fe0	AVVWUSP
0x140007113	0x140007400	string	0x140006fe0	AWAVAUATVWUSH
0x14000720b	0x140008710	string	0x140007150	AWAVAUATVWUSH
0x14000734e	0x140008710	string	0x140007150	AWAVAUATVWUSH
0x140007552	0x140007df0	string	0x140007400	AVVWSH
0x14000759b	0x140007df0	string	0x140007400	AVVWSH
0x140007619	0x140007930	string	0x140007400	AWAVAUATVWUSH
0x14000762b	0x140005580	string	0x140007400	AVVWUSP
0x1400078bd	0x140007930	string	0x140007400	AWAVAUATVWUSH
0x1400078c5	0x140005580	string	0x140007400	AVVWUSP
0x140007a74	0x1400080a0	string	0x140007930	VWSP
0x140007bb3	0x140008270	string	0x140007930	AWAVAUATVWUSH
0x140007bfe	0x140008270	string	0x140007930	AWAVAUATVWUSH
0x140007c7c	0x1400080a0	string	0x140007930	VWSP
0x140007e26	0x140007e36	string	0x140007df0	=0[3-
0x140007e63	0x140007e36	string	0x140007df0	=0[3-
0x140007e85	0x140007e36	string	0x140007df0	=0[3-
0x140007e95	0x140007f41	string	0x140007df0	=1[3-
0x140007eb6	0x140007e36	string	0x140007df0	=0[3-
0x140007f0b	0x140007e36	string	0x140007df0	=0[3-
0x140007f5a	0x140005580	string	0x140007df0	AVVWUSP
0x140007f64	0x140007e36	string	0x140007df0	=0[3-
0x140007f6e	0x140007e36	string	0x140007df0	=0[3-
0x140007fbf	0x140007e36	string	0x140007df0	=0[3-
0x140007fca	0x140007e36	string	0x140007df0	=0[3-
0x140007fd4	0x140007e36	string	0x140007df0	=0[3-
0x140007fdc	0x140005580	string	0x140007df0	AVVWUSP
0x140008022	0x140007e36	string	0x140007df0	=0[3-
0x14000802d	0x140007e36	string	0x140007df0	=0[3-
0x140008037	0x140007e36	string	0x140007df0	=0[3-
0x140008083	0x140007e36	string	0x140007df0	=0[3-
0x14000808d	0x140007e36	string	0x140007df0	=0[3-
0x140008c74	0x140009620	string	0x140008c00	AVVWUSH
0x140008d8f	0x140009620	string	0x140008c00	AVVWUSH
0x14000a52f	0x14000a590	string	0x14000a460	=0a:
0x14000a8f7	0x140032920	import	0x14000a8a0	WS2_32.dll.WSAStartup
0x14000a98e	0x14000ade6	string	0x14000a8a0	HcD$(H
0x14000a9b3	0x14000b0c0	string	0x14000a8a0	AWAVAUATVWUSH
0x14000aa69	0x140032948	import	0x14000a8a0	WS2_32.dll.inet_ntoa
0x14000ab05	0x14000ac39	string	0x14000a8a0	=s˭\n blocks=Basic Latin,Spacing Modifier Letters
0x14000ac8d	0x14000b0c0	string	0x14000a8a0	AWAVAUATVWUSH
0x14000ae41	0x140032938	import	0x14000a8a0	WS2_32.dll.gethostbyname
0x14000aed3	0x140032938	import	0x14000a8a0	WS2_32.dll.gethostbyname
0x14000af21	0x140032948	import	0x14000a8a0	WS2_32.dll.inet_ntoa
0x14000b0a1	0x140032a68	import	0x14000a8a0	api-ms-win-crt-runtime-l1-1-0.dll.exit
0x14000b153	0x140032ab0	import	0x14000b0c0	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x14000b2c7	0x140032928	import	0x14000b290	WS2_32.dll.closesocket
0x14000b2ce	0x140032910	import	0x14000b290	WS2_32.dll.WSACleanup
0x14000b599	0x140032918	import	0x14000b540	WS2_32.dll.WSAGetLastError
0x14000b973	0x140032968	import	0x14000b540	WS2_32.dll.socket
0x14000bb21	0x140032940	import	0x14000b540	WS2_32.dll.htons
0x14000bb47	0x140032950	import	0x14000b540	WS2_32.dll.inet_pton
0x14000bb66	0x140032930	import	0x14000b540	WS2_32.dll.connect
0x14000bc09	0x140032940	import	0x14000b540	WS2_32.dll.htons
0x14000bc2f	0x140032950	import	0x14000b540	WS2_32.dll.inet_pton
0x14000bc4e	0x140032930	import	0x14000b540	WS2_32.dll.connect
0x14000bd14	0x140032968	import	0x14000b540	WS2_32.dll.socket
0x14000be9d	0x140032958	import	0x14000be60	WS2_32.dll.recv
0x14000bf25	0x14000bff0	string	0x14000be60	=R\b\t`
0x14000c184	0x14000c5bd	string	0x14000be60	=y(\r\
0x14000d05b	0x140032a68	import	0x14000d020	api-ms-win-crt-runtime-l1-1-0.dll.exit
0x14000d0a1	0x1400010e0	string	0x14000d020	AWAVAUATVWUSH
0x14000d0c6	0x140004700	string	0x14000d020	UAWAVAUATVWSH
0x14000d0ce	0x14000d240	string	0x14000d020	UAWAVAUATVWSH
0x14000d122	0x1400010e0	string	0x14000d020	AWAVAUATVWUSH
0x14000d146	0x140004700	string	0x14000d020	UAWAVAUATVWSH
0x14000d14e	0x14000d240	string	0x14000d020	UAWAVAUATVWSH
0x14000d3e9	0x14000ed50	string	0x14000d240	AWAVATVWUSH
0x14000d4b8	0x14000ed50	string	0x14000d240	AWAVATVWUSH
0x14000d7e2	0x14000d880	string	0x14000d790	=gJt!
0x14000d845	0x14000d8c0	string	0x14000d790	=\aiFO
0x14000d92e	0x14000db7e	string	0x14000d790	=FF}}
0x14000dba3	0x140032a70	import	0x14000d790	api-ms-win-crt-runtime-l1-1-0.dll.terminate
