reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401965	0x404036	string	0x40193e	solienty
0x40196c	0x403098	import	0x40193e	USER32.dll.RegisterClassA
0x401993	0x40402f	string	0x40193e	absent
0x401998	0x404036	string	0x40193e	solienty
0x40199e	0x403074	import	0x40193e	USER32.dll.CreateWindowExA
0x4019ac	0x403090	import	0x40193e	USER32.dll.ShowWindow
0x4019bb	0x403088	import	0x40193e	USER32.dll.GetMessageA
0x4019c5	0x403078	import	0x40193e	USER32.dll.TranslateMessage
0x4019cb	0x403080	import	0x40193e	USER32.dll.DispatchMessageA
0x4019e6	0x403088	import	0x40193e	USER32.dll.GetMessageA
0x401b44	0x401b68	string	0x4019f4	|ܺKӦs~ blocks=Basic Latin,Syriac,Cyrillic
0x401da3	0x401d98	string	0x4019f4	}$\
0x4024d4	0x40253e	string	0x40241d	hSVW
0x40254c	0x40303c	import	0x40251f	MSVCRT.dll.__set_app_type
0x402561	0x403040	import	0x40251f	MSVCRT.dll.__p__fmode
0x40256f	0x403044	import	0x40251f	MSVCRT.dll.__p__commode
0x40259b	0x40304c	import	0x40251f	MSVCRT.dll.__setusermatherr
0x4025d4	0x403054	import	0x40251f	MSVCRT.dll.__getmainargs
0x402623	0x403010	import	0x40251f	KERNEL32.dll.GetStartupInfoA
0x40262d	0x402640	string	0x40251f	j\nXPVSS
0x402647	0x403014	import	0x40251f	KERNEL32.dll.GetModuleHandleA
0x402657	0x403060	import	0x40251f	MSVCRT.dll.exit
0x40267e	0x40305c	import	0x40267e	MSVCRT.dll._XcptFilter
0x402684	0x403050	import	0x402684	MSVCRT.dll._initterm
0x4026a0	0x403038	import	0x40269f	MSVCRT.dll._except_handler3
0x4026a6	0x403034	import	0x4026a6	MSVCRT.dll._controlfp
