reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40126a	0x4010f4	string	0x401217	kernel32.dll
0x40126f	0x40500c	import	0x401217	KERNEL32.dll.GetModuleHandleW
0x401276	0x405030	import	0x401217	KERNEL32.dll.GetProcAddress
0x401284	0x405058	import	0x401217	KERNEL32.dll.Sleep
0x40128f	0x405058	import	0x401217	KERNEL32.dll.Sleep
0x4012a4	0x405058	import	0x401217	KERNEL32.dll.Sleep
0x401362	0x40505c	import	0x4012b7	KERNEL32.dll.OpenEventW
0x40139d	0x405028	import	0x4012b7	KERNEL32.dll.TerminateProcess
0x4013b4	0x401110	string	0x4012b7	7uyg324dfjhg
0x4013bb	0x405024	import	0x4012b7	KERNEL32.dll.GetModuleHandleA
0x4013c8	0x4050e4	import	0x4012b7	USER32.dll.WaitForInputIdle
0x4013d5	0x405024	import	0x4012b7	KERNEL32.dll.GetModuleHandleA
0x4013ec	0x405020	import	0x4012b7	KERNEL32.dll.GetCurrentThread
0x4013f2	0x401120	string	0x4012b7	7kwfhre
0x4013f7	0x40501c	import	0x4012b7	KERNEL32.dll.GetFileAttributesA
0x401419	0x405018	import	0x4012b7	KERNEL32.dll.GetLastError
0x401483	0x405014	import	0x4012b7	KERNEL32.dll.GetTickCount
0x401491	0x401128	string	0x4012b7	a.ico
0x401498	0x4050dc	import	0x4012b7	USER32.dll.LoadIconW
0x4014f1	0x405014	import	0x4012b7	KERNEL32.dll.GetTickCount
0x4014ff	0x4050dc	import	0x4012b7	USER32.dll.LoadIconW
0x401527	0x405058	import	0x4012b7	KERNEL32.dll.Sleep
0x401537	0x4050ec	import	0x4012b7	WS2_32.dll.select
0x401540	0x405014	import	0x4012b7	KERNEL32.dll.GetTickCount
0x401554	0x4050ec	import	0x4012b7	WS2_32.dll.select
0x401562	0x4050d8	import	0x4012b7	USER32.dll.MessageBoxW
0x40156c	0x405004	import	0x4012b7	GDI32.dll.SelectObject
0x401581	0x405010	import	0x4012b7	KERNEL32.dll.InterlockedExchange
0x4015bb	0x405058	import	0x401597	KERNEL32.dll.Sleep
0x4015c7	0x405038	import	0x401597	KERNEL32.dll.OpenSemaphoreA
0x4015d3	0x405034	import	0x401597	KERNEL32.dll.OpenEventA
0x4015dd	0x4050e0	import	0x401597	USER32.dll.EnableWindow
0x40164a	0x40503c	import	0x401609	KERNEL32.dll.FindClose
0x4016b6	0x4050f4	import	0x4016b6	WinSCard.dll.SCardForgetReaderW
0x40179b	0x405078	import	0x401775	KERNEL32.dll.GetVersion
0x4017e9	0x405074	import	0x401775	KERNEL32.dll.GetCommandLineA
0x401814	0x405070	import	0x401775	KERNEL32.dll.GetStartupInfoA
0x401826	0x40182e	string	0x401775	j\nXP
0x401837	0x405024	import	0x401775	KERNEL32.dll.GetModuleHandleA
0x4018ad	0x40507c	import	0x401890	KERNEL32.dll.ExitProcess
