reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401057	0x40406c	import	0x401000	USER32.dll.EndDialog
0x4010fb	0x404070	import	0x401070	USER32.dll.SendMessageA
0x40110b	0x404074	import	0x401070	USER32.dll.DestroyWindow
0x40116e	0x404078	import	0x401070	USER32.dll.DialogBoxParamA
0x40117a	0x404074	import	0x401070	USER32.dll.DestroyWindow
0x401192	0x40407c	import	0x401070	USER32.dll.DefWindowProcA
0x4011b0	0x404008	import	0x401070	KERNEL32.dll.GetCurrentDirectoryA
0x4011dc	0x4051f8	string	0x401070	Please
0x4011e1	0x404a60	string	0x401070	static
0x4011e8	0x404094	import	0x401070	USER32.dll.CreateWindowExA
0x401217	0x405200	string	0x401070	Edit
0x40121e	0x404094	import	0x401070	USER32.dll.CreateWindowExA
0x401229	0x405208	string	0x401070	riched32.dll
0x40122e	0x404010	import	0x401070	KERNEL32.dll.LoadLibraryA
0x401255	0x405218	string	0x401070	Static1
0x40125a	0x405220	string	0x401070	static
0x401261	0x404094	import	0x401070	USER32.dll.CreateWindowExA
0x40128b	0x405228	string	0x401070	Static2
0x401290	0x404a60	string	0x401070	static
0x401297	0x404094	import	0x401070	USER32.dll.CreateWindowExA
0x4012c9	0x404a4c	string	0x401070	richedit
0x4012d0	0x404094	import	0x401070	USER32.dll.CreateWindowExA
0x401301	0x404a58	string	0x401070	button
0x401308	0x404094	import	0x401070	USER32.dll.CreateWindowExA
0x40133c	0x404070	import	0x401070	USER32.dll.SendMessageA
0x40137d	0x404070	import	0x401070	USER32.dll.SendMessageA
0x40138f	0x404080	import	0x401070	USER32.dll.BeginPaint
0x4013a3	0x404084	import	0x401070	USER32.dll.GetClientRect
0x4013bf	0x404088	import	0x401070	USER32.dll.DrawTextA
0x4013cd	0x40408c	import	0x401070	USER32.dll.EndPaint
0x4013d7	0x404090	import	0x401070	USER32.dll.PostQuitMessage
0x4013ef	0x40407c	import	0x401070	USER32.dll.DefWindowProcA
0x401779	0x404a38	string	0x401750	ApplicationTitle
0x40177e	0x404a68	string	0x401750	MotoClass
0x401785	0x404094	import	0x401750	USER32.dll.CreateWindowExA
0x40179e	0x404098	import	0x401750	USER32.dll.ShowWindow
0x4017a8	0x40409c	import	0x401750	USER32.dll.UpdateWindow
0x40250a	0x40403c	import	0x40250a	MSVCRT.dll._XcptFilter
0x402575	0x4040a0	import	0x402540	USER32.dll.LoadIconA
0x402585	0x4040a4	import	0x402540	USER32.dll.LoadCursorA
0x40259c	0x404a68	string	0x402540	MotoClass
0x4025a9	0x4040a0	import	0x402540	USER32.dll.LoadIconA
0x4025b6	0x4040a8	import	0x402540	USER32.dll.RegisterClassExA
0x4025c0	0x404054	import	0x4025c0	MSVCRT.dll._initterm
0x4028a1	0x404010	import	0x4025d0	KERNEL32.dll.LoadLibraryA
0x402a03	0x4040ac	import	0x4029f0	USER32.dll.LoadStringA
0x402a16	0x4040ac	import	0x4029f0	USER32.dll.LoadStringA
0x402a4a	0x4040b0	import	0x4029f0	USER32.dll.GetMessageA
0x402a58	0x4040b4	import	0x4029f0	USER32.dll.TranslateMessage
0x402a62	0x4040b8	import	0x4029f0	USER32.dll.DispatchMessageA
0x402af1	0x402b62	string	0x402a85	WriteFile
0x402b14	0x402b6c	string	0x402a85	DeleteFileW
0x402b4b	0x402b4d	string	0x402a85	CreateFileW
0x402b90	0x402bfe	string	0x402a85	InternetOpenW
0x402bc1	0x402bc3	string	0x402a85	CreateProcessW
0x402bc7	0x402c2e	string	0x402a85	HttpSendRequestW
0x402d0b	0x402d72	string	0x402a85	68.170.55.114
0x402d2f	0x402d31	string	0x402a85	91.211.17.201
0x402db4	0x402e1b	string	0x402a85	/team11.png
0x403117	0x40312c	string	0x402a85	30/f
0x40394f	0x40401c	import	0x403920	MSVCRT.dll.__set_app_type
0x40396c	0x404020	import	0x403920	MSVCRT.dll.__p__fmode
0x40397a	0x404024	import	0x403920	MSVCRT.dll.__p__commode
0x4039a8	0x40402c	import	0x403920	MSVCRT.dll.__setusermatherr
0x4039e8	0x404030	import	0x403920	MSVCRT.dll.__getmainargs
0x403a03	0x404034	import	0x403920	MSVCRT.dll.__p__acmdln
0x403a49	0x404000	import	0x403920	KERNEL32.dll.GetStartupInfoA
0x403a6a	0x404004	import	0x403920	KERNEL32.dll.GetModuleHandleA
0x403a7a	0x404038	import	0x403920	MSVCRT.dll.exit
0x403a9e	0x404040	import	0x403920	MSVCRT.dll._exit
0x403ae0	0x404050	import	0x403ae0	MSVCRT.dll._controlfp
