reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x180001099	0x1800177d0	string	0x180001000	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
0x180001684	0x180005f90	string	0x1800015e0	H;\r\tQ
0x18000179f	0x180005f90	string	0x1800016a0	H;\r\tQ
0x1800017ff	0x180015170	import	0x1800017c0	KERNEL32.dll.GetCurrentDirectoryA
0x180001824	0x180005f90	string	0x1800017c0	H;\r\tQ
0x180001865	0x1800178c0	string	0x180001840	SOFTWARE\Microsoft\Windows NT\CurrentVersion
0x1800018b6	0x180015000	import	0x180001840	ADVAPI32.dll.RegOpenKeyExA
0x1800018d5	0x1800178b0	string	0x180001840	InstallDate
0x1800018e4	0x180015020	import	0x180001840	ADVAPI32.dll.RegQueryValueExA
0x180001913	0x1800178b0	string	0x180001840	InstallDate
0x180001922	0x180015020	import	0x180001840	ADVAPI32.dll.RegQueryValueExA
0x18000192c	0x180015008	import	0x180001840	ADVAPI32.dll.RegCloseKey
0x180001948	0x180015160	import	0x180001840	KERNEL32.dll.FileTimeToLocalFileTime
0x180001955	0x180015158	import	0x180001840	KERNEL32.dll.FileTimeToSystemTime
0x18000196c	0x180005f90	string	0x180001840	H;\r\tQ
0x1800019f2	0x180015350	import	0x180001990	WS2_32.dll.WSAStartup
0x180001a05	0x180015348	import	0x180001990	WS2_32.dll.gethostname
0x180001a24	0x180015358	import	0x180001990	WS2_32.dll.gethostbyname
0x180001a8f	0x180015360	import	0x180001990	WS2_32.dll.inet_ntoa
0x180001b39	0x1800178f8	string	0x180001990	\r\nip:\r\n
0x180001b60	0x180015368	import	0x180001990	WS2_32.dll.WSACleanup
0x180001b81	0x180005f90	string	0x180001990	H;\r\tQ
0x180001cb3	0x180015150	import	0x180001b90	KERNEL32.dll.SetErrorMode
0x180001cec	0x180015148	import	0x180001b90	KERNEL32.dll.GetVolumeInformationA
0x180001d06	0x180015140	import	0x180001b90	KERNEL32.dll.GetDiskFreeSpaceExA
0x180001d4d	0x180015138	import	0x180001b90	KERNEL32.dll.GetDriveTypeA
0x180001d6b	0x180017900	string	0x180001b90	DRIVE_REMOVABLE
0x180001d91	0x180017910	string	0x180001b90	NODISK
0x180001dbd	0x180017918	string	0x180001b90	DRIVE_FIXED
0x180001dd8	0x180017928	string	0x180001b90	DRIVE_REMOTE
0x180001e10	0x180017910	string	0x180001b90	NODISK
0x180001e37	0x180017938	string	0x180001b90	DRIVE_CDROM
0x180001e4f	0x180017948	string	0x180001b90	DRIVE_RAMDISK
0x180001e73	0x180017958	string	0x180001b90	DRIVE_UNKNOWN
0x180001ee1	0x180017970	string	0x180001b90	%-4s %-20s %-16s %-6s Total: %.1fGB | Free: %.1fGB\r\n
0x180001f9e	0x1800179a8	string	0x180001b90	\r\nDisk:\r\n
0x180001fe9	0x180005f90	string	0x180001b90	H;\r\tQ
0x180002099	0x1800178c0	string	0x180002020	SOFTWARE\Microsoft\Windows NT\CurrentVersion
0x1800020be	0x180015000	import	0x180002020	ADVAPI32.dll.RegOpenKeyExA
0x1800020e4	0x1800179b8	string	0x180002020	ProductName
0x1800020f3	0x180015020	import	0x180002020	ADVAPI32.dll.RegQueryValueExA
0x180002127	0x1800179b8	string	0x180002020	ProductName
0x180002136	0x180015020	import	0x180002020	ADVAPI32.dll.RegQueryValueExA
0x18000214a	0x180015008	import	0x180002020	ADVAPI32.dll.RegCloseKey
0x18000218e	0x1800179c8	string	0x180002020	ProductName:\t
0x1800021fa	0x1800179f0	string	0x180002020	HARDWARE\DESCRIPTION\System\CentralProcessor\0
0x180002220	0x180015000	import	0x180002020	ADVAPI32.dll.RegOpenKeyExA
0x180002246	0x1800179d8	string	0x180002020	ProcessorNameString
0x180002255	0x180015020	import	0x180002020	ADVAPI32.dll.RegQueryValueExA
0x180002289	0x1800179d8	string	0x180002020	ProcessorNameString
0x180002298	0x180015020	import	0x180002020	ADVAPI32.dll.RegQueryValueExA
0x1800022ac	0x180015008	import	0x180002020	ADVAPI32.dll.RegCloseKey
0x1800022ee	0x180017a20	string	0x180002020	\r\nCPU:\t
0x180002344	0x180017a40	string	0x180002020	kernel32.dll
0x180002353	0x180015118	import	0x180002020	KERNEL32.dll.GetModuleHandleA
0x180002359	0x180017a28	string	0x180002020	GlobalMemoryStatusEx
0x180002363	0x180015130	import	0x180002020	KERNEL32.dll.GetProcAddress
0x180002391	0x180017a50	string	0x180002020	Total: %I64dMB | Free: %I64dMB (Usage: %d%%)
0x1800023ce	0x180017a80	string	0x180002020	\r\nRAM:\t
0x180002429	0x180017aa0	string	0x180002020	HARDWARE\DESCRIPTION\System\BIOS
0x18000244f	0x180015000	import	0x180002020	ADVAPI32.dll.RegOpenKeyExA
0x180002475	0x180017a88	string	0x180002020	SystemProductName
0x180002484	0x180015020	import	0x180002020	ADVAPI32.dll.RegQueryValueExA
0x1800024b8	0x180017a88	string	0x180002020	SystemProductName
0x1800024c7	0x180015020	import	0x180002020	ADVAPI32.dll.RegQueryValueExA
0x1800024db	0x180015008	import	0x180002020	ADVAPI32.dll.RegCloseKey
0x18000252d	0x180017ac8	string	0x180002020	\r\nMod:\t
0x1800025a6	0x180017ad0	string	0x180002020	%04d-%02d-%02d %02d:%02d:%02d
0x1800025c9	0x180017af0	string	0x180002020	\r\nInstallDate:\t
0x18000260a	0x180001b90	string	0x180002020	@UWH
0x180002651	0x180015170	import	0x180002020	KERNEL32.dll.GetCurrentDirectoryA
0x1800026cb	0x180017b00	string	0x180002020	\r\n[HttpServer #]
0x1800026f5	0x180005f90	string	0x180002020	H;\r\tQ
0x18000278b	0x180015110	import	0x180002710	KERNEL32.dll.CreatePipe
0x180002799	0x180017b18	string	0x180002710	Cmd.exe /C
0x1800027eb	0x180015108	import	0x180002710	KERNEL32.dll.GetStartupInfoA
0x180002842	0x180015100	import	0x180002710	KERNEL32.dll.CreateProcessA
0x180002851	0x1800150f8	import	0x180002710	KERNEL32.dll.CloseHandle
0x18000285c	0x1800150f8	import	0x180002710	KERNEL32.dll.CloseHandle
0x180002869	0x1800150f8	import	0x180002710	KERNEL32.dll.CloseHandle
0x180002888	0x1800150f0	import	0x180002710	KERNEL32.dll.ReadFile
0x1800028a8	0x1800150f8	import	0x180002710	KERNEL32.dll.CloseHandle
0x1800028ea	0x180015170	import	0x180002710	KERNEL32.dll.GetCurrentDirectoryA
0x18000295b	0x180017b00	string	0x180002710	\r\n[HttpServer #]
0x180002992	0x180005f90	string	0x180002710	H;\r\tQ
0x1800029e7	0x1800150c8	import	0x1800029b0	KERNEL32.dll.MultiByteToWideChar
0x180002a31	0x1800150c8	import	0x1800029b0	KERNEL32.dll.MultiByteToWideChar
0x180002d8b	0x180017b30	string	0x180002d30	1YV610vNfl+5Ftolm0qMzQ++
0x180002dac	0x180015030	import	0x180002d30	HTTPAPI.dll.HttpInitialize
0x180002dd1	0x180015058	import	0x180002d30	HTTPAPI.dll.HttpCreateHttpHandle
0x180002df4	0x180015350	import	0x180002d30	WS2_32.dll.WSAStartup
0x180002e3a	0x180015348	import	0x180002d30	WS2_32.dll.gethostname
0x180002e4c	0x180015358	import	0x180002d30	WS2_32.dll.gethostbyname
0x180002e83	0x180017b50	string	0x180002d30	%u.%u.%u.%u
0x180002e91	0x180015338	import	0x180002d30	USER32.dll.wsprintfW
0x180002e97	0x180015368	import	0x180002d30	WS2_32.dll.WSACleanup
0x180002ea4	0x180015078	import	0x180002d30	KERNEL32.dll.lstrlenW
0x180002edd	0x180017b68	string	0x180002d30	http://
0x180002eeb	0x180015078	import	0x180002d30	KERNEL32.dll.lstrlenW
0x180002ef1	0x180017b68	string	0x180002d30	http://
0x180002f07	0x180017b78	string	0x180002d30	https://
0x180002f0e	0x180015078	import	0x180002d30	KERNEL32.dll.lstrlenW
0x180002f14	0x180017b78	string	0x180002d30	https://
0x180002f5d	0x180015338	import	0x180002d30	USER32.dll.wsprintfW
0x180002f68	0x180017b98	string	0x180002d30	https=
0x180002f6f	0x180015078	import	0x180002d30	KERNEL32.dll.lstrlenW
0x180002f75	0x180017b98	string	0x180002d30	https=
0x180002fa3	0x180017bb0	string	0x180002d30	https://%s:%s
0x180002fac	0x180017bd0	string	0x180002d30	http=
0x180002fb3	0x180015078	import	0x180002d30	KERNEL32.dll.lstrlenW
0x180002fb9	0x180017bd0	string	0x180002d30	http=
0x180002fe3	0x180017be0	string	0x180002d30	http://%s:%s
0x18000300a	0x180015338	import	0x180002d30	USER32.dll.wsprintfW
0x18000301b	0x180015060	import	0x180002d30	HTTPAPI.dll.HttpAddUrl
0x18000303f	0x1800030d0	string	0x180002d30	@USWATAUH
0x180003068	0x180015038	import	0x180002d30	HTTPAPI.dll.HttpRemoveUrl
0x18000308c	0x1800150f8	import	0x180002d30	KERNEL32.dll.CloseHandle
0x180003096	0x180015040	import	0x180002d30	HTTPAPI.dll.HttpTerminate
0x1800030b1	0x180005f90	string	0x180002d30	H;\r\tQ
0x180003107	0x180015088	import	0x1800030d0	KERNEL32.dll.GetProcessHeap
0x180003115	0x180015080	import	0x1800030d0	KERNEL32.dll.HeapAlloc
0x18000317d	0x180015048	import	0x1800030d0	HTTPAPI.dll.HttpReceiveHttpRequest
0x1800031ff	0x180017c98	string	0x1800030d0	Not Implemented
0x18000320b	0x180003780	string	0x1800030d0	@UVWATAUAVAWH
0x1800033fe	0x180015170	import	0x1800030d0	KERNEL32.dll.GetCurrentDirectoryA
0x180003432	0x180017b00	string	0x1800030d0	\r\n[HttpServer #]
