reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40112c	0x42a420	string	0x401106	Maximum allowed array size (%u) is exceeded
0x4011cd	0x42a420	string	0x4011a7	Maximum allowed array size (%u) is exceeded
0x401341	0x41a4d6	string	0x401309	j\fhX
0x4013c8	0x41a4d6	string	0x401309	j\fhX
0x401466	0x40146f	string	0x401436	Sj\a3
0x401585	0x41a4d6	string	0x401436	j\fhX
0x40159c	0x41a4d6	string	0x401436	j\fhX
0x401b21	0x401b32	string	0x401a9d	j\Yf
0x401be9	0x401c39	string	0x401bd9	^ËD$ blocks=Basic Latin,Latin-1 Supplement
0x401d63	0x41a4d6	string	0x401ce4	j\fhX
0x4023b6	0x41aaf0	string	0x401ce4	WVS3
0x40273a	0x41a4d6	string	0x401ce4	j\fhX
0x40278d	0x40b5eb	string	0x402751	QQSUV
0x4027ca	0x40b5eb	string	0x402751	QQSUV
0x4027f0	0x40b5eb	string	0x402751	QQSUV
0x4027fe	0x40b5eb	string	0x402751	QQSUV
0x40282c	0x40b5eb	string	0x402751	QQSUV
0x4028e2	0x40b5eb	string	0x402751	QQSUV
0x40291c	0x40b5eb	string	0x402751	QQSUV
0x40294b	0x40b5eb	string	0x402751	QQSUV
0x402983	0x40b5eb	string	0x402751	QQSUV
0x402999	0x40b5eb	string	0x402751	QQSUV
0x4029b2	0x40b5eb	string	0x402751	QQSUV
0x4029bf	0x40b5eb	string	0x402751	QQSUV
0x4029ce	0x40b5eb	string	0x402751	QQSUV
0x402a40	0x40b5eb	string	0x402751	QQSUV
0x402a47	0x40b5eb	string	0x402751	QQSUV
0x402aa1	0x40b5eb	string	0x402751	QQSUV
0x402b53	0x40b5eb	string	0x402751	QQSUV
0x402b7a	0x40b5eb	string	0x402751	QQSUV
0x402b96	0x40b5eb	string	0x402751	QQSUV
0x40308b	0x40b5eb	string	0x402f4f	QQSUV
0x4030e3	0x40b5eb	string	0x402f4f	QQSUV
0x4030f1	0x40b5eb	string	0x402f4f	QQSUV
0x403174	0x40b5eb	string	0x402f4f	QQSUV
0x4031b0	0x40b5eb	string	0x402f4f	QQSUV
0x403221	0x40b5eb	string	0x402f4f	QQSUV
0x403256	0x40b5eb	string	0x402f4f	QQSUV
0x403272	0x40b5eb	string	0x402f4f	QQSUV
0x403368	0x40b5eb	string	0x402f4f	QQSUV
0x403376	0x40b5eb	string	0x402f4f	QQSUV
0x4033e0	0x40b5eb	string	0x402f4f	QQSUV
0x403437	0x40b5eb	string	0x402f4f	QQSUV
0x403452	0x40b5eb	string	0x402f4f	QQSUV
0x40345d	0x40b5eb	string	0x402f4f	QQSUV
0x4035c5	0x40b5eb	string	0x402f4f	QQSUV
0x403614	0x40b5eb	string	0x402f4f	QQSUV
0x40368e	0x41a4d6	string	0x402f4f	j\fhX
0x4036a8	0x41a4d6	string	0x402f4f	j\fhX
0x405118	0x42a288	import	0x40510b	SHELL32.dll.SHGetMalloc
0x405153	0x42a294	import	0x40510b	SHELL32.dll.SHBrowseForFolderW
0x405168	0x42a290	import	0x40510b	SHELL32.dll.SHGetPathFromIDListW
0x405213	0x42a038	import	0x405187	COMDLG32.dll.GetOpenFileNameW
0x405257	0x42a030	import	0x405187	COMDLG32.dll.GetSaveFileNameW
0x405267	0x42a034	import	0x405187	COMDLG32.dll.CommDlgExtendedError
0x405283	0x42a030	import	0x405187	COMDLG32.dll.GetSaveFileNameW
0x4060d7	0x42a2b4	import	0x4060c9	USER32.dll.GetDlgItem
0x4060de	0x42a2ac	import	0x4060c9	USER32.dll.EnableWindow
0x4060fc	0x42a2b4	import	0x4060e7	USER32.dll.GetDlgItem
0x406103	0x42a2b0	import	0x4060e7	USER32.dll.ShowWindow
0x40656a	0x42a24c	import	0x40655b	KERNEL32.dll.GetCurrentProcess
0x406571	0x42a018	import	0x40655b	ADVAPI32.dll.OpenProcessToken
0x406591	0x42a01c	import	0x40655b	ADVAPI32.dll.LookupPrivilegeValueW
0x4065a6	0x42a020	import	0x40655b	ADVAPI32.dll.AdjustTokenPrivileges
0x4065b0	0x42a258	import	0x40655b	KERNEL32.dll.GetLastError
0x4065bf	0x42a250	import	0x40655b	KERNEL32.dll.CloseHandle
0x406794	0x42a248	import	0x406768	KERNEL32.dll.CreateHardLinkW
0x40683b	0x42a59c	string	0x4067f3	SeSecurityPrivilege
0x406875	0x42a014	import	0x4067f3	ADVAPI32.dll.SetFileSecurityW
0x4068de	0x41a4d6	string	0x4067f3	j\fhX
0x40690e	0x40692b	string	0x4068f3	SVWh
0x40691a	0x42a5dc	string	0x4068f3	SeCreateSymbolicLinkPrivilege
0x40697c	0x42a5d0	string	0x4068f3	\??\
0x40699e	0x42a5c4	string	0x4068f3	UNC\
0x406a1b	0x41a4d6	string	0x4068f3	j\fhX
0x406e61	0x42a144	import	0x406ceb	KERNEL32.dll.SetFileTime
0x406fcf	0x40700c	string	0x406f0c	_^[]
0x406ff7	0x40700c	string	0x406f0c	_^[]
0x406ffe	0x40700c	string	0x406f0c	_^[]
0x407249	0x41a4d6	string	0x4071c8	j\fhX
0x4084e6	0x42a224	import	0x4084be	KERNEL32.dll.GetLongPathNameW
0x408505	0x42a228	import	0x4084be	KERNEL32.dll.GetShortPathNameW
0x40858a	0x42a638	string	0x4084be	rtmp%d
0x4085f5	0x42a230	import	0x4084be	KERNEL32.dll.MoveFileW
0x408722	0x40874f	string	0x40868e	_^[]
0x408730	0x40874f	string	0x40868e	_^[]
0x408747	0x40874f	string	0x40868e	_^[]
0x408802	0x42a234	import	0x408793	KERNEL32.dll.CreateFileW
0x40882d	0x42a258	import	0x408793	KERNEL32.dll.GetLastError
0x408869	0x42a258	import	0x408793	KERNEL32.dll.GetLastError
0x40894f	0x42a234	import	0x4088f3	KERNEL32.dll.CreateFileW
0x408a1d	0x42a250	import	0x408a02	KERNEL32.dll.CloseHandle
0x408a95	0x42a220	import	0x408a79	KERNEL32.dll.GetStdHandle
0x408ad1	0x42a21c	import	0x408a79	KERNEL32.dll.WriteFile
0x408afd	0x42a21c	import	0x408a79	KERNEL32.dll.WriteFile
0x408bb1	0x42a218	import	0x408b7e	KERNEL32.dll.SetFilePointer
0x408bbe	0x42a258	import	0x408b7e	KERNEL32.dll.GetLastError
0x408c1a	0x42a214	import	0x408c17	KERNEL32.dll.SetEndOfFile
0x408c36	0x42a210	import	0x408c2a	KERNEL32.dll.GetFileType
0x408c81	0x42a220	import	0x408c70	KERNEL32.dll.GetStdHandle
0x408c99	0x42a20c	import	0x408c70	KERNEL32.dll.ReadFile
0x408cc9	0x42a258	import	0x408c70	KERNEL32.dll.GetLastError
0x408d1f	0x42a208	import	0x408d05	KERNEL32.dll.FlushFileBuffers
0x408d59	0x408d66	string	0x408d05	2ۀ}\v blocks=Basic Latin,Arabic
0x408d60	0x408d66	string	0x408d05	2ۀ}\v blocks=Basic Latin,Arabic
0x408dc6	0x42a144	import	0x408d05	KERNEL32.dll.SetFileTime
0x408f6e	0x42a218	import	0x408f1b	KERNEL32.dll.SetFilePointer
0x408f7a	0x42a258	import	0x408f1b	KERNEL32.dll.GetLastError
0x40901f	0x42a204	import	0x409011	KERNEL32.dll.GetFileAttributesW
0x40906f	0x42a148	import	0x40905d	KERNEL32.dll.SetFileAttributesW
0x4090c6	0x42a244	import	0x4090b4	KERNEL32.dll.DeleteFileW
0x40918c	0x42a234	import	0x409105	KERNEL32.dll.CreateFileW
0x409245	0x42a144	import	0x409105	KERNEL32.dll.SetFileTime
0x40924e	0x42a250	import	0x409105	KERNEL32.dll.CloseHandle
0x4092b4	0x42a238	import	0x409299	KERNEL32.dll.CreateDirectoryW
0x409311	0x42a258	import	0x409299	KERNEL32.dll.GetLastError
0x409425	0x42a068	import	0x409419	KERNEL32.dll.FindClose
0x40946e	0x42a070	import	0x409446	KERNEL32.dll.FindFirstFileW
0x4094ae	0x42a258	import	0x409446	KERNEL32.dll.GetLastError
0x4094d8	0x42a06c	import	0x409446	KERNEL32.dll.FindNextFileW
0x4094e6	0x42a258	import	0x409446	KERNEL32.dll.GetLastError
0x409681	0x409685	string	0x4095de	_^][
0x4096bc	0x42a068	import	0x40968c	KERNEL32.dll.FindClose
0x409bfb	0x42a074	import	0x409bd6	KERNEL32.dll.GetVersionExW
0x409cff	0x409dc0	string	0x409ca1	_^[]
0x409d17	0x409dc0	string	0x409ca1	_^[]
0x409d57	0x409dc0	string	0x409ca1	_^[]
0x409d5c	0x409dc0	string	0x409ca1	_^[]
0x409d97	0x409dc0	string	0x409ca1	_^[]
0x409fd3	0x41a4d6	string	0x409fcc	j\fhX
0x40a21c	0x40a22a	string	0x40a1ef	j_Xf
0x40a238	0x40a246	string	0x40a1ef	FFGGf
0x40a23e	0x40a246	string	0x40a1ef	FFGGf
0x40a412	0x42a6b4	string	0x40a3ba	\\?\
0x40a457	0x42a6b4	string	0x40a3ba	\\?\
0x40a48f	0x42a078	import	0x40a3ba	KERNEL32.dll.GetCurrentDirectoryW
0x40a4c3	0x42a6b4	string	0x40a3ba	\\?\
0x40a51b	0x42a6b4	string	0x40a3ba	\\?\
0x40a593	0x42a07c	import	0x40a567	KERNEL32.dll.FoldStringW
0x40a896	0x42a6d8	string	0x40a87f	.rar
0x40a925	0x40a902	string	0x40a87f	j0Xf
0x40a976	0x40a98e	string	0x40a87f	jAYf
0x40a9ca	0x42a080	import	0x40a9a9	KERNEL32.dll.GetFullPathNameW
0x40aa78	0x42a6e4	string	0x40aa5b	%c:\
0x40ab17	0x40ab27	string	0x40ab10	^ËD$\b blocks=Basic Latin,Latin-1 Supplement
0x40ad18	0x42a420	string	0x40acf2	Maximum allowed array size (%u) is exceeded
0x40ae07	0x40ae69	string	0x40ad6c	_^[]
0x40ae42	0x40ae69	string	0x40ad6c	_^[]
0x40ae4d	0x40ae55	string	0x40ad6c	9P$u
0x40b2f1	0x40b31c	string	0x40ae70	9}\b|
0x40bb58	0x41a4d6	string	0x40bb49	j\fhX
0x40bbd9	0x42a370	import	0x40bbcd	USER32.dll.GetWindowLongW
0x40bbeb	0x42a2b8	import	0x40bbcd	USER32.dll.SetWindowLongW
0x40bc29	0x42a084	import	0x40bbf4	KERNEL32.dll.GetModuleFileNameW
0x40bcfb	0x42a714	string	0x40bbf4	*messages***
0x40bd2d	0x42a6f8	string	0x40bbf4	*messages***
0x40be33	0x41a4d6	string	0x40bbf4	j\fhX
0x40be9f	0x40bea7	string	0x40bbf4	j\fZf
0x40bf96	0x42a724	string	0x40bedf	%08x
0x40c0c7	0x42a08c	import	0x40c0b8	KERNEL32.dll.GetModuleHandleW
0x40c0d6	0x42a088	import	0x40c0b8	KERNEL32.dll.FindResourceW
0x40c147	0x42a354	import	0x40c11e	USER32.dll.GetWindowRect
0x40c154	0x42a358	import	0x40c11e	USER32.dll.GetClientRect
0x40c1e0	0x42a370	import	0x40c11e	USER32.dll.GetWindowLongW
0x40c204	0x42a35c	import	0x40c11e	USER32.dll.SetWindowPos
0x40c211	0x42a354	import	0x40c11e	USER32.dll.GetWindowRect
0x40c230	0x42a360	import	0x40c11e	USER32.dll.GetWindowTextW
0x40c256	0x42a364	import	0x40c11e	USER32.dll.SetWindowTextW
0x40c265	0x42a368	import	0x40c11e	USER32.dll.GetSystemMetrics
0x40c272	0x42a36c	import	0x40c11e	USER32.dll.GetWindow
0x40c29f	0x42a360	import	0x40c11e	USER32.dll.GetWindowTextW
0x40c2cf	0x42a364	import	0x40c11e	USER32.dll.SetWindowTextW
0x40c2e2	0x42a354	import	0x40c11e	USER32.dll.GetWindowRect
0x40c33f	0x42a35c	import	0x40c11e	USER32.dll.SetWindowPos
0x40c34a	0x42a36c	import	0x40c11e	USER32.dll.GetWindow
0x40c3b7	0x42a350	import	0x40c381	USER32.dll.LoadStringW
0x40ce65	0x42a090	import	0x40cae5	KERNEL32.dll.FreeLibrary
0x40ce81	0x42a77c	string	0x40ce78	Crypt32.dll
0x40ce86	0x42a098	import	0x40ce78	KERNEL32.dll.LoadLibraryW
0x40ce93	0x42a094	import	0x40ce78	KERNEL32.dll.GetProcAddress
