reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401606	0x401679	string	0x4010a2	1cad
0x401670	0x401695	string	0x4010a2	cba吃 blocks=Basic Latin,CJK Unified Ideographs
0x40208c	0x402099	string	0x4010a2	\b=IN/
0x4020ac	0x4020b9	string	0x4010a2	\bO,V_
0x40219d	0x4021a1	string	0x4010a2	\fmףz blocks=Basic Latin,Hebrew
0x402af5	0x402a78	string	0x4010a2	R\v6]
0x403c6c	0x403cc0	string	0x4010a2	|}g4]
0x4aba39	0x4b4000	string	0x4aba13	UWXGWLUXLNXBKNHUXAJLSUFJSUQXHPMPTTFMOYCERTEHPWTEHQTAJMOXADQSVBFHOVXDCFOQXDNPWGIMVYGNRCEOQXCJMOWYCGNWADMONYBKRURYWINPBLNSUFQXDKHQRTDGNQRAKMRXDFHQMUXFIMUCEORAHRORAHRTEHJQSEGNNWWGJLSCGNIRTBGNPAGIPGLQSCLQVDHPRAAIKSOVHJQVDFHJSCACEIPYCIRUXHNWADHKTADMPWHOQVXGHKOVYVXYIKSRFIKUCKIRUCKOXAKMTFHOQQWEHMTVHHQSUCEGQCYGCNPUAISUAMMXYHMOXTVDYKMTYGPRRTACJSRACELVXBOQBDHLTBLNNWBKRTYGILIPYDMPWYBDMVYILRVYBJQSDHPTYIMVDGDNPWYEGOYYIKTVYHFHQSSCHNSAHMPXIIMVXIPPBDKPSAILNWRDKUUFNPRTEHJWYJHOTCMMTYPRRTBMOSVDGRTBBMOQYBGIVBVFHOQBDORBGKSWGNKTWQTFHOQXCLSUACEGJSUYGILYBEOQBDLOQBDQTXFJKNNSUDACLNPRYDYIKSUWALNIRNRYDKNPXACLMPMPTVCXJPRTYFEDIRIPQTXEHQLXAHJSSUYEGNPRBGFHSNUYIDGIHCWGHKOVAHJJSXTVBKROVYBJSVQCEDDJGORYVDGLMTXXCFGINVYBKMPVBIKSUWVYCNSTTFIJLSWYCKVCHIPTWXBKTVXADMIIRWEHLNPVAAJLPSVSSEFIJTVRYJKMUWUGCWYBKNMXYHGMQSPYBDFJLRUYBEMOQTPYTXFIQMXEHQSSUGELNPRDGIHSVUWGLPFMPXYDLNOSACHJQUOAVDNOACDFOQYUFHXGGKPVBAFLNPUBGIJOQSTCFQPSCELSSURDCYHKJOWWEGMIQUPUTVHKLQSACLLNWBVBHMVYXDJNQSYDGFLHKTVWAJFMPYCFEPNVXHHQACCOJQCCGIHHJUTSCKGORAVXEPFJFMQYBILTWBIKNVTXFHKQVUAGDMOTTCBTFMHQUCXRAUGCWBBGGLRTXAJGGRTVWHWEIFMOXUCLLSAWEHKMOXBDLOQXAEGIPTPUTDCKGMOSVCHJRTWYBDORYBDFQXAEGJMFQTSUGGIKVBAELHFILLSVXCLGNPUEGIGKNPWBIKPVXCFLIUPRUXFIKNVOADKMOQQAIKROVFKMTVXBJGEMOQTDXHJSNVBADLDLKRTDXFHMVDAHJUSADEGRXDVEHSLWACXCJGMRRVYHJMUVXJDIPSUGFIRBVDHQLUSPXBDCNQXUDFHMOVLVWTBKSUWCDOUXACBKRUTGDJONWYEEMIHJLUYRDJONQSCLLPPVYBDFMVBDFJQRWYTVGNJLUDYDMHOQACIEGOWBEGOQYDJMQQNPBEGFQSUUEGKNVXPSUDFHJQSEAJMSWGTYIQSAEBHMLUWCEGCENRYUEHDMUVYGJRRYVDGKRBDFIOVUXCXYIQNQYBDGPMMVFHWFHJMXACDLOACJENKRVYBKOOWAEDGRTPNUWYDDOOSACHQSUCBDFHORXJMOQUWYGKHNJRWAYEMMOQCFHPMPWCBMIPYHDOQRVEUBMFQTVUAJLPVBTFBBGFHQVXFJJUXAHKHKRTFBJMTWYCBMPRNQSUDGILSWXALOWXUWIORTVXFMTVXCJNIQMVWBFMHQUUWGKRJKOUYYKMNWBBMOVYCEJILWEBBMOQRCXAXXHLNTWBDFMPBDFFCNMOADLMUQYDEHOSJSUWBIKMQWYBGPWSYYDJMOQAHLOVXALGFOVQSEAHKTVWAJFNKFOFCCLSWWBENUXYXFHSOWYHKMPWBDFMEMRTTCXGJONYBDLNKVXXHKMXFAHLSWYBWALNMRXDFHNSRVBIXIEMOWAHDOOYHJMQRWEGGIRVRAELHPTUTUXEJENVXACFQXBCYIKACNMPYBFFNRUWUTYFHJOUWBEIITBVACLLPSELLNSUCMOKLNSUENKKVDAGLKMVHQUGKRMVYFQMVVBHGGPTCFMINTXXCJNNONSCEAIITPVHILSUSELIPRWGNPRTBF
0x4b2a0f	0x4b3000	import	0x4b2a0f	ntdll.dll.NtAdjustGroupsToken
0x4b2a15	0x4b3010	import	0x4b2a15	advapi32.dll.SaferSetLevelInformation
0x4b2a1b	0x4b3030	import	0x4b2a1b	ole32.dll.StgConvertVariantToProperty
