reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401670	0x401695	string	0x401072	cba吃 blocks=Basic Latin,CJK Unified Ideographs
0x401a3b	0x401a73	string	0x401072	G9RH
0x401f00	0x401f51	string	0x401072	L6ؽk blocks=Basic Latin,Arabic
0x401fdb	0x401ff5	string	0x401072	:,~ֳ blocks=Basic Latin,Hebrew
0x4020e0	0x40215f	string	0x401072	!Pm(
0x40266c	0x40262b	string	0x401072	Ou}7
0x403366	0x403362	string	0x401072	?!Gnz
0x403bae	0x403b4c	string	0x401072	Wk"L6
0x4040f3	0x404150	string	0x401072	FR!G[?
0x404285	0x4042af	string	0x401072	w0Ϋ\vs blocks=Basic Latin,Greek and Coptic
0x404897	0x4048d5	string	0x401072	GGg\f'
0x404bf0	0x404c09	string	0x401072	̏߇oD blocks=Combining Diacritical Marks,NKo,Basic Latin
0x404d8e	0x404def	string	0x401072	?\a7_
0x4057f9	0x40579a	string	0x401072	wg7\awO
0x40619b	0x4061bc	string	0x401072	WWGw
0x4063a7	0x406400	string	0x401072	'''g7
0x406546	0x406597	string	0x401072	ogol7
0x406f08	0x406f71	string	0x401072	olwo
0x40713a	0x4070f3	string	0x401072	ggϟo blocks=Basic Latin,Greek and Coptic
0x4071cd	0x407164	string	0x401072	ogg_W
0x4079d2	0x407a53	string	0x401072	7=E\r
0x407f86	0x407f98	string	0x401072	.Rr7?
0x408010	0x407fb7	string	0x401072	\ehqb
0x408045	0x408079	string	0x401072	oz<hkh
0x40809d	0x408079	string	0x401072	oz<hkh
0x40a15c	0x40a173	string	0x401072	gP-3
0x4ae209	0x4b4000	string	0x4ae1d4	OECLOVBBAGEDHEOLQJLTBIRUCCOOUVUAWSXWCGDMKUCHVYEQQEOXBIRRVTXXWYBXCFHLGKIMMSUYEJOTINNVGIQHIPYYDBHHELNNMQQUURVTAAFEJJOPUTRIJVBNVVFKHLLXXFJJIMMJLKIPTTXVUYYEDDIRBJTBGOVGOQGGPNRRYXSWXBHFJJGNNMRVXCAYOLNRQRXDGNAFIRWYDLTDKKHOONPMMQUWUYYDAFFMQPUACKYCLYBJTBGNVAYYDBIFJRQQSPOOQQXCCGBQXFFJHTVENVFMPRRTBNOVUYYBBYYBDHHLLONRRRVBAISDKOWEHJRBJQVAXCEIGFJGGJHFLNMNRQQVUDKUEJJOBLSVAHKQOSUYYCBFFHHELIJLNRRRVFKJNNNAFPWHHPXYDLUDKKJOSRUYVVAXHKHIKHJLLUFNWFOPYEMWEHOWWFEIIKKJGIHFJINMOONPTYXGPVVACKTCEMVDLKRRXHOXXCAEYDHFEIIGMROOSUWWEIKUDNUXFWWCJRYIPPOOQQPTXBAAWYYXDHHGKMUEFKQVYJSBKSAAAEGKKWWBVBXCGGDHJHLSSPVBBAYEGLXGIQWEMUCJOTTBAEGIHECBIIKMJJNRMQXXAEOWGLSSXDKUDKURRXAUYWBBJNMMQNRRRVVAAFMOQNTUEMOYGOXFFSVDMPTTVVWCYDCADGFFCGEKKPTODGPXHCJLSEESVFCHJOSRRUVXXCEBFDCGLKKKOTTYFFKTVEOVXNNPTAAQQQVAAYDAYWVDHRQSYAYDIIIMVEOSBJSBLLCDKJJOUAAWVBFDEJIFJHLLRWVTGLPNNMBBLUDIUXEFLFNQAAEJLQUTTXUUYWVXWUBYDFKOQXBJSAAMRCHTRBGFFHQNNSXWYBFFBBIGMRQQVXVCCAGGLXAKRAJQQEHOVBFFHHNNKOLLPPTXUUYYYBDHPAJRTBLTDLNXDMKKOQUSRKOQNSRQSRWWBBBHPUTYYGNSXKMUCLJNNXKNRQVXVAAEBFGEGJNRRQOVUAEJQYLQVLUFIPWCJOONRPTSPUCAYDAGEDIKOPWEOVXSWFPYHQYVLIOOMBCIIMKOGIOOLQQRYEBDHFOTTDDLPYCORYHJAAIIHLLNURROSAWYXXAABGFFKRTIJQUDIUAHPWAEFDMJNFFLJNNKJLLPPPVTXAFLQLQWXOWYHRTBGVXBNPRVVBFECYDCCFEGMKKOOPUBCMTENOFGQAKPRCHEKKHJNPUUTXUUWVVDAACEMSXXEJLTGNQDIIMRTAQQQXWBBDCYYDIKMAWWEIIMMOXGIQAIPAHRAHMTVVVAYEDCEJGGFHGLNPOTSBGSXIIJRYMVGNVXGKKJNHMYYEIKONLIMRVSXCAEBBHFLLJSFKPEHRWCOWEGOVXCAKMYEONXGKSHJJNNRWVSSVCYYVAXWGIIOMOBGLPUTCMPYHQXYDEJIQYDDCCGEDHLLJPNRWVVDJHLGVFGQXHOWFIWCJQQUTUBXXCYDJGKHOLLPPQQUAFRWCHEOXGLXDKSRVTXCPPWWVAACBXFDHJLLQPPTDGIKOWYHQYIIVBJSBIRTQVXCAYVADFJGKKHOLLPRWDENSSXEFPEHQTGIMMRPYYPPRRRQURRVAXWEJHGMKQXVUKMUAMPWHRAJQRGFFLLNMJOOSSPRQQNSWEEIDTUEKOVXGQXBKRAYYDKHRPTVXXCYXVAAHLKKPUTTAACHRGJQYGJNDGPXXEEJIMJIGNKQTSPPRTGGKKJOXILSAAIPAMMBEJJNPRYVBCCEEDFCCIINMQRQVAAFENNXKPXFOOTSJLTBFHJEGMLLIMMMWVXXCCBGGMUWMRTCRYCSTDKSRRVDBACBEEFHGEDIMOQQXUEOUTYXIQXDKTCJIINTAHHHLKKOLQPOOTXFDJONNLRWYOTYEQTDSUDMPCWBBDDHEEIHMJLNROQUUUWYHQYINSUGPXHPTYXXDHHGJNNTQVUSRTVAAHLGQNNTTYIQABKSAJJHXGGSUUYXXVWYDAFFJJGLUTYYFDDMWFMJQYGJTBKSAYYFKKHGJIMMONKKOTV
0x4b29d0	0x4b3000	import	0x4b29d0	user32.dll.GetGUIThreadInfo
0x4b29d6	0x4b3008	import	0x4b29d6	user32.dll.GetUserObjectInformationA
0x4b29dc	0x4b3028	import	0x4b29dc	advapi32.dll.LookupPrivilegeDisplayNameW
