reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100010b8	0x1001a424	import	0x10001070	ole32.dll.CoInitialize
0x100012f2	0x10001339	string	0x10001210	9^$u>h
0x100013e5	0x10020100	string	0x10001210	CoopenRuntime.ini
0x100013fb	0x100200f0	string	0x10001210	Coopen
0x1000141a	0x100200e0	string	0x10001210	SETTING
0x10001438	0x100200cc	string	0x10001210	PlayTime
0x10001465	0x100200b0	string	0x10001210	IsLiveChannel
0x1000147a	0x10001482	string	0x10001210	9\$8u
0x1000178f	0x1001a370	import	0x10001210	USER32.dll.GetWindowRect
0x1000179d	0x1001a36c	import	0x10001210	USER32.dll.GetSystemMetrics
0x10001ba8	0x10020100	string	0x10001b60	CoopenRuntime.ini
0x10001bbe	0x100200f0	string	0x10001b60	Coopen
0x10001bdd	0x100200e0	string	0x10001b60	SETTING
0x10001c01	0x10020240	string	0x10001b60	%s\Templete\ModeB.tpl
0x10001c33	0x100201ec	string	0x10001b60	%s\image\Photo\local Photo\ModeBList.ini
0x10001c65	0x100201ac	string	0x10001b60	%s\image\Photo\local Photo\temp
0x10001ca3	0x1002019c	string	0x10001b60	Screen
0x10001d93	0x10020100	string	0x10001b60	CoopenRuntime.ini
0x10001db3	0x100200f0	string	0x10001b60	Coopen
0x10001dd4	0x100200e0	string	0x10001b60	SETTING
0x10001e28	0x1000d540	string	0x10001b60	SUVW
0x10001e66	0x1000d070	string	0x10001b60	QSUVW
0x10001eb3	0x1000d540	string	0x10001b60	SUVW
0x10001eb8	0x100202a8	string	0x10001b60	?data=
0x10001ec1	0x1000d5b0	string	0x10001b60	QSUVW
0x10001eeb	0x10020288	string	0x10001b60	\conf\UploadLog
0x10001f22	0x1002026c	string	0x10001b60	\conf\Log.txt
0x1000244d	0x100201ec	string	0x10002380	%s\image\Photo\local Photo\ModeBList.ini
0x1000277b	0x1001a374	import	0x10002380	USER32.dll.SendMessageW
0x100027d3	0x100202d8	string	0x10002380	%s\image\Photo\local Photo
0x10002826	0x100201ac	string	0x10002380	%s\image\Photo\local Photo\temp
0x10002896	0x10020100	string	0x10002380	CoopenRuntime.ini
