reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x65f444a2	0x65f41258	import	0x65f444a0	OLEAUT32.dll.SysStringLen
0x65f445f0	0x65f41224	import	0x65f445e2	KERNEL32.dll.DeleteCriticalSection
0x65f44607	0x65f41250	import	0x65f445f7	OLEAUT32.dll.SysAllocStringByteLen
0x65f4467b	0x65f4124c	import	0x65f4464e	OLEAUT32.dll.DllRegisterServer
0x65f446c1	0x65f41248	import	0x65f446b1	OLEAUT32.dll.VariantCopy
0x65f4472b	0x65f41414	import	0x65f446b1	ole32.dll.OleLoadFromStream
0x65f4478f	0x65f41240	import	0x65f446b1	OLEAUT32.dll.VariantTimeToDosDateTime
0x65f44798	0x65f41258	import	0x65f446b1	OLEAUT32.dll.SysStringLen
0x65f44849	0x65f4123c	import	0x65f44845	OLEAUT32.dll.VariantClear
0x65f44854	0x65f41244	import	0x65f44845	OLEAUT32.dll.VariantCopyInd
0x65f44872	0x65f41244	import	0x65f4486a	OLEAUT32.dll.VariantCopyInd
0x65f44889	0x65f41248	import	0x65f4486a	OLEAUT32.dll.VariantCopy
0x65f44a4d	0x65f41248	import	0x65f44a2e	OLEAUT32.dll.VariantCopy
0x65f44ac7	0x65f4140c	import	0x65f44a54	ole32.dll.OleSaveToStream
0x65f44ad5	0x65f41410	import	0x65f44a54	ole32.dll.WriteClassStm
0x65f44b31	0x65f41240	import	0x65f44a54	OLEAUT32.dll.VariantTimeToDosDateTime
0x65f44b41	0x65f41248	import	0x65f44a54	OLEAUT32.dll.VariantCopy
0x65f44b53	0x65f41258	import	0x65f44a54	OLEAUT32.dll.SysStringLen
0x65f44b5a	0x65f41254	import	0x65f44a54	OLEAUT32.dll.SysReAllocString
0x65f44b72	0x65f41248	import	0x65f44a54	OLEAUT32.dll.VariantCopy
0x65f44b7b	0x65f41258	import	0x65f44a54	OLEAUT32.dll.SysStringLen
0x65f44c2a	0x65f41230	import	0x65f44c19	KERNEL32.dll.EnterCriticalSection
0x65f44ca7	0x65f4122c	import	0x65f44c19	KERNEL32.dll.LeaveCriticalSection
0x65f44dc6	0x65f4123c	import	0x65f44d8f	OLEAUT32.dll.VariantClear
0x65f44dd2	0x65f41240	import	0x65f44d8f	OLEAUT32.dll.VariantTimeToDosDateTime
0x65f44e31	0x65f41248	import	0x65f44d8f	OLEAUT32.dll.VariantCopy
0x65f44e9e	0x65f41230	import	0x65f44e64	KERNEL32.dll.EnterCriticalSection
0x65f44ede	0x65f4123c	import	0x65f44e64	OLEAUT32.dll.VariantClear
0x65f44f35	0x65f41248	import	0x65f44e64	OLEAUT32.dll.VariantCopy
0x65f44f7a	0x65f41240	import	0x65f44e64	OLEAUT32.dll.VariantTimeToDosDateTime
0x65f44f98	0x65f41244	import	0x65f44e64	OLEAUT32.dll.VariantCopyInd
0x65f44f9f	0x65f4122c	import	0x65f44e64	KERNEL32.dll.LeaveCriticalSection
0x65f44fcd	0x65f41230	import	0x65f44e64	KERNEL32.dll.EnterCriticalSection
0x65f45035	0x65f41228	import	0x65f44e64	KERNEL32.dll.InitializeCriticalSection
0x65f45046	0x65f4504a	string	0x65f44e64	3\nF,
0x65f450c6	0x65f4122c	import	0x65f44e64	KERNEL32.dll.LeaveCriticalSection
0x65f450f7	0x65f41248	import	0x65f44e64	OLEAUT32.dll.VariantCopy
0x65f45477	0x65f41258	import	0x65f45424	OLEAUT32.dll.SysStringLen
0x65f4547e	0x65f41254	import	0x65f45424	OLEAUT32.dll.SysReAllocString
0x65f454c1	0x65f41258	import	0x65f45424	OLEAUT32.dll.SysStringLen
0x65f45859	0x65f41228	import	0x65f457d1	KERNEL32.dll.InitializeCriticalSection
0x65f458a2	0x65f41258	import	0x65f457d1	OLEAUT32.dll.SysStringLen
0x65f458f3	0x65f41258	import	0x65f457d1	OLEAUT32.dll.SysStringLen
0x65f459f0	0x65f459e4	string	0x65f459ce	9A\bu\t
0x65f45c92	0x65f45cab	string	0x65f45bdb	;~\bu\nV
0x65f45c97	0x65f45cab	string	0x65f45bdb	;~\bu\nV
0x65f45d37	0x65f45d42	string	0x65f45d30	^ËD$ blocks=Basic Latin,Latin-1 Supplement
0x65f45d75	0x65f41248	import	0x65f45d71	OLEAUT32.dll.VariantCopy
0x65f45d9e	0x65f41248	import	0x65f45d95	OLEAUT32.dll.VariantCopy
0x65f45dbf	0x65f41248	import	0x65f45dbb	OLEAUT32.dll.VariantCopy
0x65f45e0e	0x65f41254	import	0x65f45dfc	OLEAUT32.dll.SysReAllocString
0x65f45e37	0x65f41274	import	0x65f45dfc	OLEAUT32.dll.VariantInit
0x65f45e4b	0x65f41258	import	0x65f45e41	OLEAUT32.dll.SysStringLen
0x65f45ec6	0x65f41224	import	0x65f45e61	KERNEL32.dll.DeleteCriticalSection
0x65f45f40	0x65f41230	import	0x65f45edf	KERNEL32.dll.EnterCriticalSection
0x65f45f4c	0x65f4122c	import	0x65f45edf	KERNEL32.dll.LeaveCriticalSection
0x65f45f74	0x65f41230	import	0x65f45edf	KERNEL32.dll.EnterCriticalSection
0x65f45f89	0x65f4122c	import	0x65f45edf	KERNEL32.dll.LeaveCriticalSection
0x65f45fb1	0x65f41230	import	0x65f45edf	KERNEL32.dll.EnterCriticalSection
0x65f45fbd	0x65f4122c	import	0x65f45edf	KERNEL32.dll.LeaveCriticalSection
0x65f46002	0x65f4123c	import	0x65f45edf	OLEAUT32.dll.VariantClear
0x65f460dc	0x65f41248	import	0x65f45edf	OLEAUT32.dll.VariantCopy
0x65f46151	0x65f41230	import	0x65f46131	KERNEL32.dll.EnterCriticalSection
0x65f4616d	0x65f41248	import	0x65f46131	OLEAUT32.dll.VariantCopy
0x65f4617f	0x65f41240	import	0x65f46131	OLEAUT32.dll.VariantTimeToDosDateTime
0x65f4618a	0x65f4122c	import	0x65f46131	KERNEL32.dll.LeaveCriticalSection
0x65f461d3	0x65f41230	import	0x65f461be	KERNEL32.dll.EnterCriticalSection
0x65f46237	0x65f4122c	import	0x65f461be	KERNEL32.dll.LeaveCriticalSection
0x65f4625b	0x65f41230	import	0x65f46246	KERNEL32.dll.EnterCriticalSection
0x65f462be	0x65f4122c	import	0x65f46246	KERNEL32.dll.LeaveCriticalSection
0x65f462f5	0x65f41408	import	0x65f462cd	ole32.dll.CreateStreamOnHGlobal
0x65f4635e	0x65f41230	import	0x65f462cd	KERNEL32.dll.EnterCriticalSection
0x65f46374	0x65f4122c	import	0x65f462cd	KERNEL32.dll.LeaveCriticalSection
0x65f4639b	0x65f41230	import	0x65f462cd	KERNEL32.dll.EnterCriticalSection
0x65f463a7	0x65f4122c	import	0x65f462cd	KERNEL32.dll.LeaveCriticalSection
0x65f463cf	0x65f41230	import	0x65f462cd	KERNEL32.dll.EnterCriticalSection
0x65f463ed	0x65f4122c	import	0x65f462cd	KERNEL32.dll.LeaveCriticalSection
0x65f46415	0x65f41230	import	0x65f462cd	KERNEL32.dll.EnterCriticalSection
0x65f46421	0x65f4122c	import	0x65f462cd	KERNEL32.dll.LeaveCriticalSection
0x65f46449	0x65f41230	import	0x65f462cd	KERNEL32.dll.EnterCriticalSection
0x65f46467	0x65f4122c	import	0x65f462cd	KERNEL32.dll.LeaveCriticalSection
0x65f46544	0x65f46550	string	0x65f464bb	;~\fu
0x65f46547	0x65f41248	import	0x65f464bb	OLEAUT32.dll.VariantCopy
0x65f465f3	0x65f41244	import	0x65f4657d	OLEAUT32.dll.VariantCopyInd
0x65f46622	0x65f41248	import	0x65f4657d	OLEAUT32.dll.VariantCopy
0x65f46691	0x65f41254	import	0x65f46680	OLEAUT32.dll.SysReAllocString
0x65f4674e	0x65f4124c	import	0x65f46718	OLEAUT32.dll.DllRegisterServer
0x65f467d0	0x65f41248	import	0x65f467cc	OLEAUT32.dll.VariantCopy
0x65f467f1	0x65f41254	import	0x65f467cc	OLEAUT32.dll.SysReAllocString
0x65f468b8	0x65f41228	import	0x65f46815	KERNEL32.dll.InitializeCriticalSection
0x65f4698e	0x65f41230	import	0x65f46815	KERNEL32.dll.EnterCriticalSection
0x65f469d1	0x65f41244	import	0x65f46815	OLEAUT32.dll.VariantCopyInd
0x65f469e3	0x65f4122c	import	0x65f46815	KERNEL32.dll.LeaveCriticalSection
0x65f469f8	0x65f41248	import	0x65f46815	OLEAUT32.dll.VariantCopy
0x65f46a44	0x65f41248	import	0x65f46a12	OLEAUT32.dll.VariantCopy
0x65f46a9e	0x65f46bc6	string	0x65f46a5d	9Q t\b
0x65f46d32	0x65f41248	import	0x65f46a5d	OLEAUT32.dll.VariantCopy
0x65f46ddf	0x65f41248	import	0x65f46d61	OLEAUT32.dll.VariantCopy
0x65f46dfe	0x65f47151	string	0x65f46d61	9x t\b
0x65f46fad	0x65f41258	import	0x65f46d61	OLEAUT32.dll.SysStringLen
0x65f46fb6	0x65f41254	import	0x65f46d61	OLEAUT32.dll.SysReAllocString
0x65f46fde	0x65f41258	import	0x65f46d61	OLEAUT32.dll.SysStringLen
0x65f46fe7	0x65f41254	import	0x65f46d61	OLEAUT32.dll.SysReAllocString
0x65f46ffb	0x65f41244	import	0x65f46d61	OLEAUT32.dll.VariantCopyInd
0x65f47011	0x65f4125c	import	0x65f46d61	OLEAUT32.dll.SafeArrayCopy
0x65f47028	0x65f4125c	import	0x65f46d61	OLEAUT32.dll.SafeArrayCopy
0x65f47034	0x65f4123c	import	0x65f46d61	OLEAUT32.dll.VariantClear
0x65f47054	0x65f4125c	import	0x65f46d61	OLEAUT32.dll.SafeArrayCopy
0x65f47062	0x65f41248	import	0x65f46d61	OLEAUT32.dll.VariantCopy
0x65f47076	0x65f41248	import	0x65f46d61	OLEAUT32.dll.VariantCopy
0x65f4724f	0x65f41248	import	0x65f46d61	OLEAUT32.dll.VariantCopy
0x65f47350	0x65f41258	import	0x65f46d61	OLEAUT32.dll.SysStringLen
0x65f47359	0x65f41254	import	0x65f46d61	OLEAUT32.dll.SysReAllocString
0x65f47381	0x65f41258	import	0x65f46d61	OLEAUT32.dll.SysStringLen
0x65f4738a	0x65f41254	import	0x65f46d61	OLEAUT32.dll.SysReAllocString
0x65f4739e	0x65f41244	import	0x65f46d61	OLEAUT32.dll.VariantCopyInd
0x65f473b4	0x65f4125c	import	0x65f46d61	OLEAUT32.dll.SafeArrayCopy
0x65f473cb	0x65f4125c	import	0x65f46d61	OLEAUT32.dll.SafeArrayCopy
0x65f473d7	0x65f4123c	import	0x65f46d61	OLEAUT32.dll.VariantClear
0x65f473f7	0x65f4125c	import	0x65f46d61	OLEAUT32.dll.SafeArrayCopy
0x65f47405	0x65f41248	import	0x65f46d61	OLEAUT32.dll.VariantCopy
0x65f47419	0x65f41248	import	0x65f46d61	OLEAUT32.dll.VariantCopy
0x65f47500	0x65f41248	import	0x65f46d61	OLEAUT32.dll.VariantCopy
0x65f47509	0x65f41258	import	0x65f46d61	OLEAUT32.dll.SysStringLen
0x65f4757a	0x65f416a8	string	0x65f46d61	VarSet
0x65f4759e	0x65f475a2	string	0x65f46d61	9~Pt
0x65f475a5	0x65f475a9	string	0x65f46d61	RPhX
0x65f475ab	0x65f41658	string	0x65f46d61	Case Sensitive: %s, Indexed: %s
0x65f475c0	0x65f41628	string	0x65f46d61	User Data ( %ld ) items
0x65f475d3	0x65f41230	import	0x65f46d61	KERNEL32.dll.EnterCriticalSection
