reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401051	0x4152bc	import	0x40104c	KERNEL32.dll.CreateThread
0x4010a1	0x41a348	string	0x40104c	\IBWServiceLog.txt
0x401137	0x415390	import	0x40104c	USER32.dll.SetTimer
0x401144	0x41a2c8	string	0x40104c	IDWAdmin Service will check for Scheduled data every %d seconds
0x401159	0x41538c	import	0x40104c	USER32.dll.GetMessageW
0x401187	0x415388	import	0x40104c	USER32.dll.KillTimer
0x4011b0	0x41a348	string	0x40104c	\IBWServiceLog.txt
0x4011cc	0x41a1f8	string	0x40104c	Error opening trace file\r\nStopping the service \r\nReason: Could open registry HKLM\Software\IDRIVEW\Path
0x4011e7	0x41a154	string	0x40104c	Error opening trace file at the location %s\r\nStopping the service, error no: %ld
0x40120c	0x415384	import	0x40104c	USER32.dll.PostThreadMessageW
0x401219	0x41538c	import	0x40104c	USER32.dll.GetMessageW
0x401237	0x41a108	string	0x40104c	Timer: stopping the service, Reason:
0x4012ae	0x415384	import	0x40104c	USER32.dll.PostThreadMessageW
0x4012bb	0x41538c	import	0x40104c	USER32.dll.GetMessageW
0x40132c	0x4152ac	import	0x40130b	KERNEL32.dll.GetLastError
0x401339	0x4152b0	import	0x40130b	KERNEL32.dll.FormatMessageW
0x401354	0x41a370	string	0x40130b	%s. %s
0x401383	0x4152b4	import	0x40130b	KERNEL32.dll.LocalFree
0x4014b2	0x4152a8	import	0x40130b	KERNEL32.dll.Sleep
0x4015a7	0x41a380	string	0x40130b	IDWAdmin: Stopping the service, Reason:
0x401630	0x415384	import	0x40130b	USER32.dll.PostThreadMessageW
0x401693	0x41a3d4	string	0x40168a	IDWAdminProcess
0x40169b	0x415074	import	0x40168a	ADVAPI32.dll.RegisterEventSourceW
0x4016b9	0x415078	import	0x40168a	ADVAPI32.dll.ReportEventW
0x4016db	0x41503c	import	0x40168a	ADVAPI32.dll.DeregisterEventSource
0x4017e7	0x4017f2	string	0x4017b9	^ø4@A blocks=Basic Latin,Latin-1 Supplement
0x401945	0x41a460	string	0x4017f4	Information : %02d/%02d/%04d %02d:%02d:%02d : %s\r\n
0x4019e5	0x41a3f8	string	0x4017f4	Error : %02d/%02d/%04d %02d:%02d:%02d : %s\r\n
0x401a79	0x41a524	string	0x401a5a	Software\IDRIVEW
0x401a9e	0x41506c	import	0x401a5a	ADVAPI32.dll.RegCloseKey
0x401ac0	0x41a518	string	0x401a5a	Path
0x401acb	0x415070	import	0x401a5a	ADVAPI32.dll.RegQueryValueExW
0x401ad8	0x41506c	import	0x401a5a	ADVAPI32.dll.RegCloseKey
0x401afb	0x41a4fc	string	0x401a5a	%s\IBCOMMON%s
0x401b4b	0x41a4c8	string	0x401a5a	Started IDWAdmin Service
0x401b92	0x41a548	string	0x401b7a	Stopped IDWAdmin Service\r\n
0x401bc7	0x41506c	import	0x401b7a	ADVAPI32.dll.RegCloseKey
0x401bec	0x415068	import	0x401bd2	ADVAPI32.dll.RegOpenKeyExW
0x401bfd	0x41506c	import	0x401bd2	ADVAPI32.dll.RegCloseKey
0x401c1a	0x415394	import	0x401c10	USER32.dll.CharNextW
0x401c63	0x41505c	import	0x401c55	ADVAPI32.dll.OpenSCManagerW
0x401c79	0x415060	import	0x401c55	ADVAPI32.dll.OpenServiceW
0x401c7f	0x415064	import	0x401c55	ADVAPI32.dll.CloseServiceHandle
0x401cd6	0x415074	import	0x401c98	ADVAPI32.dll.RegisterEventSourceW
0x401cf0	0x415078	import	0x401c98	ADVAPI32.dll.ReportEventW
0x401cf7	0x41503c	import	0x401c98	ADVAPI32.dll.DeregisterEventSource
0x401d3f	0x415058	import	0x401d25	ADVAPI32.dll.RegisterServiceCtrlHandlerW
0x401d51	0x41a6c8	string	0x401d25	Handler not installed
0x401d60	0x41a698	string	0x401d25	Global\IDWAdminProcess
0x401d79	0x41529c	import	0x401d25	KERNEL32.dll.CreateMutexW
0x401d7f	0x4152ac	import	0x401d25	KERNEL32.dll.GetLastError
0x401daa	0x41a678	string	0x401d25	Service stopped
0x401db7	0x4152a0	import	0x401d25	KERNEL32.dll.CloseHandle
0x401dc3	0x41a608	string	0x401d25	Already another instence of IDWAdmin Service is running
0x401dfd	0x41a6f4	string	0x401de7	Bad service request
0x401e21	0x415384	import	0x401de7	USER32.dll.PostThreadMessageW
0x401e42	0x415054	import	0x401e2b	ADVAPI32.dll.SetServiceStatus
0x401e64	0x415294	import	0x401e4b	KERNEL32.dll.GetCurrentThreadId
0x401e73	0x415470	import	0x401e4b	ole32.dll.CoInitializeEx
0x401ea4	0x415458	import	0x401e4b	ole32.dll.CoInitializeSecurity
0x401eb8	0x41a79c	string	0x401e4b	IDWAdmin Service started
0x401ef6	0x415384	import	0x401e4b	USER32.dll.PostThreadMessageW
0x401f0f	0x41538c	import	0x401e4b	USER32.dll.GetMessageW
0x401f1d	0x415398	import	0x401e4b	USER32.dll.DispatchMessageW
0x401f6e	0x41a75c	string	0x401e4b	Paused IDWAdminProcess Service
0x401fa8	0x41a71c	string	0x401e4b	Resumed IDWAdminProcess Service
0x402005	0x415298	import	0x401e4b	KERNEL32.dll.WaitForMultipleObjects
0x402015	0x41545c	import	0x401e4b	ole32.dll.CoUninitialize
0x402050	0x41528c	import	0x402044	KERNEL32.dll.GetCommandLineW
0x40209d	0x415290	import	0x402044	KERNEL32.dll.lstrcmpiW
0x4020a3	0x41a86c	string	0x402044	UnregServer
0x4020af	0x41a858	string	0x402044	RegServer
0x4020bb	0x41a848	string	0x402044	Service
0x4020e3	0x41a83c	string	0x402044	AppID
0x402106	0x41506c	import	0x402044	ADVAPI32.dll.RegCloseKey
0x40212f	0x41a7ec	string	0x402044	{F30B3ECE-15CF-4655-B3C6-21681255FAA4}
0x40214c	0x41506c	import	0x402044	ADVAPI32.dll.RegCloseKey
0x402182	0x41a7d0	string	0x402044	LocalService
0x40218d	0x415070	import	0x402044	ADVAPI32.dll.RegQueryValueExW
0x4021b7	0x41506c	import	0x402044	ADVAPI32.dll.RegCloseKey
0x4021f0	0x415450	import	0x4021da	ole32.dll.CoInitialize
0x40221f	0x41a83c	string	0x4021da	AppID
0x402243	0x41506c	import	0x4021da	ADVAPI32.dll.RegCloseKey
0x402252	0x41a7ec	string	0x4021da	{F30B3ECE-15CF-4655-B3C6-21681255FAA4}
0x40226c	0x41a7d0	string	0x4021da	LocalService
0x402274	0x41504c	import	0x4021da	ADVAPI32.dll.RegDeleteValueW
0x40227f	0x415288	import	0x4021da	KERNEL32.dll.lstrlenW
0x402285	0x41a8c4	string	0x4021da	IDWAdmin
0x402293	0x415050	import	0x4021da	ADVAPI32.dll.RegSetValueExW
0x40229c	0x41a7d0	string	0x4021da	LocalService
0x4022a6	0x41a8b0	string	0x4021da	-Service
0x4022b8	0x41a88c	string	0x4021da	ServiceParameters
0x4022da	0x41545c	import	0x4021da	ole32.dll.CoUninitialize
0x4022e3	0x41506c	import	0x4021da	ADVAPI32.dll.RegCloseKey
0x402315	0x415450	import	0x402310	ole32.dll.CoInitialize
0x40233c	0x41545c	import	0x402310	ole32.dll.CoUninitialize
0x4023a8	0x415418	import	0x402346	USER32.dll.LoadStringW
0x4023fb	0x401c55	string	0x4023ed	SVW3
0x402411	0x41505c	import	0x4023ed	ADVAPI32.dll.OpenSCManagerW
0x40243d	0x415284	import	0x4023ed	KERNEL32.dll.GetModuleFileNameW
0x402486	0x41a908	string	0x4023ed	RPCSS
0x40249e	0x415048	import	0x4023ed	ADVAPI32.dll.CreateServiceW
0x4024ab	0x415064	import	0x4023ed	ADVAPI32.dll.CloseServiceHandle
0x4024b3	0x41a8d8	string	0x4023ed	Couldn't create service
0x4024b9	0x41541c	import	0x4023ed	USER32.dll.MessageBoxW
0x4024c3	0x415064	import	0x4023ed	ADVAPI32.dll.CloseServiceHandle
0x4024e2	0x401c55	string	0x4024d9	SVW3
0x4024ee	0x402573	string	0x4024d9	_^][
0x4024fc	0x41505c	import	0x4024d9	ADVAPI32.dll.OpenSCManagerW
0x402516	0x41541c	import	0x4024d9	USER32.dll.MessageBoxW
0x40251e	0x402573	string	0x4024d9	_^][
0x40252d	0x415060	import	0x4024d9	ADVAPI32.dll.OpenServiceW
0x40253a	0x415064	import	0x4024d9	ADVAPI32.dll.CloseServiceHandle
0x402542	0x41a958	string	0x4024d9	Couldn't open service
0x402551	0x415040	import	0x4024d9	ADVAPI32.dll.ControlService
0x402558	0x415044	import	0x4024d9	ADVAPI32.dll.DeleteService
0x40255f	0x415064	import	0x4024d9	ADVAPI32.dll.CloseServiceHandle
0x4025b0	0x415000	import	0x40257b	ADVAPI32.dll.StartServiceCtrlDispatcherW
0x402601	0x415284	import	0x4025cc	KERNEL32.dll.GetModuleFileNameW
0x402616	0x415280	import	0x4025cc	KERNEL32.dll.GetShortPathNameW
0x402623	0x415288	import	0x4025cc	KERNEL32.dll.lstrlenW
0x40266d	0x41a998	string	0x4025cc	Module
0x4026a6	0x41a984	string	0x4025cc	REGISTRY
0x40275c	0x415288	import	0x402712	KERNEL32.dll.lstrlenW
0x402773	0x415454	import	0x402712	ole32.dll.CoTaskMemAlloc
0x4027ee	0x41544c	import	0x402712	ole32.dll.CoTaskMemFree
0x402824	0x41544c	import	0x402818	ole32.dll.CoTaskMemFree
0x402896	0x415264	import	0x402880	KERNEL32.dll.LoadLibraryExW
0x4028a5	0x4152ac	import	0x402880	KERNEL32.dll.GetLastError
0x4028d6	0x415268	import	0x402880	KERNEL32.dll.FindResourceW
0x4028e2	0x4152ac	import	0x402880	KERNEL32.dll.GetLastError
0x402905	0x41526c	import	0x402880	KERNEL32.dll.LoadResource
0x402919	0x415270	import	0x402880	KERNEL32.dll.SizeofResource
0x402953	0x415274	import	0x402880	KERNEL32.dll.lstrlenA
0x402977	0x415278	import	0x402880	KERNEL32.dll.MultiByteToWideChar
0x40298e	0x41527c	import	0x402880	KERNEL32.dll.FreeLibrary
0x402a91	0x41544c	import	0x4029a0	ole32.dll.CoTaskMemFree
0x402aaf	0x415290	import	0x402aa0	KERNEL32.dll.lstrcmpiW
0x402af0	0x415394	import	0x402ad3	USER32.dll.CharNextW
0x402b1e	0x415394	import	0x402afc	USER32.dll.CharNextW
0x402bb3	0x415394	import	0x402afc	USER32.dll.CharNextW
0x402bf1	0x415394	import	0x402be8	USER32.dll.CharNextW
0x402c21	0x415288	import	0x402c04	KERNEL32.dll.lstrlenW
0x402c32	0x415454	import	0x402c04	ole32.dll.CoTaskMemAlloc
0x402c5a	0x415394	import	0x402c04	USER32.dll.CharNextW
0x402cbb	0x415260	import	0x402c04	KERNEL32.dll.lstrcpynW
0x402d31	0x41544c	import	0x402c04	ole32.dll.CoTaskMemFree
0x402d4d	0x41544c	import	0x402c04	ole32.dll.CoTaskMemFree
0x402d69	0x415460	import	0x402d54	ole32.dll.CoTaskMemRealloc
0x402dae	0x415290	import	0x402d97	KERNEL32.dll.lstrcmpiW
0x402e20	0x415290	import	0x402dcf	KERNEL32.dll.lstrcmpiW
0x402e7b	0x415394	import	0x402dcf	USER32.dll.CharNextW
0x402e96	0x415290	import	0x402dcf	KERNEL32.dll.lstrcmpiW
0x402ef9	0x41506c	import	0x402dcf	ADVAPI32.dll.RegCloseKey
0x402f11	0x41506c	import	0x402dcf	ADVAPI32.dll.RegCloseKey
0x402f1e	0x415290	import	0x402dcf	KERNEL32.dll.lstrcmpiW
0x402f45	0x415290	import	0x402dcf	KERNEL32.dll.lstrcmpiW
0x402fd2	0x41504c	import	0x402dcf	ADVAPI32.dll.RegDeleteValueW
0x402ffd	0x415394	import	0x402dcf	USER32.dll.CharNextW
0x403058	0x415034	import	0x402dcf	ADVAPI32.dll.RegCreateKeyExW
0x403070	0x41506c	import	0x402dcf	ADVAPI32.dll.RegCloseKey
0x4030f1	0x415260	import	0x402dcf	KERNEL32.dll.lstrcpynW
