reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4014ed	0x4230c0	string	0x4014a0	Bad code size. (LZW)
0x401ae6	0x4230f4	string	0x4016f0	Error decoding file. (LZW)
0x401f2d	0x41c088	import	0x401f00	GDI32.dll.DeleteObject
0x401f50	0x41c08c	import	0x401f00	GDI32.dll.CreateCompatibleDC
0x401fb6	0x41c090	import	0x401f00	GDI32.dll.CreateDIBSection
0x401fc4	0x41c094	import	0x401f00	GDI32.dll.SelectObject
0x4020de	0x41c098	import	0x401f00	GDI32.dll.BitBlt
0x4020ec	0x41c094	import	0x401f00	GDI32.dll.SelectObject
0x4020f5	0x41c088	import	0x401f00	GDI32.dll.DeleteObject
0x4021d2	0x42316c	string	0x402160	GIF89a
0x4023f2	0x423150	string	0x402160	Error writing file
0x402559	0x423174	string	0x4024b0	GIFVER
0x4027ef	0x4027bd	string	0x4024b0	;^\bs>j\f
0x4027fe	0x4027bd	string	0x4024b0	;^\bs>j\f
0x402cfa	0x41c07c	import	0x402b20	GDI32.dll.GetCurrentObject
0x402d11	0x41c080	import	0x402b20	GDI32.dll.GetObjectW
0x402d1e	0x42317c	string	0x402b20	Arial
0x402d2a	0x41c084	import	0x402b20	GDI32.dll.CreateFontIndirectW
0x402e59	0x41c3f0	import	0x402df0	USER32.dll.RedrawWindow
0x402ea8	0x41c3d4	import	0x402e90	USER32.dll.GetClientRect
0x402f6d	0x41c3d8	import	0x402e90	USER32.dll.SetScrollRange
0x402f80	0x41c3e8	import	0x402e90	USER32.dll.SetScrollPos
0x402f91	0x41c3ec	import	0x402e90	USER32.dll.ShowScrollBar
0x40321b	0x403cec	string	0x403120	h<2B
0x403345	0x40334d	string	0x403120	h\f2B
0x40334d	0x42320c	string	0x403120	ahref
0x403387	0x4231f4	string	0x403120	center
0x4033a4	0x4231e4	string	0x403120	/center
0x4034a4	0x41c3d0	import	0x403120	USER32.dll.LoadBitmapW
0x4034c0	0x41c080	import	0x403120	GDI32.dll.GetObjectW
0x4034e5	0x41c08c	import	0x403120	GDI32.dll.CreateCompatibleDC
0x4035e6	0x41c098	import	0x403120	GDI32.dll.BitBlt
0x403652	0x4231b8	string	0x403120	img=
0x4037c3	0x4231a8	string	0x403120	vlajka=
0x4038df	0x41c078	import	0x403120	GDI32.dll.Rectangle
0x403945	0x42319c	string	0x403120	map=
0x403a8e	0x41c078	import	0x403120	GDI32.dll.Rectangle
0x403b13	0x403cec	string	0x403120	h<2B
0x403c7b	0x41c078	import	0x403120	GDI32.dll.Rectangle
0x404206	0x41c3e8	import	0x404030	USER32.dll.SetScrollPos
0x404219	0x41c3f0	import	0x404030	USER32.dll.RedrawWindow
0x40424f	0x41c3e8	import	0x404030	USER32.dll.SetScrollPos
0x404276	0x41c3f0	import	0x404030	USER32.dll.RedrawWindow
0x4042b8	0x41c3e8	import	0x404030	USER32.dll.SetScrollPos
0x4042cb	0x41c3f0	import	0x404030	USER32.dll.RedrawWindow
0x4042ec	0x41c3e8	import	0x404030	USER32.dll.SetScrollPos
0x4042ff	0x41c3f0	import	0x404030	USER32.dll.RedrawWindow
0x40435b	0x4043bc	string	0x404030	_^][
0x40436b	0x41c3cc	import	0x404030	USER32.dll.PtInRect
0x404546	0x41c3c8	import	0x4044f0	USER32.dll.EnableWindow
0x404556	0x41c3c8	import	0x4044f0	USER32.dll.EnableWindow
0x404667	0x41c3c4	import	0x4045e0	USER32.dll.SendMessageW
0x404687	0x41c1b4	import	0x4045e0	KERNEL32.dll.lstrlenW
0x40469f	0x41c074	import	0x4045e0	GDI32.dll.TextOutW
0x404725	0x404740	string	0x404710	hPG@
0x404cac	0x41c3c0	import	0x404b00	USER32.dll.LoadIconW
0x404e38	0x41c3bc	import	0x404b00	USER32.dll.GetSysColor
0x404e8e	0x41c3c4	import	0x404b00	USER32.dll.SendMessageW
0x404ed9	0x41c258	import	0x404b00	KERNEL32.dll.GetCurrentDirectoryW
0x404eed	0x42337c	string	0x404b00	\staty.smx
0x404f6c	0x423348	string	0x404b00	Nenalezen datov
0x405174	0x423338	string	0x404b00	Severn
0x4051d8	0x423320	string	0x404b00	Afrika
0x40520e	0x423318	string	0x404b00	Evropa
0x405244	0x423310	string	0x404b00	Asie
0x40527d	0x4232fc	string	0x404b00	Austr
0x40532d	0x41c3c4	import	0x405300	USER32.dll.SendMessageW
0x405458	0x4233e0	string	0x405300	%s<b>%s:</b> %s<br>
0x4054f9	0x4233cc	string	0x405300	beztextu
0x40552f	0x4233b8	string	0x405300	<mapka%s
0x405564	0x423388	string	0x405300	%s<b>%s:</b> %s<br><br>
0x4055ac	0x41c3f0	import	0x405300	USER32.dll.RedrawWindow
0x405650	0x41c3c4	import	0x405610	USER32.dll.SendMessageW
0x405804	0x41c3c4	import	0x405800	USER32.dll.SendMessageW
0x405952	0x41c3c4	import	0x405900	USER32.dll.SendMessageW
0x405a74	0x423408	string	0x405900	Lexikon
0x405af7	0x41c3b8	import	0x405900	USER32.dll.GetWindowRect
0x405b36	0x41c3d4	import	0x405900	USER32.dll.GetClientRect
0x405d9c	0x41c3f0	import	0x405900	USER32.dll.RedrawWindow
0x4062de	0x41c3c4	import	0x406260	USER32.dll.SendMessageW
0x40640e	0x4064b7	string	0x406260	hx4B
0x4064d4	0x41c3c4	import	0x406260	USER32.dll.SendMessageW
0x40664b	0x41c3b4	import	0x406260	USER32.dll.UpdateWindow
0x406702	0x41c3b0	import	0x406260	USER32.dll.IsWindowVisible
0x40671f	0x41c3cc	import	0x406260	USER32.dll.PtInRect
0x406725	0x41c3c4	import	0x406260	USER32.dll.SendMessageW
0x406741	0x423484	string	0x406260	V demo verzi je k dispozici pouze jedna polo
