reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001031	0x1001e0a0	string	0x10001000	\\.\SCDEmuDev%d
0x100010a4	0x1001e0a0	string	0x10001070	\\.\SCDEmuDev%d
0x10001104	0x10001122	string	0x100010e0	_^3\rL$
0x1000116a	0x100191f8	import	0x10001140	KERNEL32.dll.GetLogicalDrives
0x1000121e	0x1001e0c0	string	0x10001140	Drive %d\r\n\r\nThe drive letter [%C:] is already in use. PowerISO will use [%C:] for this drive.
0x10001333	0x1001e18c	string	0x100012c0	\Device\SCDEmu\SCDEmuCd
0x10001352	0x100191f8	import	0x100012c0	KERNEL32.dll.GetLogicalDrives
0x10001407	0x1001e17c	string	0x100012c0	\\.\%c:
0x1000155b	0x1001e1c4	string	0x100014e0	\Device\SCDEmu\SCDEmuCd%u
0x1000157f	0x100191ec	import	0x100014e0	KERNEL32.dll.DefineDosDeviceW
0x100015f2	0x100191f0	import	0x100014e0	KERNEL32.dll.DeviceIoControl
0x10001683	0x100191f0	import	0x10001620	KERNEL32.dll.DeviceIoControl
0x1000169a	0x100191ec	import	0x10001620	KERNEL32.dll.DefineDosDeviceW
0x10001802	0x100191f0	import	0x10001780	KERNEL32.dll.DeviceIoControl
0x10001825	0x1001e214	string	0x10001780	\??\UNC\
0x10001844	0x1001e208	string	0x10001780	\??\
0x10001888	0x1001e25c	string	0x10001880	Software\PowerISO\SCDEmu\
0x1000188e	0x1001e248	string	0x10001880	DiskCount
0x100018a1	0x1001e234	string	0x10001880	ImageName
0x100018aa	0x1001e228	string	0x10001880	%s%d
0x100018b5	0x1001e25c	string	0x10001880	Software\PowerISO\SCDEmu\
0x100018e3	0x1001e314	string	0x100018e0	SCDEMUAPP_C2C80BFB WNDCLASS
0x100018f9	0x1001e290	string	0x100018e0	You need restart your computer before use PowerISO Virtual Drive.
0x10001954	0x1001e418	string	0x10001920	\\.\SCDEmuDev0
0x10001980	0x100191e4	import	0x10001920	KERNEL32.dll.GetLastError
0x100019b8	0x1001e380	string	0x10001920	PowerISO Virtual Drive is not installed correctly.\r\n\r\nPlease reinstall it.
0x100019d1	0x1001e34c	string	0x10001920	%s (Error Code = %x, %x)
0x100019f0	0x100191e8	import	0x10001920	KERNEL32.dll.CloseHandle
0x10001a33	0x1001e438	string	0x10001a20	PowerISO Virtual Drive requires Windows 2000/XP or above operating systems.
0x10001ae2	0x1001e4d4	string	0x10001ab0	mount "%s" %C:
0x10001b5c	0x10008730	string	0x10001b10	SVWh
0x10001b72	0x1001e4f4	string	0x10001b10	.daa
0x10001c6b	0x100191e4	import	0x10001bf0	KERNEL32.dll.GetLastError
0x10001ca3	0x1001e500	string	0x10001bf0	-ii1 -vunmount %d
0x10001cd8	0x100191f0	import	0x10001bf0	KERNEL32.dll.DeviceIoControl
0x10001d5c	0x1001e234	string	0x10001bf0	ImageName
0x10001d61	0x1001e228	string	0x10001bf0	%s%d
0x10001d6c	0x1001e25c	string	0x10001bf0	Software\PowerISO\SCDEmu\
0x10001e94	0x10019330	import	0x10001e50	USER32.dll.BroadcastSystemMessage
0x10001f10	0x1001e25c	string	0x10001f10	Software\PowerISO\SCDEmu\
0x10001f17	0x1001e52c	string	0x10001f10	FLAGS
0x10001f34	0x1001e25c	string	0x10001f30	Software\PowerISO\SCDEmu\
0x10001f3a	0x1001e52c	string	0x10001f30	FLAGS
0x10001f68	0x1001e554	string	0x10001f50	SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\DriveIcons\%C\DefaultIcon
0x10001fe6	0x10019008	import	0x10001f50	ADVAPI32.dll.RegCloseKey
0x10002012	0x1001e538	string	0x10001f50	PWRISOVM.EXE
0x10002025	0x1001e538	string	0x10001f50	PWRISOVM.EXE
0x1000202a	0x1001e538	string	0x10001f50	PWRISOVM.EXE
0x10002078	0x1001e418	string	0x10002060	\\.\SCDEmuDev0
0x100020a8	0x1001e538	string	0x10002060	PWRISOVM.EXE
0x100020e2	0x1001e538	string	0x10002060	PWRISOVM.EXE
0x1000210c	0x1001e698	string	0x10002060	\Registry\Machine\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\DriveIcons\%C\DefaultIcon
0x10002191	0x100191f0	import	0x10002060	KERNEL32.dll.DeviceIoControl
0x100021be	0x1001e698	string	0x10002060	\Registry\Machine\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\DriveIcons\%C\DefaultIcon
0x100021fb	0x1001e5f0	string	0x10002060	\Registry\Machine\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\DriveIcons\%C
0x10002378	0x1001e538	string	0x10002260	PWRISOVM.EXE
0x100023b3	0x1001e538	string	0x10002260	PWRISOVM.EXE
0x100023be	0x1001e828	string	0x10002260	-startup
0x100023ff	0x1001e7c8	string	0x10002260	Software\Microsoft\Windows\CurrentVersion\Run\
0x10002424	0x1001e538	string	0x10002260	PWRISOVM.EXE
0x1000243f	0x10019008	import	0x10002260	ADVAPI32.dll.RegCloseKey
0x1000246e	0x1001e7a0	string	0x10002260	-ii1 -vset_autorun
0x10002491	0x1001e7c8	string	0x10002260	Software\Microsoft\Windows\CurrentVersion\Run\
0x100024bd	0x1001e538	string	0x10002260	PWRISOVM.EXE
0x100024cf	0x1001e538	string	0x10002260	PWRISOVM.EXE
0x100024e0	0x10019008	import	0x10002260	ADVAPI32.dll.RegCloseKey
0x100024e8	0x1001e768	string	0x10002260	SCDEMUAPP_C2C80BFA WNDCLASS
0x1000271a	0x1001e854	string	0x100026c0	Drive [%c:]
0x1000274c	0x1001e83c	string	0x100026c0	<No media>
0x10002852	0x1001e8ec	string	0x100027e0	<No Drive>
0x100028e4	0x1001e8b4	string	0x100027e0	Mount Image to Drive [%c:]
0x10002917	0x1001e83c	string	0x100027e0	<No media>
0x10002946	0x1001e888	string	0x100027e0	Mount %s to Drive %s
0x100029bb	0x1001e870	string	0x100027e0	Mount %s to
0x10002a4e	0x1001e888	string	0x100027e0	Mount %s to Drive %s
0x10002b66	0x1001e96c	string	0x10002b30	&Set Number of Drives
0x10002bc4	0x1001e934	string	0x10002b30	Set Number of Drives to %d
0x10002c19	0x1001e924	string	0x10002b30	Disable
0x10002c61	0x10019334	import	0x10002b30	USER32.dll.CheckMenuItem
0x10002c7e	0x1001e910	string	0x10002b30	%d Drives
0x10002c9c	0x1001e934	string	0x10002b30	Set Number of Drives to %d
0x10002d22	0x10019334	import	0x10002b30	USER32.dll.CheckMenuItem
0x10002d4a	0x1001e904	string	0x10002b30	More
0x10002d99	0x1001e910	string	0x10002b30	%d Drives
0x10002db7	0x1001e934	string	0x10002b30	Set Number of Drives to %d
0x10002e3d	0x10019334	import	0x10002b30	USER32.dll.CheckMenuItem
0x10002ecb	0x1001ea2c	string	0x10002e90	Set Drive Options
0x10002f16	0x1001ea14	string	0x10002e90	Auto&start
0x10002f39	0x1001e9e8	string	0x10002e90	Auto Start on Bootup
0x10002fa4	0x10019334	import	0x10002e90	USER32.dll.CheckMenuItem
0x10002fbf	0x1001e9d0	string	0x10002e90	Auto&mount
0x10002fd8	0x1001e998	string	0x10002e90	Auto Mount Image on Bootup
0x1000311c	0x1001e8b4	string	0x100030a0	Mount Image to Drive [%c:]
0x1000314f	0x1001e83c	string	0x100030a0	<No media>
0x10003182	0x1001e8b4	string	0x100030a0	Mount Image to Drive [%c:]
0x100031fd	0x1001ea50	string	0x100030a0	Unmount Drive [%c:]
0x10003227	0x1001ea50	string	0x100030a0	Unmount Drive [%c:]
0x10003350	0x1001ea78	string	0x10003320	&Unmount All Drives
0x1000336e	0x1001ea78	string	0x10003320	&Unmount All Drives
0x10003445	0x1001eae8	string	0x10003410	Make Image File
0x10003482	0x1001eaa0	string	0x10003410	Make Image File from selected drive
0x100035ab	0x1001eb08	string	0x10003570	Unpack/Mount ZIP, RAR, 7Z, ISO Archives with WinArchiver...
0x100035c1	0x1001eb08	string	0x10003570	Unpack/Mount ZIP, RAR, 7Z, ISO Archives with WinArchiver...
0x1000386a	0x1001eba0	string	0x100037c0	\PowerISO.exe
0x10003c9f	0x1001933c	import	0x10003c30	USER32.dll.CreateMenu
0x10003ce0	0x1001ebbc	string	0x10003c30	PowerISO
0x10003d08	0x10019338	import	0x10003c30	USER32.dll.SetMenuItemBitmaps
0x10003e4c	0x10019374	import	0x10003d40	ole32.dll.ReleaseStgMedium
0x10004182	0x1001934c	import	0x10004170	USER32.dll.GetMenuItemCount
0x10004196	0x100041ee	string	0x10004170	_^][
0x1000419c	0x100041ee	string	0x10004170	_^][
0x1000449f	0x1001933c	import	0x10004450	USER32.dll.CreateMenu
0x100045cd	0x1001ec04	string	0x10004590	DefaultFileType
0x100046df	0x1001e4f4	string	0x10004590	.daa
0x10004737	0x1000474f	string	0x10004590	3ҍL$ blocks=Basic Latin,Cyrillic
0x1000475b	0x1001ebd0	string	0x10004590	Drive_%c.%s
0x10004906	0x1001ec70	string	0x10004880	Add to &image file...
0x10004922	0x1001ec24	string	0x10004880	Add selected items to an image file.
0x10004a86	0x1001eccc	string	0x10004a00	&Add to
0x10004abd	0x1001ec9c	string	0x10004a00	Add selected items to
0x10004c70	0x1001ed2c	string	0x10004c40	Extract &to
0x10004c91	0x1001ece0	string	0x10004c40	Extract all files in the image file.
0x10004daa	0x1001edac	string	0x10004d30	E&xtract here
0x10004dc6	0x1001ed44	string	0x10004d30	Extract all files in the image file to this folder
0x10004eb0	0x1001ee4c	string	0x10004e80	Extract here using file names for folders
0x10004ed1	0x1001edc8	string	0x10004e80	Extract all files in the image file, using file names for folders
0x1000504a	0x10005060	string	0x10004fe0	SUVW
0x100052d1	0x1001eea0	string	0x100052a0	-pf
0x1000543e	0x100191e8	import	0x10005430	KERNEL32.dll.CloseHandle
0x100054e9	0x100191e0	import	0x10005470	KERNEL32.dll.WriteFile
0x10005672	0x1001eeb4	string	0x10005640	-c MAKE_IMAGE
0x10005747	0x1001eefc	string	0x10005710	-c NEW_SCD
0x10005790	0x1001eeec	string	0x10005710	-c ADD
0x100057a0	0x1001eed4	string	0x10005710	-c SAVE_AS
0x10005867	0x1001eefc	string	0x10005830	-c NEW_SCD
0x100058b4	0x1001eeec	string	0x10005830	-c ADD
0x100058c4	0x1001ef28	string	0x10005830	-c SAVE_TO
0x10005910	0x1001ef14	string	0x10005830	-c EXIT\r\n
0x10005cf0	0x1001ef40	string	0x10005cf0	http://www.winarchiver.com
0x10005e55	0x1001efac	string	0x10005dc0	-c EXTRACT_DLG
0x10005e65	0x1001ef8c	string	0x10005dc0	-c EXTRACT_TO
0x10005ea1	0x1001ef78	string	0x10005dc0	-c OPEN
0x10005f83	0x1001ef14	string	0x10005dc0	-c EXIT\r\n
0x10006063	0x1001936c	import	0x10005dc0	ole32.dll.StringFromIID
0x10006090	0x10019370	import	0x10005dc0	ole32.dll.CoGetMalloc
0x100060d2	0x1001f1ac	string	0x10005dc0	CLSID\%s\InProcServer32
0x100060db	0x1001f198	string	0x10005dc0	CLSID\%s
0x100060e7	0x1001ebbc	string	0x10005dc0	PowerISO
0x1000610b	0x1001f170	string	0x10005dc0	ThreadingModel
0x10006113	0x1001f15c	string	0x10005dc0	Apartment
0x100061b3	0x10019008	import	0x10005dc0	ADVAPI32.dll.RegCloseKey
0x100061d5	0x1001f10c	string	0x10005dc0	*\shellex\ContextMenuHandlers\PowerISO
0x100061e9	0x1001f0b4	string	0x10005dc0	Folder\shellex\ContextMenuHandlers\PowerISO
0x100061fd	0x1001f054	string	0x10005dc0	Directory\shellex\ContextMenuHandlers\PowerISO
0x100062a5	0x10019008	import	0x10005dc0	ADVAPI32.dll.RegCloseKey
0x100062c6	0x1001efcc	string	0x10005dc0	Software\Microsoft\Windows\CurrentVersion\Shell Extensions\Approved
0x100062fc	0x1001ebbc	string	0x10005dc0	PowerISO
0x10006334	0x10019008	import	0x10005dc0	ADVAPI32.dll.RegCloseKey
0x10006379	0x1001936c	import	0x10005dc0	ole32.dll.StringFromIID
0x100063a6	0x10019370	import	0x10005dc0	ole32.dll.CoGetMalloc
0x100063ce	0x1001f1ac	string	0x10005dc0	CLSID\%s\InProcServer32
0x100063e6	0x1001f198	string	0x10005dc0	CLSID\%s
0x10006448	0x1001f10c	string	0x10005dc0	*\shellex\ContextMenuHandlers\PowerISO
0x100064c3	0x100064e1	string	0x10005dc0	_^]3
0x100064c9	0x1001f1dc	string	0x10005dc0	Software\Microsoft\Windows\CurrentVersion\Shell Extensions\Approved\PowerISO
0x10006598	0x10019008	import	0x10006530	ADVAPI32.dll.RegCloseKey
0x100065ae	0x1001ebbc	string	0x10006530	PowerISO
0x10006679	0x100191e8	import	0x10006670	KERNEL32.dll.CloseHandle
0x100068fc	0x1001f290	string	0x100068c0	Software\PowerISO
0x1000693b	0x1001f290	string	0x100068c0	Software\PowerISO
0x1000695f	0x1001f278	string	0x100068c0	Install_Dir
0x10006972	0x10019008	import	0x100068c0	ADVAPI32.dll.RegCloseKey
0x10006996	0x1001f278	string	0x100068c0	Install_Dir
0x10006a20	0x1001e25c	string	0x10006a10	Software\PowerISO\SCDEmu\
