reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401064	0x4210c0	string	0x401050	numRootKeys
0x4010df	0x4210d8	string	0x401090	root
0x401210	0x42110c	string	0x4011c0	recurse
0x401299	0x421100	string	0x4011c0	TRUE
0x4012c5	0x4210ec	string	0x4011c0	FALSE
0x4013a0	0x42111c	string	0x401350	overwritedacl
0x401429	0x421100	string	0x401350	TRUE
0x401455	0x4210ec	string	0x401350	FALSE
0x401530	0x421138	string	0x4014e0	setonlyifinvalid
0x4015b9	0x421100	string	0x4014e0	TRUE
0x4015e5	0x4210ec	string	0x4014e0	FALSE
0x4016ad	0x421174	string	0x401670	numUsers
0x4016b2	0x421168	string	0x401670	Users
0x4016d5	0x42115c	string	0x401670	user
0x40173c	0x421168	string	0x401670	Users
0x4018c1	0x41b438	import	0x401820	USER32.dll.MessageBoxW
0x40195a	0x41b438	import	0x401820	USER32.dll.MessageBoxW
0x401c58	0x41b420	import	0x401c40	USER32.dll.LoadStringW
0x401c6c	0x41b424	import	0x401c40	USER32.dll.FindWindowW
0x401c77	0x421188	string	0x401c40	#32770
0x401c92	0x41b428	import	0x401c40	USER32.dll.GetWindowPlacement
0x401cc0	0x421188	string	0x401c40	#32770
0x401cdb	0x41b428	import	0x401c40	USER32.dll.GetWindowPlacement
0x401ce5	0x41b42c	import	0x401c40	USER32.dll.SetWindowPos
0x401cf3	0x41b430	import	0x401c40	USER32.dll.ShowWindow
0x401d20	0x41b434	import	0x401c40	USER32.dll.SetForegroundWindow
0x401d94	0x41b1d8	import	0x401d50	KERNEL32.dll.GetCurrentThread
0x401d9b	0x41b01c	import	0x401d50	ADVAPI32.dll.OpenThreadToken
0x401da1	0x41b1dc	import	0x401d50	KERNEL32.dll.GetLastError
0x401dbe	0x41b1e0	import	0x401d50	KERNEL32.dll.GetCurrentProcess
0x401dc5	0x41b018	import	0x401d50	ADVAPI32.dll.OpenProcessToken
0x401ddf	0x41b014	import	0x401d50	ADVAPI32.dll.GetTokenInformation
0x401e26	0x41b014	import	0x401d50	ADVAPI32.dll.GetTokenInformation
0x401e4b	0x41b010	import	0x401d50	ADVAPI32.dll.AllocateAndInitializeSid
0x401e79	0x41b00c	import	0x401d50	ADVAPI32.dll.EqualSid
0x401eb1	0x41b008	import	0x401d50	ADVAPI32.dll.FreeSid
0x401f76	0x4211bc	string	0x401ee0	HKLM
0x402056	0x4211b0	string	0x401ee0	HKCR
0x40208d	0x402136	string	0x401ee0	2ۍD$$h blocks=Basic Latin,Arabic
0x40213c	0x4211a4	string	0x401ee0	HKCU
0x402173	0x40221c	string	0x401ee0	2ۍT$$h blocks=Basic Latin,Arabic
0x402222	0x421198	string	0x401ee0	HKUS
0x40253d	0x41b41c	import	0x4023f0	USER32.dll.LoadIconW
0x402647	0x41b418	import	0x4023f0	USER32.dll.SendMessageW
0x4028ba	0x41b408	import	0x4023f0	USER32.dll.IsIconic
0x4028eb	0x41b418	import	0x4023f0	USER32.dll.SendMessageW
0x4028f1	0x41b40c	import	0x4023f0	USER32.dll.GetSystemMetrics
0x40290c	0x41b410	import	0x4023f0	USER32.dll.GetClientRect
