reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401036	0x4263b4	import	0x401000	USER32.dll.EnableWindow
0x401046	0x4263b4	import	0x401000	USER32.dll.EnableWindow
0x401136	0x42628c	import	0x4010f0	KERNEL32.dll.GetLogicalDrives
0x401155	0x42e10c	string	0x4010f0	%c:\
0x40117f	0x4263b8	import	0x4010f0	USER32.dll.SendMessageW
0x4011a2	0x426294	import	0x4010f0	KERNEL32.dll.GetDriveTypeW
0x401222	0x4263b8	import	0x4010f0	USER32.dll.SendMessageW
0x40126c	0x42e100	string	0x4010f0	.txt
0x40127c	0x4262e8	import	0x4010f0	SHELL32.dll.SHGetFileInfoW
0x401294	0x426018	import	0x4010f0	COMCTL32.dll.ImageList_SetBkColor
0x401319	0x42e0d0	string	0x4010f0	NO Removable Disk Found
0x4013fd	0x4262e8	import	0x4013c0	SHELL32.dll.SHGetFileInfoW
0x401808	0x42e118	string	0x401800	ProjectManagement
0x401851	0x4263bc	import	0x401840	USER32.dll.CharNextW
0x4018c5	0x426520	import	0x401840	ole32.dll.CoRevokeClassObject
0x401927	0x426284	import	0x401840	KERNEL32.dll.DeleteCriticalSection
0x40197c	0x426288	import	0x401840	KERNEL32.dll.HeapDestroy
0x4019a6	0x426524	import	0x401840	ole32.dll.CoUninitialize
0x4019da	0x426518	import	0x4019c0	ole32.dll.CoInitialize
0x401a34	0x426278	import	0x4019c0	KERNEL32.dll.GetCurrentThreadId
0x401a3f	0x42627c	import	0x4019c0	KERNEL32.dll.GetCommandLineW
0x401a71	0x426280	import	0x4019c0	KERNEL32.dll.lstrcmpiW
0x401a77	0x42e150	string	0x4019c0	UnregServer
0x401a81	0x401ae7	string	0x4019c0	SSSjgh
0x401a83	0x42e13c	string	0x4019c0	RegServer
0x401ac2	0x42651c	import	0x4019c0	ole32.dll.CoRegisterClassObject
0x401b99	0x426524	import	0x4019c0	ole32.dll.CoUninitialize
0x401c0e	0x426524	import	0x4019c0	ole32.dll.CoUninitialize
0x401c55	0x426274	import	0x401c30	KERNEL32.dll.InitializeCriticalSection
0x401d0b	0x426284	import	0x401cc0	KERNEL32.dll.DeleteCriticalSection
0x401d56	0x426288	import	0x401cc0	KERNEL32.dll.HeapDestroy
0x401ddb	0x426514	import	0x401d90	ole32.dll.CoCreateInstance
0x401faf	0x426514	import	0x401f50	ole32.dll.CoCreateInstance
0x401fd2	0x426268	import	0x401f50	KERNEL32.dll.GetModuleFileNameW
0x401feb	0x42626c	import	0x401f50	KERNEL32.dll.GetShortPathNameW
0x401ff8	0x426270	import	0x401f50	KERNEL32.dll.lstrlenW
0x40204c	0x42e184	string	0x401f50	Module
0x40208e	0x42e170	string	0x401f50	REGISTRY
0x4020bd	0x42e170	string	0x401f50	REGISTRY
0x40215b	0x426268	import	0x402110	KERNEL32.dll.GetModuleFileNameW
0x402172	0x426254	import	0x402110	KERNEL32.dll.lstrcatW
0x402179	0x4262a4	import	0x402110	OLEAUT32.dll.LoadRegTypeLib
0x4021a2	0x4263bc	import	0x402110	USER32.dll.CharNextW
0x4021c1	0x42e1c4	string	0x402110	.tlb
