reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001044	0x103326a0	string	0x10001020	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{0F50E3D9-711C-42AD-AFAB-1EA5AB439978}
0x1000105e	0x10332778	string	0x10001020	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{BEBF7481-07C5-42F5-941E-2E9F78A76D56}_is1
0x100012c4	0x10339578	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{D14F4181-275B-4837-9767-3E9E0672A884}
0x100012de	0x10339650	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{801EEB45-34C6-4BAB-BF15-5B95463A76F4}
0x1000130f	0x10339728	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{FBC350D5-10D0-4B9B-A9AC-5F2EA07770D5}
0x10001340	0x10339800	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{113A654E-BABD-48A3-B7BC-723E9CFC230C}
0x10001371	0x103398d8	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{24D97DC6-5BA2-49CB-8C46-4E1522A19D12}
0x100013a2	0x103399b0	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{FA0F449F-EF37-4561-ACB1-758903E799E0}
0x100013d3	0x10339a88	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{B3C5EC81-E740-4035-8666-428EA4E06E91}
0x10001404	0x10339b60	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{2B0C1D07-497C-48AF-B0C2-F100444B0298}
0x1000144f	0x10339b60	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{2B0C1D07-497C-48AF-B0C2-F100444B0298}
0x10001466	0x10339c38	string	0x100012a0	HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{86BF5CA7-5B84-434F-9059-FCDD06E83FFF}
0x10001497	0x10339d10	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{C66E1FC2-3EFD-4750-80F9-BE26294B1D86}
0x100014c8	0x10339de8	string	0x100012a0	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{5CC60005-3A3A-484A-9C05-2694358806E3}
0x10001594	0x1033a108	string	0x10001570	Config\
0x100015ae	0x1033a118	string	0x10001570	AeDetections\
0x100015df	0x1033a134	string	0x10001570	ArwDetections\
0x10001610	0x1033a154	string	0x10001570	MwacDetections\
0x10001641	0x1033a174	string	0x10001570	RtpDetections\
0x10001672	0x1033a194	string	0x10001570	ScanResults\
0x10001724	0x1033ab50	string	0x10001700	HKU\.DEFAULT\Software\Malwarebytes' Anti-Malware
0x1000173e	0x10339f28	string	0x10001700	HKLM\SOFTWARE\Wow6432Node\Malwarebytes' Anti-Malware
0x1000176f	0x10339fe8	string	0x10001700	HKLM\SOFTWARE\Malwarebytes' Anti-Malware
0x100017a0	0x10333500	string	0x10001700	HKCU\SOFTWARE\Malwarebytes' Anti-Malware
0x100017d1	0x1033abb8	string	0x10001700	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{1FC63031-C03E-4B20-AFE4-91375547F6B5}
0x10001802	0x1033ac90	string	0x10001700	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{72BE25D7-574A-4F4D-B9B3-907D239CE1C7}
0x10001833	0x1033ad68	string	0x10001700	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{1CB03FD2-09BD-43E5-8E28-B7A6CB477502}
0x10001864	0x1033ae40	string	0x10001700	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{86BF5CA7-5B84-434F-9059-FCDD06E83FFF}
0x100018af	0x10339d10	string	0x10001700	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{C66E1FC2-3EFD-4750-80F9-BE26294B1D86}
0x100018c6	0x1033af18	string	0x10001700	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{AA447184-9FDA-46C1-A38A-F90A3A555BA5}
0x100018f7	0x1033aff0	string	0x10001700	HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{3B88B200-D13F-4F51-B9EC-1D98DBF9ABD4}
0x10002bbf	0x1029e638	string	0x10002ba0	January
