reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401861	0x421054	import	0x401850	KERNEL32.dll.GetLastError
0x40262c	0x421008	import	0x402600	KERNEL32.dll.GetModuleFileNameW
0x402906	0x42100c	import	0x402900	KERNEL32.dll.GetProcAddress
0x403a87	0x421020	import	0x4039f0	KERNEL32.dll.GetTempPathW
0x403b2f	0x421018	import	0x4039f0	KERNEL32.dll.SetEnvironmentVariableW
0x403ba4	0x421018	import	0x4039f0	KERNEL32.dll.SetEnvironmentVariableW
0x403c16	0x421014	import	0x403be0	KERNEL32.dll.GetEnvironmentVariableW
0x403c32	0x42101c	import	0x403be0	KERNEL32.dll.ExpandEnvironmentStringsW
0x4040cc	0x421050	import	0x403e80	KERNEL32.dll.Sleep
0x404187	0x421018	import	0x404170	KERNEL32.dll.SetEnvironmentVariableW
0x40421b	0x421034	import	0x4041a0	KERNEL32.dll.GetStartupInfoW
0x4042ac	0x421010	import	0x4041a0	KERNEL32.dll.GetCommandLineW
0x4042bb	0x421030	import	0x4041a0	KERNEL32.dll.CreateProcessW
0x4042cb	0x421024	import	0x4041a0	KERNEL32.dll.WaitForSingleObject
0x4042d9	0x42102c	import	0x4041a0	KERNEL32.dll.GetExitCodeProcess
0x404349	0x421038	import	0x404330	KERNEL32.dll.LoadLibraryExW
0x404485	0x421050	import	0x404360	KERNEL32.dll.Sleep
0x4044e5	0x421048	import	0x4044e0	KERNEL32.dll.MultiByteToWideChar
0x404559	0x421044	import	0x4044e0	KERNEL32.dll.LoadLibraryA
0x40455f	0x42100c	import	0x4044e0	KERNEL32.dll.GetProcAddress
0x404623	0x421054	import	0x404600	KERNEL32.dll.GetLastError
0x404642	0x421040	import	0x404600	KERNEL32.dll.FormatMessageW
0x404719	0x42104c	import	0x4046c0	KERNEL32.dll.WideCharToMultiByte
0x40474e	0x42104c	import	0x4046c0	KERNEL32.dll.WideCharToMultiByte
0x404859	0x42103c	import	0x4047e0	KERNEL32.dll.CreateDirectoryW
0x404893	0x421048	import	0x404880	KERNEL32.dll.MultiByteToWideChar
0x4048f0	0x421048	import	0x404880	KERNEL32.dll.MultiByteToWideChar
0x404968	0x421048	import	0x404950	KERNEL32.dll.MultiByteToWideChar
0x4049c9	0x421048	import	0x404950	KERNEL32.dll.MultiByteToWideChar
0x404a0a	0x42104c	import	0x4049f0	KERNEL32.dll.WideCharToMultiByte
0x404a6f	0x42104c	import	0x4049f0	KERNEL32.dll.WideCharToMultiByte
0x404af5	0x421048	import	0x404aa0	KERNEL32.dll.MultiByteToWideChar
0x404b26	0x421048	import	0x404aa0	KERNEL32.dll.MultiByteToWideChar
0x404bd3	0x42104c	import	0x404bc0	KERNEL32.dll.WideCharToMultiByte
0x404c31	0x42104c	import	0x404bc0	KERNEL32.dll.WideCharToMultiByte
0x407658	0x421000	import	0x407658	ADVAPI32.dll.ConvertStringSecurityDescriptorToSecurityDescriptorW
0x40765e	0x421178	import	0x40765e	WS2_32.dll.ntohl
0x40799f	0x421060	import	0x40799a	KERNEL32.dll.SetUnhandledExceptionFilter
0x4079a8	0x42105c	import	0x40799a	KERNEL32.dll.UnhandledExceptionFilter
0x4079b3	0x421064	import	0x40799a	KERNEL32.dll.GetCurrentProcess
0x4079ba	0x421068	import	0x40799a	KERNEL32.dll.TerminateProcess
0x407e35	0x42107c	import	0x407e01	KERNEL32.dll.GetSystemTimeAsFileTime
0x407e44	0x421078	import	0x407e01	KERNEL32.dll.GetCurrentThreadId
0x407e4d	0x421074	import	0x407e01	KERNEL32.dll.GetCurrentProcessId
0x407e5a	0x421070	import	0x407e01	KERNEL32.dll.QueryPerformanceCounter
0x407ebe	0x421080	import	0x407eb9	KERNEL32.dll.InitializeSListHead
0x407ff9	0x421084	import	0x407f24	KERNEL32.dll.IsDebuggerPresent
0x408018	0x421060	import	0x407f24	KERNEL32.dll.SetUnhandledExceptionFilter
0x408022	0x42105c	import	0x407f24	KERNEL32.dll.UnhandledExceptionFilter
0x408044	0x421060	import	0x40803f	KERNEL32.dll.SetUnhandledExceptionFilter
0x40905b	0x42109c	import	0x409045	KERNEL32.dll.DeleteCriticalSection
0x4090f5	0x42100c	import	0x409091	KERNEL32.dll.GetProcAddress
0x409169	0x421038	import	0x409131	KERNEL32.dll.LoadLibraryExW
0x409175	0x421054	import	0x409131	KERNEL32.dll.GetLastError
0x409183	0x421038	import	0x409131	KERNEL32.dll.LoadLibraryExW
0x4091a5	0x4210b4	import	0x409131	KERNEL32.dll.FreeLibrary
0x40921d	0x4210b0	import	0x4091ec	KERNEL32.dll.TlsFree
0x40925a	0x4210ac	import	0x409226	KERNEL32.dll.TlsSetValue
0x4092a0	0x4210a0	import	0x409263	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x4092fe	0x4210b4	import	0x4092e3	KERNEL32.dll.FreeLibrary
0x409477	0x4210b8	import	0x409474	KERNEL32.dll.GetCommandLineA
0x409482	0x421010	import	0x409474	KERNEL32.dll.GetCommandLineW
0x40a048	0x4210bc	import	0x409f81	KERNEL32.dll.ReadFile
0x40a4c3	0x42109c	import	0x40a48a	KERNEL32.dll.DeleteCriticalSection
0x40a4f2	0x421094	import	0x40a4e6	KERNEL32.dll.EnterCriticalSection
0x40a506	0x421098	import	0x40a4fa	KERNEL32.dll.LeaveCriticalSection
0x40cfd8	0x421074	import	0x40cfd8	KERNEL32.dll.GetCurrentProcessId
0x40d083	0x4210c0	import	0x40cfde	KERNEL32.dll.CreateFileW
0x40d0d6	0x4210cc	import	0x40cfde	KERNEL32.dll.CloseHandle
0x40d196	0x4210c8	import	0x40d171	KERNEL32.dll.GetFileType
0x40d2c1	0x421054	import	0x40d171	KERNEL32.dll.GetLastError
0x40d305	0x4210d0	import	0x40d171	KERNEL32.dll.PeekNamedPipe
0x40d357	0x4210d8	import	0x40d329	KERNEL32.dll.FileTimeToSystemTime
0x40d36b	0x4210d4	import	0x40d329	KERNEL32.dll.SystemTimeToTzSpecificLocalTime
0x40d3b3	0x421054	import	0x40d329	KERNEL32.dll.GetLastError
0x40d79c	0x4210c4	import	0x40d71c	KERNEL32.dll.GetDriveTypeW
0x40d9c1	0x4210dc	import	0x40d9b3	KERNEL32.dll.GetFullPathNameW
0x40d9cb	0x421054	import	0x40d9b3	KERNEL32.dll.GetLastError
0x40da65	0x4210dc	import	0x40da29	KERNEL32.dll.GetFullPathNameW
0x40da73	0x421054	import	0x40da29	KERNEL32.dll.GetLastError
0x40dca2	0x421048	import	0x40dc0c	KERNEL32.dll.MultiByteToWideChar
0x40dcb0	0x421054	import	0x40dc0c	KERNEL32.dll.GetLastError
0x40dd0b	0x421048	import	0x40dc0c	KERNEL32.dll.MultiByteToWideChar
0x40dd52	0x421048	import	0x40dc0c	KERNEL32.dll.MultiByteToWideChar
0x40e6f0	0x42104c	import	0x40e6db	KERNEL32.dll.WideCharToMultiByte
0x40e71c	0x42104c	import	0x40e6db	KERNEL32.dll.WideCharToMultiByte
0x40e745	0x42104c	import	0x40e6db	KERNEL32.dll.WideCharToMultiByte
0x40e7e9	0x4210e0	import	0x40e7e1	KERNEL32.dll.RemoveDirectoryW
0x40e7f3	0x421054	import	0x40e7e1	KERNEL32.dll.GetLastError
0x40e852	0x4210e8	import	0x40e80b	KERNEL32.dll.FindFirstFileExW
0x40e85f	0x421054	import	0x40e80b	KERNEL32.dll.GetLastError
0x40ea7b	0x4210d8	import	0x40ea4f	KERNEL32.dll.FileTimeToSystemTime
0x40ea8f	0x4210d4	import	0x40ea4f	KERNEL32.dll.SystemTimeToTzSpecificLocalTime
0x40ead7	0x4210e4	import	0x40eacf	KERNEL32.dll.FindClose
