reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401811	0x421070	import	0x401800	KERNEL32.dll.GetLastError
0x40253c	0x421064	import	0x402510	KERNEL32.dll.GetModuleFileNameW
0x402746	0x421060	import	0x402740	KERNEL32.dll.GetProcAddress
0x403737	0x421020	import	0x4036d0	KERNEL32.dll.ExpandEnvironmentStringsW
0x4037cf	0x421024	import	0x4036d0	KERNEL32.dll.CreateDirectoryW
0x403a4d	0x421028	import	0x4039c0	KERNEL32.dll.GetTempPathW
0x403aec	0x42101c	import	0x4039c0	KERNEL32.dll.SetEnvironmentVariableW
0x403b61	0x42101c	import	0x4039c0	KERNEL32.dll.SetEnvironmentVariableW
0x403bc6	0x421018	import	0x403b90	KERNEL32.dll.GetEnvironmentVariableW
0x403be2	0x421020	import	0x403b90	KERNEL32.dll.ExpandEnvironmentStringsW
0x40406c	0x421030	import	0x403e20	KERNEL32.dll.Sleep
0x404127	0x42101c	import	0x404110	KERNEL32.dll.SetEnvironmentVariableW
0x4041bb	0x421038	import	0x404140	KERNEL32.dll.GetStartupInfoW
0x40424c	0x421014	import	0x404140	KERNEL32.dll.GetCommandLineW
0x40425b	0x42106c	import	0x404140	KERNEL32.dll.CreateProcessW
0x40426b	0x42102c	import	0x404140	KERNEL32.dll.WaitForSingleObject
0x404279	0x421034	import	0x404140	KERNEL32.dll.GetExitCodeProcess
0x4042e9	0x42103c	import	0x4042d0	KERNEL32.dll.LoadLibraryExW
0x40442f	0x421030	import	0x404310	KERNEL32.dll.Sleep
0x404495	0x421054	import	0x404490	KERNEL32.dll.MultiByteToWideChar
0x404509	0x421048	import	0x404490	KERNEL32.dll.LoadLibraryA
0x40450f	0x421060	import	0x404490	KERNEL32.dll.GetProcAddress
0x4045e3	0x421070	import	0x4045c0	KERNEL32.dll.GetLastError
0x404602	0x421050	import	0x4045c0	KERNEL32.dll.FormatMessageW
0x404719	0x421058	import	0x4046c0	KERNEL32.dll.WideCharToMultiByte
0x40474e	0x421058	import	0x4046c0	KERNEL32.dll.WideCharToMultiByte
0x40481e	0x421044	import	0x4047e0	KERNEL32.dll.GetCurrentProcess
0x404825	0x421008	import	0x4047e0	ADVAPI32.dll.OpenProcessToken
0x40483c	0x421004	import	0x4047e0	ADVAPI32.dll.GetTokenInformation
0x404846	0x421070	import	0x4047e0	KERNEL32.dll.GetLastError
0x404875	0x421004	import	0x4047e0	ADVAPI32.dll.GetTokenInformation
0x40489e	0x421040	import	0x4047e0	KERNEL32.dll.CloseHandle
0x4048cb	0x42104c	import	0x4047e0	KERNEL32.dll.LocalFree
0x4048fe	0x421024	import	0x4047e0	KERNEL32.dll.CreateDirectoryW
0x404946	0x421054	import	0x404940	KERNEL32.dll.MultiByteToWideChar
0x4049c7	0x421058	import	0x404940	KERNEL32.dll.WideCharToMultiByte
0x404a98	0x421054	import	0x404a80	KERNEL32.dll.MultiByteToWideChar
0x404af9	0x421054	import	0x404a80	KERNEL32.dll.MultiByteToWideChar
0x404b3a	0x421058	import	0x404b20	KERNEL32.dll.WideCharToMultiByte
0x404b9f	0x421058	import	0x404b20	KERNEL32.dll.WideCharToMultiByte
0x404c25	0x421054	import	0x404bd0	KERNEL32.dll.MultiByteToWideChar
0x404c56	0x421054	import	0x404bd0	KERNEL32.dll.MultiByteToWideChar
0x4077ee	0x421000	import	0x4077ee	ADVAPI32.dll.ConvertSidToStringSidW
0x4077f4	0x42100c	import	0x4077f4	ADVAPI32.dll.ConvertStringSecurityDescriptorToSecurityDescriptorW
0x4077fa	0x42118c	import	0x4077fa	WS2_32.dll.ntohl
0x407a91	0x421080	import	0x407a8c	KERNEL32.dll.SetUnhandledExceptionFilter
0x407a9a	0x42107c	import	0x407a8c	KERNEL32.dll.UnhandledExceptionFilter
0x407aa5	0x421044	import	0x407a8c	KERNEL32.dll.GetCurrentProcess
0x407aac	0x421084	import	0x407a8c	KERNEL32.dll.TerminateProcess
0x407abf	0x421088	import	0x407ab4	KERNEL32.dll.IsProcessorFeaturePresent
0x407bc5	0x421088	import	0x407bba	KERNEL32.dll.IsProcessorFeaturePresent
0x407eec	0x421098	import	0x407eda	KERNEL32.dll.GetSystemTimeAsFileTime
0x407efb	0x421094	import	0x407eda	KERNEL32.dll.GetCurrentThreadId
0x407f04	0x421090	import	0x407eda	KERNEL32.dll.GetCurrentProcessId
0x407f11	0x42108c	import	0x407eda	KERNEL32.dll.QueryPerformanceCounter
0x407f81	0x42109c	import	0x407f7c	KERNEL32.dll.InitializeSListHead
0x407ff3	0x421088	import	0x407fe7	KERNEL32.dll.IsProcessorFeaturePresent
0x4080bf	0x4210a0	import	0x407fe7	KERNEL32.dll.IsDebuggerPresent
0x4080df	0x421080	import	0x407fe7	KERNEL32.dll.SetUnhandledExceptionFilter
0x4080e9	0x42107c	import	0x407fe7	KERNEL32.dll.UnhandledExceptionFilter
0x408109	0x4210a4	import	0x408107	KERNEL32.dll.GetModuleHandleW
0x40814f	0x421080	import	0x40814a	KERNEL32.dll.SetUnhandledExceptionFilter
0x40826b	0x421088	import	0x408255	KERNEL32.dll.IsProcessorFeaturePresent
0x40927f	0x4210a8	import	0x409270	KERNEL32.dll.RtlUnwind
0x40930f	0x421070	import	0x409301	KERNEL32.dll.GetLastError
0x409388	0x4210ac	import	0x409301	KERNEL32.dll.SetLastError
0x409433	0x4210b8	import	0x40941d	KERNEL32.dll.DeleteCriticalSection
0x4094a7	0x42103c	import	0x409473	KERNEL32.dll.LoadLibraryExW
0x4094b3	0x421070	import	0x409473	KERNEL32.dll.GetLastError
0x4094da	0x42103c	import	0x409473	KERNEL32.dll.LoadLibraryExW
0x40953e	0x421060	import	0x40950d	KERNEL32.dll.GetProcAddress
0x4095c3	0x4210cc	import	0x409591	KERNEL32.dll.TlsFree
0x4095fe	0x4210c4	import	0x4095cc	KERNEL32.dll.TlsGetValue
0x40963c	0x4210c8	import	0x409607	KERNEL32.dll.TlsSetValue
0x409683	0x4210bc	import	0x409645	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x40a354	0x4210dc	import	0x40a28d	KERNEL32.dll.ReadFile
0x40a83a	0x4210b8	import	0x40a801	KERNEL32.dll.DeleteCriticalSection
0x40a869	0x4210b0	import	0x40a85d	KERNEL32.dll.EnterCriticalSection
0x40a87d	0x4210b4	import	0x40a871	KERNEL32.dll.LeaveCriticalSection
0x40d70e	0x421070	import	0x40d6aa	KERNEL32.dll.GetLastError
0x40d869	0x4210e0	import	0x40d7eb	KERNEL32.dll.CreateFileW
0x40d8bc	0x421040	import	0x40d7eb	KERNEL32.dll.CloseHandle
0x40d975	0x4210ec	import	0x40d953	KERNEL32.dll.GetFileType
0x40d9cf	0x4210e8	import	0x40d953	KERNEL32.dll.GetFileInformationByHandle
0x40da5d	0x421070	import	0x40d953	KERNEL32.dll.GetLastError
0x40daa1	0x4210f0	import	0x40d953	KERNEL32.dll.PeekNamedPipe
0x40daf1	0x4210f8	import	0x40dac3	KERNEL32.dll.FileTimeToSystemTime
0x40db05	0x4210f4	import	0x40dac3	KERNEL32.dll.SystemTimeToTzSpecificLocalTime
0x40df9d	0x4210e4	import	0x40df1d	KERNEL32.dll.GetDriveTypeW
0x40e179	0x4210fc	import	0x40e163	KERNEL32.dll.GetFullPathNameW
0x40e183	0x421070	import	0x40e163	KERNEL32.dll.GetLastError
0x40e1b9	0x4210fc	import	0x40e163	KERNEL32.dll.GetFullPathNameW
0x40e1e2	0x4210fc	import	0x40e1cc	KERNEL32.dll.GetFullPathNameW
0x40e1ec	0x421070	import	0x40e1cc	KERNEL32.dll.GetLastError
0x40e222	0x4210fc	import	0x40e1cc	KERNEL32.dll.GetFullPathNameW
0x40e577	0x421070	import	0x40e4a9	KERNEL32.dll.GetLastError
0x40f237	0x421100	import	0x40f22f	KERNEL32.dll.RemoveDirectoryW
0x40f241	0x421070	import	0x40f22f	KERNEL32.dll.GetLastError
0x40f2a0	0x421108	import	0x40f259	KERNEL32.dll.FindFirstFileExW
0x40f2ad	0x421070	import	0x40f259	KERNEL32.dll.GetLastError
0x40f4be	0x4210f8	import	0x40f499	KERNEL32.dll.FileTimeToSystemTime
0x40f4d2	0x4210f4	import	0x40f499	KERNEL32.dll.SystemTimeToTzSpecificLocalTime
0x40f51f	0x421104	import	0x40f517	KERNEL32.dll.FindClose
0x40f5ea	0x4210b8	import	0x40f5ce	KERNEL32.dll.DeleteCriticalSection
0x40f6bc	0x4210b0	import	0x40f6a1	KERNEL32.dll.EnterCriticalSection
0x40f723	0x421110	import	0x40f6c4	KERNEL32.dll.SetStdHandle
0x40f771	0x4210b4	import	0x40f756	KERNEL32.dll.LeaveCriticalSection
0x40f8ec	0x421110	import	0x40f88c	KERNEL32.dll.SetStdHandle
0x40fe9f	0x421114	import	0x40fd87	KERNEL32.dll.SetConsoleCtrlHandler
0x40feb9	0x421070	import	0x40fd87	KERNEL32.dll.GetLastError
0x40ff4e	0x421118	import	0x40ff46	KERNEL32.dll.DeleteFileW
0x40ff58	0x421070	import	0x40ff46	KERNEL32.dll.GetLastError
0x410716	0x421064	import	0x4106d1	KERNEL32.dll.GetModuleFileNameW
0x4110dd	0x421044	import	0x4110bb	KERNEL32.dll.GetCurrentProcess
0x4110e4	0x421084	import	0x4110bb	KERNEL32.dll.TerminateProcess
0x4110f6	0x421124	import	0x4110bb	KERNEL32.dll.ExitProcess
0x411112	0x421128	import	0x4110fd	KERNEL32.dll.GetModuleHandleExW
0x411125	0x421060	import	0x4110fd	KERNEL32.dll.GetProcAddress
0x411148	0x4210d0	import	0x4110fd	KERNEL32.dll.FreeLibrary
0x41183d	0x421090	import	0x41183d	KERNEL32.dll.GetCurrentProcessId
0x411934	0x421088	import	0x411918	KERNEL32.dll.IsProcessorFeaturePresent
0x412395	0x4210a0	import	0x41229d	KERNEL32.dll.IsDebuggerPresent
0x41239f	0x421080	import	0x41229d	KERNEL32.dll.SetUnhandledExceptionFilter
0x4123ac	0x42107c	import	0x41229d	KERNEL32.dll.UnhandledExceptionFilter
0x41245b	0x421088	import	0x412459	KERNEL32.dll.IsProcessorFeaturePresent
0x41247e	0x421044	import	0x412459	KERNEL32.dll.GetCurrentProcess
0x412485	0x421084	import	0x412459	KERNEL32.dll.TerminateProcess
0x41255a	0x42112c	import	0x412519	KERNEL32.dll.HeapAlloc
