reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401bab	0x4231d8	import	0x401b70	USER32.dll.GetDialogBaseUnits
0x401bb1	0x423050	import	0x401b70	KERNEL32.dll.MulDiv
0x401c1b	0x4231b4	import	0x401b70	USER32.dll.SystemParametersInfoW
0x401c2d	0x423024	import	0x401b70	GDI32.dll.CreateFontIndirectW
0x401c4d	0x423014	import	0x401b70	COMCTL32.dll.Ordinal_380
0x401c57	0x4231a8	import	0x401b70	USER32.dll.CreateWindowExW
0x401d27	0x4231e8	import	0x401b70	USER32.dll.SendMessageW
0x401dcc	0x4231c4	import	0x401b70	USER32.dll.GetClientRect
0x401ef0	0x4231d0	import	0x401ed0	USER32.dll.GetDC
0x401f09	0x42301c	import	0x401ed0	GDI32.dll.SelectObject
0x401f55	0x4231d4	import	0x401ed0	USER32.dll.DrawTextW
0x401f6f	0x4231cc	import	0x401ed0	USER32.dll.ReleaseDC
0x401f8e	0x4231e4	import	0x401ed0	USER32.dll.MoveWindow
0x4020b3	0x42304c	import	0x402080	KERNEL32.dll.GetModuleHandleW
0x40216b	0x4231e0	import	0x402080	USER32.dll.DialogBoxIndirectParamW
0x40219d	0x423020	import	0x402080	GDI32.dll.DeleteObject
0x4021af	0x4231b8	import	0x402080	USER32.dll.DestroyIcon
0x40234d	0x423054	import	0x402330	KERNEL32.dll.GetLastError
0x40253c	0x4231ac	import	0x4024c0	USER32.dll.MessageBoxW
0x402564	0x4231b0	import	0x4024c0	USER32.dll.MessageBoxA
0x4034cc	0x42305c	import	0x4034a0	KERNEL32.dll.GetModuleFileNameW
0x4036d6	0x423060	import	0x4036d0	KERNEL32.dll.GetProcAddress
0x405231	0x423060	import	0x405230	KERNEL32.dll.GetProcAddress
0x4057a7	0x423070	import	0x405740	KERNEL32.dll.ExpandEnvironmentStringsW
0x40583f	0x423074	import	0x405740	KERNEL32.dll.CreateDirectoryW
0x405abd	0x423078	import	0x405a30	KERNEL32.dll.GetTempPathW
0x405b5c	0x42306c	import	0x405a30	KERNEL32.dll.SetEnvironmentVariableW
0x405bd1	0x42306c	import	0x405a30	KERNEL32.dll.SetEnvironmentVariableW
0x405c36	0x4230d0	import	0x405c00	KERNEL32.dll.GetEnvironmentVariableW
0x405c52	0x423070	import	0x405c00	KERNEL32.dll.ExpandEnvironmentStringsW
0x4060dc	0x423080	import	0x405e90	KERNEL32.dll.Sleep
0x406197	0x42306c	import	0x406180	KERNEL32.dll.SetEnvironmentVariableW
0x40622b	0x42308c	import	0x4061b0	KERNEL32.dll.GetStartupInfoW
0x4062bc	0x423064	import	0x4061b0	KERNEL32.dll.GetCommandLineW
0x4062cb	0x423088	import	0x4061b0	KERNEL32.dll.CreateProcessW
0x4062db	0x42307c	import	0x4061b0	KERNEL32.dll.WaitForSingleObject
0x4062e9	0x423084	import	0x4061b0	KERNEL32.dll.GetExitCodeProcess
0x406344	0x423090	import	0x406340	KERNEL32.dll.FreeLibrary
0x406369	0x423094	import	0x406350	KERNEL32.dll.LoadLibraryExW
0x40649f	0x423080	import	0x406380	KERNEL32.dll.Sleep
0x4064d5	0x4230ac	import	0x4064d0	KERNEL32.dll.MultiByteToWideChar
0x406549	0x4230a0	import	0x4064d0	KERNEL32.dll.LoadLibraryA
0x40654f	0x423060	import	0x4064d0	KERNEL32.dll.GetProcAddress
0x406623	0x423054	import	0x406600	KERNEL32.dll.GetLastError
0x406642	0x4230a8	import	0x406600	KERNEL32.dll.FormatMessageW
0x406759	0x4230b0	import	0x406700	KERNEL32.dll.WideCharToMultiByte
0x40678e	0x4230b0	import	0x406700	KERNEL32.dll.WideCharToMultiByte
0x40685e	0x42309c	import	0x406820	KERNEL32.dll.GetCurrentProcess
0x406865	0x423000	import	0x406820	ADVAPI32.dll.OpenProcessToken
0x40687c	0x423004	import	0x406820	ADVAPI32.dll.GetTokenInformation
0x406886	0x423054	import	0x406820	KERNEL32.dll.GetLastError
0x4068b5	0x423004	import	0x406820	ADVAPI32.dll.GetTokenInformation
0x4068de	0x423098	import	0x406820	KERNEL32.dll.CloseHandle
0x40690b	0x4230a4	import	0x406820	KERNEL32.dll.LocalFree
0x40693e	0x423074	import	0x406820	KERNEL32.dll.CreateDirectoryW
0x406998	0x4230ac	import	0x406980	KERNEL32.dll.MultiByteToWideChar
0x4069f9	0x4230ac	import	0x406980	KERNEL32.dll.MultiByteToWideChar
0x406a3a	0x4230b0	import	0x406a20	KERNEL32.dll.WideCharToMultiByte
0x406a9f	0x4230b0	import	0x406a20	KERNEL32.dll.WideCharToMultiByte
0x406b25	0x4230ac	import	0x406ad0	KERNEL32.dll.MultiByteToWideChar
0x406b56	0x4230ac	import	0x406ad0	KERNEL32.dll.MultiByteToWideChar
0x4096de	0x42300c	import	0x4096de	ADVAPI32.dll.ConvertSidToStringSidW
0x4096e4	0x423008	import	0x4096e4	ADVAPI32.dll.ConvertStringSecurityDescriptorToSecurityDescriptorW
0x40997d	0x4230d8	import	0x409978	KERNEL32.dll.SetUnhandledExceptionFilter
0x409986	0x4230d4	import	0x409978	KERNEL32.dll.UnhandledExceptionFilter
0x409991	0x42309c	import	0x409978	KERNEL32.dll.GetCurrentProcess
0x409998	0x4230dc	import	0x409978	KERNEL32.dll.TerminateProcess
0x4099ab	0x4230e0	import	0x4099a0	KERNEL32.dll.IsProcessorFeaturePresent
0x409ab1	0x4230e0	import	0x409aa6	KERNEL32.dll.IsProcessorFeaturePresent
0x409dd8	0x4230f0	import	0x409dc6	KERNEL32.dll.GetSystemTimeAsFileTime
0x409de7	0x4230ec	import	0x409dc6	KERNEL32.dll.GetCurrentThreadId
0x409df0	0x4230e8	import	0x409dc6	KERNEL32.dll.GetCurrentProcessId
0x409dfd	0x4230e4	import	0x409dc6	KERNEL32.dll.QueryPerformanceCounter
0x409e6d	0x4230f4	import	0x409e68	KERNEL32.dll.InitializeSListHead
0x409edf	0x4230e0	import	0x409ed3	KERNEL32.dll.IsProcessorFeaturePresent
0x409fab	0x4230f8	import	0x409ed3	KERNEL32.dll.IsDebuggerPresent
0x409fcb	0x4230d8	import	0x409ed3	KERNEL32.dll.SetUnhandledExceptionFilter
0x409fd5	0x4230d4	import	0x409ed3	KERNEL32.dll.UnhandledExceptionFilter
0x40a008	0x42308c	import	0x409fee	KERNEL32.dll.GetStartupInfoW
0x40a026	0x42304c	import	0x40a024	KERNEL32.dll.GetModuleHandleW
0x40a06c	0x4230d8	import	0x40a067	KERNEL32.dll.SetUnhandledExceptionFilter
0x40a18c	0x4230e0	import	0x40a176	KERNEL32.dll.IsProcessorFeaturePresent
0x40b19f	0x423100	import	0x40b190	KERNEL32.dll.RtlUnwind
0x40b22f	0x423054	import	0x40b221	KERNEL32.dll.GetLastError
0x40b2a8	0x423104	import	0x40b221	KERNEL32.dll.SetLastError
0x40b353	0x423110	import	0x40b33d	KERNEL32.dll.DeleteCriticalSection
0x40b3c7	0x423094	import	0x40b393	KERNEL32.dll.LoadLibraryExW
0x40b3d3	0x423054	import	0x40b393	KERNEL32.dll.GetLastError
0x40b3fa	0x423094	import	0x40b393	KERNEL32.dll.LoadLibraryExW
0x40b45e	0x423060	import	0x40b42d	KERNEL32.dll.GetProcAddress
0x40b4e3	0x423124	import	0x40b4b1	KERNEL32.dll.TlsFree
0x40b51e	0x42311c	import	0x40b4ec	KERNEL32.dll.TlsGetValue
0x40b55c	0x423120	import	0x40b527	KERNEL32.dll.TlsSetValue
0x40b5a3	0x423114	import	0x40b565	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x40c1a4	0x423130	import	0x40c0dd	KERNEL32.dll.ReadFile
0x40eaeb	0x423110	import	0x40eab2	KERNEL32.dll.DeleteCriticalSection
0x40eb1a	0x423108	import	0x40eb0e	KERNEL32.dll.EnterCriticalSection
