reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40101b	0x401317	string	0x401000	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x4036a3	0x4036f0	string	0x403650	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x4036ad	0x4036f0	string	0x403650	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x403713	0x403784	string	0x403650	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x40371d	0x403784	string	0x403650	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x406c92	0x406ff2	string	0x406c70	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x408a5f	0x408520	string	0x40819b	3Q\f3Y\b
0x40928a	0x4093c0	string	0x409280	USVW1
0x40957a	0x4095d0	string	0x409570	USVW1
0x40973a	0x409770	string	0x409730	USVW
0x40997d	0x409a4b	string	0x409890	_^[]
0x409998	0x409a4b	string	0x409890	_^[]
0x4099b6	0x409a4b	string	0x409890	_^[]
0x4099d4	0x409a4b	string	0x409890	_^[]
0x4099f2	0x409a4b	string	0x409890	_^[]
0x409a10	0x409a4b	string	0x409890	_^[]
0x409a2e	0x409a4b	string	0x409890	_^[]
0x409b3d	0x409c0b	string	0x409a50	_^[]
0x409b58	0x409c0b	string	0x409a50	_^[]
0x409b76	0x409c0b	string	0x409a50	_^[]
0x409b94	0x409c0b	string	0x409a50	_^[]
0x409bb2	0x409c0b	string	0x409a50	_^[]
0x409bd0	0x409c0b	string	0x409a50	_^[]
0x409bee	0x409c0b	string	0x409a50	_^[]
0x409dfd	0x40a1b5	string	0x409c10	_^[]
0x409e0a	0x40a1b5	string	0x409c10	_^[]
0x409f0b	0x40a1b5	string	0x409c10	_^[]
0x409f29	0x40a1b5	string	0x409c10	_^[]
0x409f49	0x40a1b5	string	0x409c10	_^[]
0x409f69	0x40a1b5	string	0x409c10	_^[]
0x409f89	0x40a1b5	string	0x409c10	_^[]
0x409fa9	0x40a1b5	string	0x409c10	_^[]
0x409fc9	0x40a1b5	string	0x409c10	_^[]
0x409fe8	0x40a1b5	string	0x409c10	_^[]
0x40a07a	0x40a1b5	string	0x409c10	_^[]
0x40a08d	0x40a1b5	string	0x409c10	_^[]
0x40a0a2	0x40a1b5	string	0x409c10	_^[]
0x40a0b7	0x40a1b5	string	0x409c10	_^[]
0x40a0cc	0x40a1b5	string	0x409c10	_^[]
0x40a0e1	0x40a1b5	string	0x409c10	_^[]
0x40a0f6	0x40a1b5	string	0x409c10	_^[]
0x40a10f	0x40a1b5	string	0x409c10	_^[]
0x40a1cd	0x40a794	string	0x40a1c0	_^[]
0x40bc97	0x40bd60	string	0x40bc7d	3\a3_
0x40bd39	0x40bd60	string	0x40bd1f	3\a3_
0x40c0c7	0x40c190	string	0x40c0ad	3\a3_
0x40c169	0x40c190	string	0x40c14f	3\a3_
0x40d273	0x40d2b1	string	0x40ce20	iiiw
0x40da35	0x40da37	string	0x40ce20	yDDD
0x40dfa5	0x40bd60	string	0x40df1f	3\a3_
0x40e097	0x40c190	string	0x40df1f	3\a3_
0x40e162	0x40c190	string	0x40df1f	3\a3_
0x40e24a	0x40e72e	string	0x40e240	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x41266d	0x4126c8	string	0x412317	LwH'
0x41b62c	0x41b60a	string	0x4177d7	sVY.\t#N
0x41be90	0x41be94	string	0x4177d7	G\ws
0x41bfd8	0x41bfc7	string	0x4177d7	V\bxh
0x41c5cb	0x41c558	string	0x4177d7	Hm\aL?
0x41c612	0x41c656	string	0x4177d7	*ORx
0x41c627	0x41c6a3	string	0x4177d7	t\r9Qm
0x41ca0e	0x41ca3d	string	0x4177d7	sE[4
0x41d403	0x41d3e5	string	0x4177d7	'TPǡ blocks=Basic Latin,Latin Extended-B
0x41da68	0x41da36	string	0x4177d7	oH@k
0x442566	0x4425f6	string	0x442540	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x442613	0x4427d0	string	0x442571	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x445d10	0x445dc0	string	0x445d00	USVW
0x445d1b	0x445d50	string	0x445d00	USVW
0x445d27	0x445d50	string	0x445d00	USVW
0x446986	0x4469d8	string	0x445eb2	]]i]
0x4469c5	0x446a2e	string	0x445eb2	\n-gg
0x446f00	0x446f78	string	0x445eb2	PP]P
0x44705a	0x447078	string	0x445eb2	MM)MRd
0x447722	0x571228	import	0x445eb2	KERNEL32.dll.GetProcAddress
0x448993	0x5711a0	import	0x448970	KERNEL32.dll.GetVersionExW
0x4489d7	0x5e08f0	string	0x448970	%SystemRoot%\system32\kernel32.dll
0x4489dc	0x5710e4	import	0x448970	KERNEL32.dll.ExpandEnvironmentStringsW
0x4489ee	0x571314	import	0x448970	VERSION.dll.GetFileVersionInfoSizeW
0x4489fb	0x5713c0	import	0x448970	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x448a08	0x448a84	string	0x448970	_[hL
0x448a19	0x57130c	import	0x448970	VERSION.dll.GetFileVersionInfoW
0x448a43	0x571310	import	0x448970	VERSION.dll.VerQueryValueW
