reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001705	0x102ac080	import	0x100016c0	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x10001a0b	0x102cebf4	string	0x100019d0	ADDON_NOTI_update_sync
0x10001a41	0x102cec24	string	0x100019d0	ADDON_NOTI_update_share_folder
0x10001a7e	0x102cec64	string	0x100019d0	ADDON_NOTI_remove_share_folder
0x10001abb	0x102ceca4	string	0x100019d0	ADDON_NOTI_resource_sync
0x10001af8	0x102cecd8	string	0x100019d0	ADDON_NOTI_group_update
0x10001b26	0x102ced08	string	0x100019d0	ADDON_NOTI_public_group_update
0x10001b54	0x102ced48	string	0x100019d0	ADDON_NOTI_update_quota
0x10001b94	0x102ced78	string	0x100019d0	ADDON_NOTI_kickout
0x10001c2b	0x1028ee12	string	0x100019d0	j\fh0
0x10001c9b	0x102ceb5c	string	0x10001c60	fileLock
0x10001cd1	0x102ceb70	string	0x10001c60	fileUnLock
0x10001d0e	0x102ceb88	string	0x10001c60	sharedFolder
0x10001d4b	0x102ceba4	string	0x10001c60	cancelShared
0x10001d79	0x102cebc0	string	0x10001c60	changeAuth
0x10001da7	0x102cebd8	string	0x10001c60	rename
0x10001dd5	0x102cebe8	string	0x10001c60	move
0x10001e7d	0x1028ee12	string	0x10001c60	j\fh0
0x1000215b	0x102ac19c	import	0x10002150	KERNEL32.dll.HeapAlloc
0x10002180	0x102ac194	import	0x10002170	KERNEL32.dll.HeapFree
0x100021bf	0x102ac198	import	0x10002190	KERNEL32.dll.HeapReAlloc
0x100021db	0x102ac190	import	0x100021d0	KERNEL32.dll.HeapSize
0x1000220a	0x102ac1a0	import	0x100021f0	KERNEL32.dll.HeapDestroy
0x100023c0	0x102ac178	import	0x10002350	KERNEL32.dll.GetCurrentThreadId
0x100023c8	0x102ac17c	import	0x10002350	KERNEL32.dll.GetCurrentProcessId
0x100023d1	0x102ace78	string	0x10002350	[%04d][%04d][%s]Unnamed!CNDriveAgentRequest::CNDriveAgentRequest: Start\r\n
0x100023ea	0x102acf0c	string	0x10002350	\\.\Pipe\WEDrive
0x100024bc	0x102ac1b8	import	0x10002490	KERNEL32.dll.ReadFile
0x100024de	0x102ac1b8	import	0x10002490	KERNEL32.dll.ReadFile
0x1000261f	0x102ac87c	import	0x10002510	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x1000267a	0x102ac870	import	0x10002510	api-ms-win-crt-heap-l1-1-0.dll.free
0x1000272d	0x102ac87c	import	0x100026a0	api-ms-win-crt-heap-l1-1-0.dll.malloc
0x10002788	0x102ac870	import	0x100026a0	api-ms-win-crt-heap-l1-1-0.dll.free
0x100027cb	0x100027e1	string	0x100027b0	hP\e8
0x100027d9	0x1000282c	string	0x100027b0	hp\e8
0x100029a7	0x102ac180	import	0x100028b0	KERNEL32.dll.Sleep
0x100029cb	0x102ac178	import	0x100028b0	KERNEL32.dll.GetCurrentThreadId
