reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x402562	0x402c69	string	0x4024fe	X_^[
0x402ad7	0x402ae3	string	0x4024fe	9^tu
0x402d10	0x402d18	string	0x402c6f	X_^ËF blocks=Basic Latin,Latin-1 Supplement
0x40314f	0x403153	string	0x402fce	VRPW
0x4031ca	0x403179	string	0x402fce	_^[Ë\$ blocks=Basic Latin,Latin-1 Supplement
0x4031d8	0x403179	string	0x402fce	_^[Ë\$ blocks=Basic Latin,Latin-1 Supplement
0x403435	0x40343e	string	0x402fce	3\vVlj
0x403477	0x403480	string	0x402fce	3\v|$
0x4034bc	0x40346d	string	0x402fce	_^][ËN\ blocks=Basic Latin,Latin-1 Supplement
0x4034ca	0x40346d	string	0x402fce	_^][ËN\ blocks=Basic Latin,Latin-1 Supplement
0x403796	0x40379f	string	0x402fce	3\vVlj
0x40394b	0x403ae3	string	0x403919	X_^[]
0x4039dd	0x403ae3	string	0x403919	X_^[]
0x403e84	0x5911c8	string	0x403b26	invalid distance too far back
0x403e8d	0x5911e8	string	0x403b26	invalid distance code
0x403ea3	0x591200	string	0x403b26	invalid literal/length code
0x403f79	0x403f6b	string	0x403f02	f9|E<u\tH
0x403fba	0x403fc2	string	0x403f02	9U\fs
0x403fc0	0x403fb5	string	0x403f02	f9|U<u
0x404023	0x40403d	string	0x403f02	G;}pr
0x404167	0x404172	string	0x403f02	3ۃE\b blocks=Basic Latin,Arabic
0x4042db	0x47eeab	string	0x403f02	;\rT'`
0x40432c	0x404500	string	0x4042e5	_^[]
0x40453e	0x404702	string	0x404505	9}\brH
0x4049d3	0x4049cc	string	0x4048a2	IOOf
0x404b1b	0x404b22	string	0x404a6e	j\aZj
0x404fb1	0x404fb8	string	0x404b36	j\a_j
0x405807	0x405824	string	0x4057c1	C;]\b~
0x405819	0x4055fa	string	0x4057c1	3\vL$
0x405831	0x47eeab	string	0x4057c1	;\rT'`
0x405f1a	0x579cac	string	0x405ee0	Trinity\
0x405f3b	0x405f49	string	0x405ee0	h EW
0x405f3f	0x579cac	string	0x405ee0	Trinity\
0x405faa	0x579cc0	string	0x405f70	captable5win.bin
0x405fcb	0x405fd9	string	0x405f70	h@EW
0x405fcf	0x579cc0	string	0x405f70	captable5win.bin
0x40623b	0x406247	string	0x4061e0	hPHW
0x4062cb	0x4062d7	string	0x406270	hpHW
0x406346	0x5753bc	import	0x406300	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x406350	0x5754d0	import	0x406300	KERNEL32.dll.GetLastError
0x406397	0x5753bc	import	0x406300	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x4063a1	0x5754d0	import	0x406300	KERNEL32.dll.GetLastError
0x40700c	0x57549c	import	0x406fe0	KERNEL32.dll.FindResourceW
0x40701f	0x5754c8	import	0x406fe0	KERNEL32.dll.LoadResource
0x40702e	0x575494	import	0x406fe0	KERNEL32.dll.LockResource
0x407044	0x5754c4	import	0x406fe0	KERNEL32.dll.SizeofResource
0x4073c9	0x4073d5	string	0x407330	;]\fwH
0x40749c	0x575ac0	string	0x407460	19467675778!
0x407549	0x47eeab	string	0x407460	;\rT'`
0x40755a	0x47eeab	string	0x407460	;\rT'`
0x4077c6	0x575480	import	0x407570	KERNEL32.dll.GetFileAttributesW
0x40797f	0x575490	import	0x407570	KERNEL32.dll.CreateDirectoryW
0x407989	0x5754d0	import	0x407570	KERNEL32.dll.GetLastError
0x407ade	0x575478	import	0x407a70	KERNEL32.dll.FindFirstFileW
0x407c38	0x575480	import	0x407a70	KERNEL32.dll.GetFileAttributesW
0x407c48	0x575484	import	0x407a70	KERNEL32.dll.SetFileAttributesW
0x407c4f	0x57547c	import	0x407a70	KERNEL32.dll.DeleteFileW
0x407c99	0x575474	import	0x407a70	KERNEL32.dll.FindNextFileW
0x407ca8	0x5754ac	import	0x407a70	KERNEL32.dll.FindClose
0x407cb4	0x57548c	import	0x407a70	KERNEL32.dll.RemoveDirectoryW
0x407cba	0x5754d0	import	0x407a70	KERNEL32.dll.GetLastError
0x407cf5	0x47eeab	string	0x407a70	;\rT'`
0x407d81	0x575478	import	0x407d10	KERNEL32.dll.FindFirstFileW
0x407f6c	0x5754d0	import	0x407d10	KERNEL32.dll.GetLastError
