reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40121c	0x49f7fc	import	0x40121c	kernel32.dll.GetStdHandle
0x401224	0x49f7f8	import	0x40121c	kernel32.dll.RaiseException
0x40122c	0x49f7f4	import	0x40121c	kernel32.dll.RtlUnwind
0x401234	0x49f7f0	import	0x401234	kernel32.dll.UnhandledExceptionFilter
0x40123c	0x49f7ec	import	0x40123c	kernel32.dll.WriteFile
0x401244	0x49f780	import	0x401244	user32.dll.CharNextA
0x40124c	0x49f7e8	import	0x40124c	kernel32.dll.CompareStringA
0x401254	0x49f7e4	import	0x401254	kernel32.dll.ExitProcess
0x40125c	0x49f77c	import	0x40125c	user32.dll.MessageBoxA
0x401264	0x49f7e0	import	0x401264	kernel32.dll.FindClose
0x40126c	0x49f7dc	import	0x40126c	kernel32.dll.FindFirstFileA
0x401274	0x49f7d8	import	0x401274	kernel32.dll.FreeLibrary
0x40127c	0x49f7d4	import	0x40127c	kernel32.dll.GetCommandLineA
0x401284	0x49f7d0	import	0x401284	kernel32.dll.GetLocaleInfoA
0x40128c	0x49f7cc	import	0x40128c	kernel32.dll.GetModuleFileNameA
0x401294	0x49f7c8	import	0x401294	kernel32.dll.GetModuleHandleA
0x40129c	0x49f7c4	import	0x40129c	kernel32.dll.GetProcAddress
0x4012a4	0x49f7c0	import	0x4012a4	kernel32.dll.GetStartupInfoA
0x4012ac	0x49f7bc	import	0x4012ac	kernel32.dll.GetThreadLocale
0x4012b4	0x49f7b8	import	0x4012b4	kernel32.dll.LoadLibraryExA
0x4012bc	0x49f778	import	0x4012bc	user32.dll.LoadStringA
0x4012c4	0x49f7b4	import	0x4012c4	kernel32.dll.lstrcpynA
0x4012cc	0x49f7b0	import	0x4012cc	kernel32.dll.lstrlenA
0x4012d4	0x49f7ac	import	0x4012d4	kernel32.dll.MultiByteToWideChar
0x4012dc	0x49f768	import	0x4012dc	advapi32.dll.RegCloseKey
0x4012e4	0x49f764	import	0x4012e4	advapi32.dll.RegOpenKeyExA
0x4012ec	0x49f760	import	0x4012ec	advapi32.dll.RegQueryValueExA
0x4012f4	0x49f7a8	import	0x4012f4	kernel32.dll.WideCharToMultiByte
0x4012fc	0x49f7a4	import	0x4012fc	kernel32.dll.VirtualQuery
0x401304	0x49f758	import	0x401304	oleaut32.dll.SysAllocStringLen
0x40130c	0x49f754	import	0x40130c	oleaut32.dll.SysReAllocStringLen
0x401314	0x49f750	import	0x401314	oleaut32.dll.SysFreeString
0x40131c	0x49f7a0	import	0x40131c	kernel32.dll.InterlockedIncrement
0x401324	0x49f79c	import	0x401324	kernel32.dll.InterlockedDecrement
0x40132c	0x49f798	import	0x401324	kernel32.dll.GetCurrentThreadId
0x401358	0x49f794	import	0x401358	kernel32.dll.VirtualAlloc
0x401360	0x49f790	import	0x401360	kernel32.dll.VirtualFree
0x401368	0x49f78c	import	0x401368	kernel32.dll.Sleep
0x401370	0x49f774	import	0x401370	user32.dll.DestroyWindow
0x401b27	0x401728	string	0x4017c8	SVWU
0x401d7d	0x401da3	string	0x401b30	_^[Ð blocks=Basic Latin,Latin-1 Supplement
0x401eab	0x401ec3	string	0x401b30	]_^[ËG blocks=Basic Latin,Latin-1 Supplement
