reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401560	0x40113c	import	0x401560	MSVBVM60.DLL.Ordinal_100
0x401568	0x401688	string	0x401560	VB5!
0x4020d4	0x402148	string	0x401fd8	__vbaStrVarMove
0x4021b6	0x4021b8	string	0x401fd8	__vbaStrMove
0x4022db	0x402320	string	0x401fd8	__vbaVarXor
0x40231b	0x402370	string	0x401fd8	__vbaOnError
0x40232a	0x40232c	string	0x401fd8	__vbaVarForNext
0x4023f2	0x402468	string	0x401fd8	__vbaI4Str
0x40243a	0x40243c	string	0x401fd8	__vbaUI1ErrVar
0x402787	0x401114	import	0x402710	MSVBVM60.DLL.__vbaNew2
0x4027a3	0x401044	import	0x402710	MSVBVM60.DLL.__vbaHresultCheckObj
0x4027b6	0x401044	import	0x402710	MSVBVM60.DLL.__vbaHresultCheckObj
0x4027ee	0x401114	import	0x402710	MSVBVM60.DLL.__vbaNew2
0x402838	0x40103c	import	0x402710	MSVBVM60.DLL.__vbaStrCat
0x402846	0x40115c	import	0x402710	MSVBVM60.DLL.__vbaStrMove
0x402877	0x401110	import	0x402710	MSVBVM60.DLL.__vbaFileOpen
0x402893	0x401130	import	0x402710	MSVBVM60.DLL.__vbaFreeStrList
0x4028a3	0x401030	import	0x402710	MSVBVM60.DLL.__vbaFreeObjList
0x4028ae	0x401118	import	0x402710	MSVBVM60.DLL.Ordinal_570
0x4028b9	0x401090	import	0x402710	MSVBVM60.DLL.Ordinal_526
0x4028c3	0x401024	import	0x402710	MSVBVM60.DLL.__vbaStrVarMove
0x4028d0	0x401018	import	0x402710	MSVBVM60.DLL.__vbaFreeVar
0x4028e3	0x4010a0	import	0x402710	MSVBVM60.DLL.__vbaGet3
0x4028eb	0x401094	import	0x402710	MSVBVM60.DLL.__vbaFileClose
0x402905	0x40114c	import	0x402710	MSVBVM60.DLL.__vbaVarDup
0x40291b	0x4010d8	import	0x402710	MSVBVM60.DLL.Ordinal_711
0x40292a	0x401050	import	0x402710	MSVBVM60.DLL.__vbaAryVar
0x40293b	0x401160	import	0x402710	MSVBVM60.DLL.__vbaAryCopy
0x40294b	0x401028	import	0x402710	MSVBVM60.DLL.__vbaFreeVarList
