reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001018	0x1013b408	import	0x10001000	ole32.dll.OleInitialize
0x10001028	0x10032460	string	0x10001000	Vjfh
0x10001040	0x1013b40c	import	0x10001000	ole32.dll.OleUninitialize
0x100013e1	0x1013b518	string	0x100013d0	invalid string position
0x10001471	0x1013b518	string	0x10001460	invalid string position
0x100017f0	0x1013b4e8	string	0x100017e0	vector<T> too long
0x1000186f	0x1013b508	string	0x10001860	string too long
0x10001922	0x1013b508	string	0x10001910	string too long
0x10001a1d	0x1013b4e8	string	0x10001a00	vector<T> too long
0x10001a75	0x1013b518	string	0x10001a60	invalid string position
0x10001ab2	0x1013b508	string	0x10001a60	string too long
0x10001b65	0x1013b518	string	0x10001b50	invalid string position
0x10001ba5	0x1013b508	string	0x10001b50	string too long
0x10001cae	0x1013b508	string	0x10001c50	string too long
0x10001db0	0x1013b508	string	0x10001d40	string too long
0x10001e58	0x101432d0	string	0x10001e40	i3%
0x10001e66	0x1013b404	import	0x10001e40	ole32.dll.CoCreateInstance
0x10001f10	0x1013b25c	import	0x10001ea0	OLEAUT32.dll.VariantClear
0x10001f6c	0x1013b260	import	0x10001ea0	OLEAUT32.dll.VariantCopy
0x10001fea	0x1013b4e8	string	0x10001ea0	vector<T> too long
0x10002056	0x1013b4e8	string	0x10001ea0	vector<T> too long
0x1000252a	0x1013b264	import	0x10002430	OLEAUT32.dll.SysStringLen
0x100027c6	0x1013b1a4	import	0x100027b0	KERNEL32.dll.SetDllDirectoryW
0x100027cc	0x1013b6c0	string	0x100027b0	JavaScriptCore.dll
0x100027d1	0x1013b1a8	import	0x100027b0	KERNEL32.dll.LoadLibraryW
0x10002826	0x1013b1ac	import	0x100027b0	KERNEL32.dll.GetProcAddress
0x1000282c	0x1013b6a4	string	0x100027b0	JSContextGetGlobalObject
0x1000283a	0x1013b694	string	0x100027b0	JSClassCreate
0x1000284d	0x1013b684	string	0x100027b0	JSObjectMake
0x10002864	0x1013b664	string	0x100027b0	JSStringCreateWithUTF8CString
0x10002872	0x1013b64c	string	0x100027b0	JSStringGetUTF8CString
0x10002885	0x1013b638	string	0x100027b0	JSObjectSetProperty
0x1000289c	0x1013b628	string	0x100027b0	JSStringRelease
0x100028aa	0x1013b614	string	0x100027b0	JSValueMakeString
0x100028bd	0x1013b5fc	string	0x100027b0	JSValueMakeUndefined
0x100028d4	0x1013b5ec	string	0x100027b0	JSClassRetain
0x100028e2	0x1013b5dc	string	0x100027b0	JSStringRetain
0x100028f5	0x1013b5cc	string	0x100027b0	JSClassRelease
0x1000290c	0x1013b5bc	string	0x100027b0	JSValueMakeNull
0x1000291a	0x1013b5a8	string	0x100027b0	JSValueMakeBoolean
0x1000292d	0x1013b594	string	0x100027b0	JSValueMakeNumber
0x10002944	0x1013b580	string	0x100027b0	JSValueToBoolean
0x10002951	0x1013b570	string	0x100027b0	JSValueToNumber
0x10002965	0x1013b55c	string	0x100027b0	JSValueToStringCopy
0x10002b43	0x1013b6e8	string	0x10002b40	11.1.1.11
0x10002ba3	0x1013b6f4	string	0x10002ba0	11.1.4
0x10002cb3	0x1013b708	string	0x10002c80	iTunesHistory
0x10002d43	0x1013b740	string	0x10002d40	https://itunes.apple.com/cn/store
0x10002d93	0x1013b764	string	0x10002d60	iTunesBag
0x10002e53	0x1013b77c	string	0x10002e20	iTunesPreferences
0x100030b3	0x1013b7e4	string	0x10003080	iTunes
0x100031aa	0x1013b19c	import	0x10003170	KERNEL32.dll.GetFileAttributesW
0x100032ac	0x1013b168	import	0x10003170	KERNEL32.dll.SetFileAttributesW
0x100032b3	0x1013b16c	import	0x10003170	KERNEL32.dll.DeleteFileW
0x100032d8	0x1013ba04	string	0x10003170	%s%s
0x100032f8	0x1013b19c	import	0x10003170	KERNEL32.dll.GetFileAttributesW
0x1000335e	0x1013b194	import	0x10003170	KERNEL32.dll.RemoveDirectoryW
0x10003368	0x1013b198	import	0x10003170	KERNEL32.dll.GetLastError
0x100037a8	0x1013b268	import	0x10003750	OLEAUT32.dll.SysReAllocString
0x10003a27	0x10003a51	string	0x10003a00	F3ɋƺ blocks=Basic Latin,Latin Extended-B
0x10003a48	0x10003a51	string	0x10003a00	F3ɋƺ blocks=Basic Latin,Latin Extended-B
0x10003b96	0x1013bac8	string	0x10003af0	false
0x10003bb6	0x1013bad0	string	0x10003af0	true
0x10004231	0x1013bb80	string	0x100041f0	ios_base::badbit set
0x1000426b	0x1013bb68	string	0x100041f0	ios_base::failbit set
0x100042a0	0x1013bb50	string	0x100041f0	ios_base::eofbit set
