reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x405030	0x63d74c	import	0x405020	KERNEL32.dll.GetProcessHeap
0x405037	0x63d750	import	0x405020	KERNEL32.dll.HeapAlloc
0x405046	0x63d74c	import	0x405020	KERNEL32.dll.GetProcessHeap
0x40504d	0x63d744	import	0x405020	KERNEL32.dll.HeapReAlloc
0x40506f	0x63dbb0	import	0x405060	MSVCR90.dll._vswprintf
0x405140	0x63d73c	import	0x405130	KERNEL32.dll.WaitForSingleObject
0x40514a	0x63d740	import	0x405130	KERNEL32.dll.CloseHandle
0x405175	0x63d73c	import	0x405160	KERNEL32.dll.WaitForSingleObject
0x4051ad	0x63e174	import	0x4051a0	USER32.dll.InvalidateRect
0x4051c4	0x63e170	import	0x4051c0	USER32.dll.GetParent
0x405217	0x63d1e0	import	0x4051e0	GDI32.dll.DeleteObject
0x405224	0x63edec	import	0x4051e0	VEngine.dll.sym_imp_public virtual: void __thiscall DotArr::~destructor(void)
0x405521	0x63d1dc	import	0x405500	GDI32.dll.PatBlt
0x405534	0x63d1dc	import	0x405500	GDI32.dll.PatBlt
0x405581	0x63d1dc	import	0x405560	GDI32.dll.PatBlt
0x405594	0x63d1dc	import	0x405560	GDI32.dll.PatBlt
0x4056bb	0x63e160	import	0x4056a0	USER32.dll.BeginPaint
0x4056cb	0x63e178	import	0x4056a0	USER32.dll.GetClientRect
0x4056d3	0x63d1b8	import	0x4056a0	GDI32.dll.GetStockObject
0x4056df	0x63e164	import	0x4056a0	USER32.dll.FillRect
0x4056f6	0x63d1bc	import	0x4056a0	GDI32.dll.IntersectClipRect
0x405705	0x63d1c0	import	0x4056a0	GDI32.dll.CreatePen
0x40570b	0x63d1c4	import	0x4056a0	GDI32.dll.SelectObject
0x405719	0x63d1c8	import	0x4056a0	GDI32.dll.CreateCompatibleDC
0x40571f	0x640b70	string	0x4056a0	POINT
0x405727	0x63ede8	import	0x4056a0	VEngine.dll.sym_imp_struct Shared * __cdecl VDLL(void)
0x405734	0x63e168	import	0x4056a0	USER32.dll.LoadBitmapW
0x4057ac	0x63d1cc	import	0x4056a0	GDI32.dll.MoveToEx
0x4057b8	0x63d1d0	import	0x4056a0	GDI32.dll.LineTo
0x405837	0x63d1d4	import	0x4056a0	GDI32.dll.BitBlt
