reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40191e	0x420008	import	0x401900	KERNEL32.dll.GetLastError
0x401b6c	0x420178	import	0x401af0	USER32.dll.MessageBoxW
0x401b94	0x42017c	import	0x401af0	USER32.dll.MessageBoxA
0x4026ba	0x42000c	import	0x402520	KERNEL32.dll.SetDllDirectoryW
0x40286c	0x420010	import	0x402840	KERNEL32.dll.GetModuleFileNameW
0x402af6	0x420014	import	0x402af0	KERNEL32.dll.GetProcAddress
0x403c67	0x420028	import	0x403bd0	KERNEL32.dll.GetTempPathW
0x403d0f	0x420020	import	0x403bd0	KERNEL32.dll.SetEnvironmentVariableW
0x403d84	0x420020	import	0x403bd0	KERNEL32.dll.SetEnvironmentVariableW
0x403df6	0x42001c	import	0x403dc0	KERNEL32.dll.GetEnvironmentVariableW
0x403e12	0x420024	import	0x403dc0	KERNEL32.dll.ExpandEnvironmentStringsW
0x4042ac	0x420030	import	0x404060	KERNEL32.dll.Sleep
0x404367	0x420020	import	0x404350	KERNEL32.dll.SetEnvironmentVariableW
0x4043fb	0x42003c	import	0x404380	KERNEL32.dll.GetStartupInfoW
0x40448c	0x420018	import	0x404380	KERNEL32.dll.GetCommandLineW
0x40449b	0x420038	import	0x404380	KERNEL32.dll.CreateProcessW
0x4044ab	0x42002c	import	0x404380	KERNEL32.dll.WaitForSingleObject
0x4044b9	0x420034	import	0x404380	KERNEL32.dll.GetExitCodeProcess
0x404529	0x420040	import	0x404510	KERNEL32.dll.LoadLibraryExW
0x404665	0x420030	import	0x404540	KERNEL32.dll.Sleep
0x4046c5	0x420050	import	0x4046c0	KERNEL32.dll.MultiByteToWideChar
0x404729	0x42004c	import	0x4046c0	KERNEL32.dll.LoadLibraryA
0x40472f	0x420014	import	0x4046c0	KERNEL32.dll.GetProcAddress
0x4047f3	0x420008	import	0x4047d0	KERNEL32.dll.GetLastError
0x404812	0x420048	import	0x4047d0	KERNEL32.dll.FormatMessageW
0x4048f8	0x420050	import	0x4048b0	KERNEL32.dll.MultiByteToWideChar
0x404923	0x420050	import	0x4048b0	KERNEL32.dll.MultiByteToWideChar
0x404a1a	0x420054	import	0x4049d0	KERNEL32.dll.WideCharToMultiByte
0x404a4e	0x420054	import	0x4049d0	KERNEL32.dll.WideCharToMultiByte
0x404ae3	0x420050	import	0x404ad0	KERNEL32.dll.MultiByteToWideChar
0x404b25	0x420050	import	0x404ad0	KERNEL32.dll.MultiByteToWideChar
0x404bd8	0x420050	import	0x404bc0	KERNEL32.dll.MultiByteToWideChar
0x404c20	0x420050	import	0x404bc0	KERNEL32.dll.MultiByteToWideChar
0x404c6a	0x420054	import	0x404c50	KERNEL32.dll.WideCharToMultiByte
0x404cb6	0x420054	import	0x404c50	KERNEL32.dll.WideCharToMultiByte
0x404d26	0x420050	import	0x404ce0	KERNEL32.dll.MultiByteToWideChar
0x404d56	0x420050	import	0x404ce0	KERNEL32.dll.MultiByteToWideChar
0x404df3	0x420054	import	0x404de0	KERNEL32.dll.WideCharToMultiByte
0x404e36	0x420054	import	0x404de0	KERNEL32.dll.WideCharToMultiByte
0x404e6c	0x420044	import	0x404e60	KERNEL32.dll.GetShortPathNameW
0x404e8c	0x420044	import	0x404e60	KERNEL32.dll.GetShortPathNameW
0x40775a	0x420184	import	0x40775a	WS2_32.dll.ntohl
0x407a8f	0x420064	import	0x407a8a	KERNEL32.dll.SetUnhandledExceptionFilter
0x407a98	0x420060	import	0x407a8a	KERNEL32.dll.UnhandledExceptionFilter
0x407aa3	0x420068	import	0x407a8a	KERNEL32.dll.GetCurrentProcess
0x407aaa	0x42006c	import	0x407a8a	KERNEL32.dll.TerminateProcess
0x407f42	0x420080	import	0x407f0e	KERNEL32.dll.GetSystemTimeAsFileTime
0x407f51	0x42007c	import	0x407f0e	KERNEL32.dll.GetCurrentThreadId
0x407f5a	0x420078	import	0x407f0e	KERNEL32.dll.GetCurrentProcessId
0x407f67	0x420074	import	0x407f0e	KERNEL32.dll.QueryPerformanceCounter
0x407fc8	0x420084	import	0x407fc3	KERNEL32.dll.InitializeSListHead
0x408100	0x420088	import	0x40802b	KERNEL32.dll.IsDebuggerPresent
0x40811f	0x420064	import	0x40802b	KERNEL32.dll.SetUnhandledExceptionFilter
0x408129	0x420060	import	0x40802b	KERNEL32.dll.UnhandledExceptionFilter
0x408160	0x42003c	import	0x408146	KERNEL32.dll.GetStartupInfoW
0x40817b	0x42008c	import	0x408179	KERNEL32.dll.GetModuleHandleW
