reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4011a7	0x5c3af8	string	0x401130	string too long
0x4011c1	0x5c3af8	string	0x401130	string too long
0x401264	0x5c3b08	string	0x401250	invalid string position
0x401285	0x5c3af8	string	0x401250	string too long
0x4012a0	0x5c3af8	string	0x401250	string too long
0x401350	0x5c3b08	string	0x401340	invalid string position
0x40138e	0x4013a5	string	0x401340	_^[]
0x4013bf	0x5c3af8	string	0x4013b0	string too long
0x401475	0x5c3b08	string	0x401460	invalid string position
0x4014b2	0x5c3af8	string	0x401460	string too long
0x4015c0	0x5c3af8	string	0x401550	string too long
0x4017d1	0x5c3b08	string	0x4017c0	invalid string position
0x401a41	0x5c3b08	string	0x401a30	invalid string position
0x401c52	0x5c3af8	string	0x401c40	string too long
0x401d0d	0x401e67	string	0x401d00	h\b;\
0x401d1e	0x401e67	string	0x401d00	h\b;\
0x401d38	0x5c3af8	string	0x401d00	string too long
0x401d59	0x5c3af8	string	0x401d00	string too long
0x401e95	0x5c3b08	string	0x401e80	invalid string position
0x401ed5	0x5c3af8	string	0x401e80	string too long
0x401fe2	0x5c3b08	string	0x401f80	invalid string position
0x401ff8	0x5c3af8	string	0x401f80	string too long
0x402015	0x5c3af8	string	0x401f80	string too long
0x40220f	0x57555c	string	0x4021e0	WinMain
0x40222b	0x5752e8	import	0x4021e0	KERNEL32.dll.QueryPerformanceCounter
0x402241	0x575530	string	0x4021e0	Local\CurtainCBMutex
0x402287	0x5752ec	import	0x4021e0	KERNEL32.dll.CreateMutexW
0x402291	0x5752f0	import	0x4021e0	KERNEL32.dll.WaitForSingleObject
0x4022a0	0x575520	string	0x4021e0	Already running
0x4022d1	0x575508	string	0x4021e0	Global\MonStartShare
0x4022e1	0x5752f4	import	0x4021e0	KERNEL32.dll.CreateFileMappingA
0x402362	0x5752f8	import	0x4021e0	KERNEL32.dll.ReleaseMutex
0x402369	0x575300	import	0x4021e0	KERNEL32.dll.CloseHandle
0x40237b	0x5752e8	import	0x4021e0	KERNEL32.dll.QueryPerformanceCounter
0x40238f	0x57555c	string	0x4021e0	WinMain
0x402413	0x575320	import	0x402410	USER32.dll.GetClipboardSequenceNumber
0x4025b8	0x5752e4	import	0x4025b0	KERNEL32.dll.EnterCriticalSection
0x4025c2	0x5752e0	import	0x4025b0	KERNEL32.dll.LeaveCriticalSection
0x4025e9	0x5752e4	import	0x4025e0	KERNEL32.dll.EnterCriticalSection
0x4025fb	0x5752e0	import	0x4025e0	KERNEL32.dll.LeaveCriticalSection
0x402761	0x402781	string	0x402750	_^[]
0x4027c7	0x575578	string	0x402790	vector<T> too long
0x402875	0x57558c	string	0x402860	invalid map/set<T> iterator
0x402ac9	0x5755a8	string	0x402ab0	map/set<T> too long
0x402b44	0x402b62	string	0x402ab0	;B\bu:
0x402cec	0x5752e4	import	0x402ce0	KERNEL32.dll.EnterCriticalSection
0x402cfd	0x5752e0	import	0x402ce0	KERNEL32.dll.LeaveCriticalSection
0x402d2e	0x5752e0	import	0x402ce0	KERNEL32.dll.LeaveCriticalSection
0x402d4d	0x5752e0	import	0x402ce0	KERNEL32.dll.LeaveCriticalSection
0x402e29	0x402e18	string	0x402db0	;H\bu
0x402fb2	0x5752e4	import	0x402fa0	KERNEL32.dll.EnterCriticalSection
0x402fc1	0x5752dc	import	0x402fa0	KERNEL32.dll.HeapFree
0x402ff0	0x403032	string	0x402fa0	;sTu
0x403003	0x403032	string	0x402fa0	;sTu
0x40300f	0x403032	string	0x402fa0	;sTu
0x40302e	0x403020	string	0x402fa0	;p\bu\v
0x4030e6	0x5752e0	import	0x402fa0	KERNEL32.dll.LeaveCriticalSection
0x403134	0x5755ec	string	0x403100	CMyClipboard::Dump()
0x403160	0x5752e8	import	0x403100	KERNEL32.dll.QueryPerformanceCounter
0x4031c7	0x5755cc	string	0x403100	%5d\t%8x\t%d\t%ws
0x4031cd	0x57531c	import	0x403100	USER32.dll.wsprintfW
0x403263	0x403255	string	0x403100	;p\bu\v
0x40327a	0x5755bc	string	0x403100	Format order
0x403334	0x5752e8	import	0x403100	KERNEL32.dll.QueryPerformanceCounter
0x403354	0x5755ec	string	0x403100	CMyClipboard::Dump()
0x4036b1	0x575578	string	0x403640	vector<T> too long
0x40371c	0x575578	string	0x403640	vector<T> too long
0x4038b6	0x575108	import	0x403870	KERNEL32.dll.DeleteCriticalSection
0x4038c3	0x575164	import	0x403870	KERNEL32.dll.HeapDestroy
0x4038d0	0x575300	import	0x403870	KERNEL32.dll.CloseHandle
0x403952	0x5752e4	import	0x403940	KERNEL32.dll.EnterCriticalSection
0x4039b8	0x5752e0	import	0x403940	KERNEL32.dll.LeaveCriticalSection
0x4039df	0x5752e4	import	0x4039d0	KERNEL32.dll.EnterCriticalSection
0x403a00	0x403a06	string	0x4039d0	8X!t
0x403a09	0x4039f8	string	0x4039d0	9P\fs
0x403a5f	0x5752e0	import	0x4039d0	KERNEL32.dll.LeaveCriticalSection
0x403a74	0x5752e0	import	0x4039d0	KERNEL32.dll.LeaveCriticalSection
0x403a9e	0x5752e4	import	0x403a90	KERNEL32.dll.EnterCriticalSection
0x403ae5	0x403aff	string	0x403a90	h\fVW
0x403ae7	0x575614	string	0x403a90	TRUE
0x403aef	0x5752e0	import	0x403a90	KERNEL32.dll.LeaveCriticalSection
0x403aff	0x57560c	string	0x403a90	FALSE
0x403b0c	0x5752e0	import	0x403a90	KERNEL32.dll.LeaveCriticalSection
0x403b2d	0x5752e4	import	0x403b20	KERNEL32.dll.EnterCriticalSection
0x403b59	0x5752e0	import	0x403b20	KERNEL32.dll.LeaveCriticalSection
0x403ba2	0x403b90	string	0x403b70	9P\fs
0x403c87	0x5750fc	import	0x403c00	KERNEL32.dll.InitializeCriticalSection
0x403c95	0x575100	import	0x403c00	KERNEL32.dll.HeapCreate
0x403ccc	0x575104	import	0x403c00	KERNEL32.dll.CreateEventW
0x403ce3	0x575320	import	0x403c00	USER32.dll.GetClipboardSequenceNumber
0x403da2	0x5752e4	import	0x403d90	KERNEL32.dll.EnterCriticalSection
0x403df2	0x5752dc	import	0x403d90	KERNEL32.dll.HeapFree
0x403e51	0x5750f8	import	0x403d90	KERNEL32.dll.HeapAlloc
0x403eae	0x5752e0	import	0x403d90	KERNEL32.dll.LeaveCriticalSection
0x403f01	0x5750ec	import	0x403ed0	KERNEL32.dll.SetEvent
0x403f4d	0x5750f0	import	0x403ed0	KERNEL32.dll.FlushFileBuffers
0x403f54	0x5750f4	import	0x403ed0	KERNEL32.dll.DisconnectNamedPipe
0x403f5b	0x575300	import	0x403ed0	KERNEL32.dll.CloseHandle
0x403fcd	0x575664	string	0x403f90	\\.\pipe\CrCBPipe
0x40400e	0x575654	string	0x403f90	StartPipeServer
0x40402f	0x5752e8	import	0x403f90	KERNEL32.dll.QueryPerformanceCounter
0x404090	0x575644	string	0x403f90	GetFreeAccessSD
0x4040e2	0x5750d8	import	0x403f90	KERNEL32.dll.CreateNamedPipeW
0x404108	0x5750dc	import	0x403f90	KERNEL32.dll.ConnectNamedPipe
0x404116	0x5750e0	import	0x403f90	KERNEL32.dll.GetLastError
0x404125	0x575630	string	0x403f90	ConnectNamedPipe
0x404188	0x575300	import	0x403f90	KERNEL32.dll.CloseHandle
0x4041a5	0x575104	import	0x403f90	KERNEL32.dll.CreateEventW
0x4041c7	0x5750e4	import	0x403f90	KERNEL32.dll.CreateThread
0x4041d9	0x5752f0	import	0x403f90	KERNEL32.dll.WaitForSingleObject
0x4041e2	0x575300	import	0x403f90	KERNEL32.dll.CloseHandle
0x4041f0	0x57561c	string	0x403f90	CreateNamedPipeW
0x404204	0x575300	import	0x403f90	KERNEL32.dll.CloseHandle
0x404214	0x5750e8	import	0x403f90	KERNEL32.dll.LocalFree
0x404229	0x5752e8	import	0x403f90	KERNEL32.dll.QueryPerformanceCounter
0x40423d	0x575654	string	0x403f90	StartPipeServer
0x40487c	0x5750b8	import	0x404830	KERNEL32.dll.IsBadStringPtrA
