reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001039	0x102aff08	string	0x10001000	\r\nTot bytes:%d\r\nGroup %d:idx %d\r\n
0x100016bf	0x102aff30	string	0x10001000	%c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c %c%c |%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c\r\n
0x1000176c	0x102affa4	string	0x10001000	%c%c
0x10001c61	0x102b22a0	string	0x10001c50	invalid string position
0x10001db5	0x102b22a0	string	0x10001da0	invalid string position
0x10001df2	0x102b22b8	string	0x10001da0	string too long
0x10001ea0	0x102b22a0	string	0x10001e90	invalid string position
0x10001ede	0x10001ef5	string	0x10001e90	_^[]
0x10001fa4	0x102b22a0	string	0x10001f90	invalid string position
0x10001fc5	0x102b22b8	string	0x10001f90	string too long
0x10001fe0	0x102b22b8	string	0x10001f90	string too long
0x100020f7	0x102b22b8	string	0x10002080	string too long
0x10002111	0x102b22b8	string	0x10002080	string too long
0x100021b6	0x102b22b8	string	0x100021a0	string too long
0x100021cd	0x102b22b8	string	0x100021a0	string too long
0x100022c0	0x102b22b8	string	0x10002250	string too long
0x1000239f	0x102b22b8	string	0x10002390	string too long
0x10002992	0x1024b454	import	0x10002950	KERNEL32.dll.CreateEventA
0x100029b1	0x102b2304	string	0x10002950	boost::thread_resource_error
0x10002a7f	0x1024b480	import	0x10002a20	KERNEL32.dll.CloseHandle
0x10002a93	0x1024b468	import	0x10002a20	KERNEL32.dll.WaitForSingleObject
0x10002b06	0x1024b480	import	0x10002ae0	KERNEL32.dll.CloseHandle
0x10002bb7	0x102b2324	string	0x10002b60	boost unique_lock has no mutex
0x10002c0f	0x102b2344	string	0x10002b60	boost unique_lock owns already the mutex
0x10003ee9	0x1024b480	import	0x10003e10	KERNEL32.dll.CloseHandle
0x10003ef2	0x1024b450	import	0x10003e10	KERNEL32.dll.SetEvent
0x10003f0f	0x1024b450	import	0x10003e10	KERNEL32.dll.SetEvent
0x10003f88	0x1024b480	import	0x10003e10	KERNEL32.dll.CloseHandle
0x10003f95	0x1024b450	import	0x10003e10	KERNEL32.dll.SetEvent
0x1000414b	0x1024b480	import	0x10004060	KERNEL32.dll.CloseHandle
0x10004158	0x1024b450	import	0x10004060	KERNEL32.dll.SetEvent
0x100042e4	0x1024b450	import	0x10004240	KERNEL32.dll.SetEvent
0x10004330	0x102b238c	string	0x10004300	..\FixedFat\FFCB.cpp
0x10004349	0x102b238c	string	0x10004300	..\FixedFat\FFCB.cpp
0x1000437c	0x102b238c	string	0x10004300	..\FixedFat\FFCB.cpp
0x1000469f	0x1024b480	import	0x10004690	KERNEL32.dll.CloseHandle
0x100046b2	0x101fbe57	string	0x10004690	j\fh
0x10004988	0x102b23b8	string	0x10004920	%s\%08u\log.bin
0x10004be7	0x102b23e0	string	0x10004bb0	..\FixedFat\FFLogBinMng.cpp
0x10004c2c	0x102b23b8	string	0x10004bb0	%s\%08u\log.bin
