reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401769	0x4bad80	string	0x4016f0	USVW
0x40179f	0x4bad80	string	0x4016f0	USVW
0x40181f	0x4bad80	string	0x4017f0	USVW
0x401875	0x4bad80	string	0x4017f0	USVW
0x401a42	0x6e034c	string	0x401a20	.\crypto\cryptlib.c
0x401aa2	0x6e034c	string	0x401a20	.\crypto\cryptlib.c
0x401abf	0x6e034c	string	0x401a20	.\crypto\cryptlib.c
0x401adc	0x6e034c	string	0x401a20	.\crypto\cryptlib.c
0x401b08	0x6e034c	string	0x401af0	.\crypto\cryptlib.c
0x401b4c	0x6e034c	string	0x401af0	.\crypto\cryptlib.c
0x401c82	0x6de448	import	0x401c60	KERNEL32.dll.GetCurrentThreadId
0x401de8	0x6e0370	string	0x401dd0	OPENSSL_ia32cap
0x401e11	0x6e0368	string	0x401dd0	%I64i
0x401e4c	0x4b9940	string	0x401dd0	USVW3ҜX blocks=Basic Latin,Cyrillic
0x401e63	0x4b9940	string	0x401dd0	USVW3ҜX blocks=Basic Latin,Cyrillic
0x401ea8	0x6de4ec	import	0x401e80	KERNEL32.dll.GetModuleHandleA
0x401eb2	0x6e0398	string	0x401e80	_OPENSSL_isservice
0x401eb8	0x6de548	import	0x401e80	KERNEL32.dll.GetProcAddress
0x401edc	0x6de6c8	import	0x401e80	USER32.dll.GetDesktopWindow
0x401ee2	0x6de614	import	0x401e80	USER32.dll.GetProcessWindowStation
0x401efd	0x6de618	import	0x401e80	USER32.dll.GetUserObjectInformationW
0x401f0b	0x6de488	import	0x401e80	KERNEL32.dll.GetLastError
0x401f40	0x6de618	import	0x401e80	USER32.dll.GetUserObjectInformationW
0x401f58	0x6e0380	string	0x401e80	Service-0x
0x401fda	0x6de1bc	import	0x401fc0	KERNEL32.dll.GetStdHandle
0x401fe5	0x6de2b8	import	0x401fc0	KERNEL32.dll.GetFileType
0x40204f	0x6de494	import	0x401fc0	KERNEL32.dll.GetVersion
0x402066	0x73d8bc	string	0x401fc0	OPENSSL
