reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1800ebc57	0x1800ebbf1	string	0x1800eb59f	n01{
0x1800ec20f	0x1800ec201	string	0x1800eb59f	P/\v݄U blocks=Basic Latin,Syriac
0x1800ec63c	0x1800ec5df	string	0x1800eb59f	ckt>U
0x1800ed758	0x1800ed75a	string	0x1800eb59f	DllGetClassObject
0x1800ee867	0x1800ee8aa	string	0x1800eb59f	s}8`
0x1800eeb21	0x1800eeb77	string	0x1800eb59f	/y_.5Yk-
0x1800eee8d	0x1800eeebf	string	0x1800eb59f	#bp_
0x1800efe30	0x1800efddb	string	0x1800eb59f	y./Ax
0x1800f036b	0x1800f02fc	string	0x1800eb59f	U¤]ݷ blocks=Basic Latin,Latin-1 Supplement,Arabic Supplement
0x1800f1b8d	0x1800f1bfe	string	0x1800eb59f	l0wܱ- blocks=Basic Latin,Syriac
0x1800f1de5	0x1800f1e2b	string	0x1800eb59f	qرw4 blocks=Basic Latin,Arabic
