reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x114cc	0x13030	string	0x114b4	\Dev
0x11580	0x14008	import	0x114b4	ntoskrnl.exe.RtlInitUnicodeString
0x1159c	0x14048	import	0x114b4	ntoskrnl.exe.IoGetDeviceObjectPointer
0x115ec	0x12ab0	string	0x114b4	H;\rI&
0x11a20	0x130c0	string	0x11948	proxy
0x11a39	0x14008	import	0x11948	ntoskrnl.exe.RtlInitUnicodeString
0x11a4c	0x130d0	string	0x11948	ReferenceObjectBy
0x11a76	0x13100	string	0x11948	Name
0x11a91	0x14008	import	0x11948	ntoskrnl.exe.RtlInitUnicodeString
0x11a9c	0x14058	import	0x11948	ntoskrnl.exe.MmGetSystemRoutineAddress
0x11ac5	0x14068	import	0x11948	ntoskrnl.exe.IoDriverObjectType
0x11b2b	0x12ab0	string	0x11948	H;\rI&
0x11f4b	0x130d0	string	0x11ee4	ReferenceObjectBy
0x11f6a	0x13100	string	0x11ee4	Name
0x11f8a	0x14008	import	0x11ee4	ntoskrnl.exe.RtlInitUnicodeString
0x11f95	0x14058	import	0x11ee4	ntoskrnl.exe.MmGetSystemRoutineAddress
0x11fbd	0x14068	import	0x11ee4	ntoskrnl.exe.IoDriverObjectType
0x11ffa	0x14078	import	0x11ee4	ntoskrnl.exe.MmIsAddressValid
0x12065	0x14078	import	0x11ee4	ntoskrnl.exe.MmIsAddressValid
0x120b6	0x14030	import	0x11ee4	ntoskrnl.exe.ObfDereferenceObject
0x120c9	0x12ab0	string	0x11ee4	H;\rI&
0x1213d	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12179	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x1217f	0x13150	string	0x120f0	\WINDOWS\System32\DRIVERS\fltMgr.sys
0x121ad	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x121e2	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12217	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x1224c	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12281	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x122b6	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x122eb	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12320	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12355	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x1238a	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x123bf	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x123f4	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12429	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x1245e	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12493	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x124c8	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x124fd	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12532	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12567	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x1259c	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x125d1	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12606	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x1263b	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12670	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x126a5	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x126da	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x1270f	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12744	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12779	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x127ae	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x127e3	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x12818	0x140a8	import	0x120f0	ntoskrnl.exe._wcsrev
0x1283b	0x12ab0	string	0x120f0	H;\rI&
0x1288d	0x14090	import	0x1285c	ntoskrnl.exe._wcsicmp
0x12923	0x14088	import	0x128ec	ntoskrnl.exe._stricmp
0x129c3	0x14090	import	0x12998	ntoskrnl.exe._wcsicmp
0x12a0b	0x14050	import	0x12998	ntoskrnl.exe.ExAllocatePool
0x12e4a	0x140a0	import	0x12e4a	ntoskrnl.exe.PsGetProcessImageFileName
0x12e56	0x140b8	import	0x12e4a	ntoskrnl.exe.__C_specific_handler
0x12fbe	0x12ab0	string	0x12f60	H;\rI&
