reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4045a4	0x4045a8	string	0x404558	_^[]
0x404631	0x404635	string	0x4045e4	_^[]
0x4046da	0x4046f9	string	0x4046c8	+M49
0x4046f1	0x4046f9	string	0x4046c8	+M49
0x405cca	0x405c17	string	0x405bf5	9u\ft
0x4079bb	0x4079ad	string	0x407993	3,<a|
0x4098c4	0x40997d	string	0x409675	h@w\e
0x4098df	0x40997d	string	0x409675	h@w\e
0x4099a0	0x409eb5	string	0x409675	h@w\e
0x4099a8	0x409d65	string	0x409675	h@w\e
0x4099af	0x409cd3	string	0x409675	h@w\e
0x4099b6	0x409b89	string	0x409675	h@w\e
0x4099bd	0x409a68	string	0x409675	h@w\e
0x40a513	0x40a56c	string	0x40a507	S3ۃM blocks=Basic Latin,Arabic
0x40b436	0x40b445	string	0x40b3fb	9>wY
0x40b5af	0x40b5c3	string	0x40b517	9|$\f
0x40bafb	0x40bb6c	string	0x40ba0d	G;=h
0x40bb04	0x40bb6c	string	0x40ba0d	G;=h
0x40bb17	0x40bb6c	string	0x40ba0d	G;=h
0x40be29	0x40be4f	string	0x40bdc6	F;5h
0x40be38	0x40be4f	string	0x40bdc6	F;5h
0x40c2ef	0x40c312	string	0x40c14e	GGF;|$
0x40c30d	0x40c312	string	0x40c14e	GGF;|$
0x40c52c	0x40c564	string	0x40c50d	8]\bu\nSj
0x40c556	0x40c564	string	0x40c50d	8]\bu\nSj
0x40e4f3	0x40e533	string	0x40e4b9	_^[]
0x40e829	0x40e815	string	0x40e7de	f99t
0x40e85e	0x40e3d0	string	0x40e7de	SVj}Xf
0x40e9ab	0x40e3d0	string	0x40e7de	SVj}Xf
0x4100b1	0x4100b6	string	0x41009a	9H\b~
0x4112ad	0x4112b3	string	0x411297	RQPhH
0x411d01	0x411d06	string	0x411ccb	9u\fv&
0x413b26	0x413b2f	string	0x413ac6	_^][
0x41443c	0x41449f	string	0x414384	PVh\
0x414477	0x41449f	string	0x414384	PVh\
0x414809	0x413ac6	string	0x414802	SUVW
0x414a11	0x414a84	string	0x4149e3	j(ZRV
0x415972	0x415994	string	0x415927	WVSS
0x41598c	0x415994	string	0x415927	WVSS
