reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4045bb	0x40465d	string	0x404530	h\bgA
0x4045c4	0x40465d	string	0x404530	h\bgA
0x4045d3	0x40465d	string	0x404530	h\bgA
0x404816	0x40100c	string	0x4046bf	root
0x4048d1	0x401020	string	0x4046bf	.txt
0x4049aa	0x40102c	string	0x40490b	PopOpO03-3331111
0x404a4a	0x404a8e	string	0x4049c2	h gA
0x404ab1	0x404b23	string	0x4049c2	G;=8gA
0x404ab9	0x404b23	string	0x4049c2	G;=8gA
0x404acc	0x404b23	string	0x4049c2	G;=8gA
0x404dd0	0x404df6	string	0x404d6e	F;58gA
0x404ddf	0x404df6	string	0x404d6e	F;58gA
0x404e2b	0x404e39	string	0x404d6e	h gA
0x404f1a	0x401044	string	0x404e5a	\nPath: %s\n
0x404f4c	0x401050	string	0x404e5a	%s=%s\n
0x404ff4	0x401058	string	0x404fb4	cookie:
0x405084	0x401068	string	0x404fb4	ie_cookies
0x405119	0x401080	string	0x40510d	PStoreCreateInstance
0x40511e	0x401098	string	0x40510d	pstorec.dll
0x4051f9	0x4010a4	string	0x40510d	:StringData
0x4052ae	0x4052d1	string	0x40510d	GGF;|$
0x4052cc	0x4052d1	string	0x40510d	GGF;|$
0x405463	0x4010bc	string	0x40510d	\nIE Cookies:\n
0x405491	0x4010cc	string	0x40510d	Empty
0x405497	0x4010d4	string	0x40510d	Protected Storage:\n\n%S
0x4054ea	0x405522	string	0x4054ca	8]\bu\nSj
0x4054ec	0x401104	string	0x4054ca	Macromedia\Flash Player
0x405504	0x401134	string	0x4054ca	*.sol
0x405514	0x405522	string	0x4054ca	8]\bu\nSj
0x4056ae	0x401dc8	string	0x405558	nbsp;
0x40578f	0x401fcc	string	0x405744	rsldps
0x4057bf	0x401fdc	string	0x405744	09ck_=ldfuihpfre
0x4057e4	0x401ff0	string	0x405744	3709128dk0023444
0x40583e	0x40200c	string	0x405744	!!!0-0=9-0=23434
0x405874	0x402058	string	0x405744	~23324m'm434dKkl
0x4058a0	0x40206c	string	0x405744	3208()_*09303333
0x405913		string	0x405744	ColorAdjustLuma
0x405950	0x405986	string	0x405744	hDgA
0x40595f	0x4021d4	string	0x405744	HomeWorkMessage1
0x405979	0x405986	string	0x405744	hDgA
0x405d9d	0x405da9	string	0x405d91	h`gA
0x40657c	0x401d9c	string	0x4061c9	amer
0x406980	0x406779	string	0x4065f6	QSUVW
0x4074bf	0x4074f2	string	0x407486	9~\bu
0x40775a	0x4020b8	string	0x4076e0	0928394074595794
0x407771	0x4020b8	string	0x4076e0	0928394074595794
0x4077b4	0x402274	string	0x407784	!213KJhndkmnihjd
0x4077f6	0x402274	string	0x4077c8	!213KJhndkmnihjd
0x407816	0x4020cc	string	0x4077c8	809dslffsdfsdfgg
0x40782d	0x4020cc	string	0x4077c8	809dslffsdfsdfgg
0x407929	0x402058	string	0x407921	~23324m'm434dKkl
0x407945	0x4020cc	string	0x407921	809dslffsdfsdfgg
0x407951	0x4020b8	string	0x407921	0928394074595794
0x40795d	0x401fdc	string	0x407921	09ck_=ldfuihpfre
0x407969	0x401ff0	string	0x407921	3709128dk0023444
0x4079d0	0x40206c	string	0x4079c8	3208()_*09303333
0x4079f6	0x40206c	string	0x4079ea	3208()_*09303333
0x407a15	0x40200c	string	0x4079ea	!!!0-0=9-0=23434
0x407b98	0x402138	string	0x407b51	Internal command error at line %u.
0x407b9f	0x40211c	string	0x407b51	Script already executed.
0x407bbd	0x402100	string	0x407b51	Syntax error at line %u.
