reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401255	0x43e951	string	0x401211	hBbr
0x401292	0x43e951	string	0x401211	hBbr
0x40129d	0x406824	import	0x401211	kernel32.dll.GetModuleHandleA
0x401333	0x406824	import	0x40132a	kernel32.dll.GetModuleHandleA
0x401389	0x406820	import	0x40132a	kernel32.dll.GetTickCount
0x4013d3	0x406824	import	0x40132a	kernel32.dll.GetModuleHandleA
0x40176b	0x406820	import	0x4016ec	kernel32.dll.GetTickCount
0x40190f	0x406824	import	0x401903	kernel32.dll.GetModuleHandleA
0x401918		string	0x401903	hBbr
0x401935	0x406838	import	0x401903	kernel32.dll.QueryPerformanceCounter
0x40194c	0x40127f	string	0x401903	j\ejjj
0x4019af	0x406838	import	0x4019a4	kernel32.dll.QueryPerformanceCounter
0x401aa3	0x406838	import	0x401a71	kernel32.dll.QueryPerformanceCounter
0x401ad8		string	0x401a71	hBbr
0x401d1c		string	0x401cd3	Mln 65
0x401d37	0x406830	import	0x401cd3	kernel32.dll.VirtualProtect
0x401d72	0x43e951	string	0x401cd3	hBbr
0x401d8f	0x406820	import	0x401cd3	kernel32.dll.GetTickCount
0x401da2		string	0x401cd3	hBbr
0x401dda	0x43e951	string	0x401cd3	hBbr
0x401de0	0x43e951	string	0x401cd3	hBbr
0x401e61		string	0x401cd3	hBbr
0x401e79	0x406824	import	0x401cd3	kernel32.dll.GetModuleHandleA
0x401eb7	0x406830	import	0x401cd3	kernel32.dll.VirtualProtect
0x401ec0		string	0x401cd3	hBbr
0x401eef	0x406830	import	0x401cd3	kernel32.dll.VirtualProtect
0x401f3f	0x406824	import	0x401cd3	kernel32.dll.GetModuleHandleA
0x401f58	0x406820	import	0x401cd3	kernel32.dll.GetTickCount
0x401fb0		string	0x401cd3	hBbr
0x401fdd	0x43e951	string	0x401cd3	hBbr
0x402156	0x43e951	string	0x402151	hBbr
0x402167	0x406838	import	0x402151	kernel32.dll.QueryPerformanceCounter
0x40217b	0x43e951	string	0x402151	hBbr
0x402325	0x43e951	string	0x4022f7	hBbr
0x40233c	0x406830	import	0x4022f7	kernel32.dll.VirtualProtect
0x402342		string	0x4022f7	hBbr
0x402373	0x43e951	string	0x4022f7	hBbr
0x4023ad	0x406838	import	0x4022f7	kernel32.dll.QueryPerformanceCounter
0x402451	0x43e951	string	0x4022f7	hBbr
0x402483	0x406820	import	0x40246a	kernel32.dll.GetTickCount
0x402489		string	0x40246a	hBbr
0x40249b		string	0x40246a	hBbr
0x4024a6	0x43e951	string	0x40246a	hBbr
0x4024ca	0x406838	import	0x40246a	kernel32.dll.QueryPerformanceCounter
0x4024e7		string	0x40246a	Mln 65
0x402513		string	0x40246a	hBbr
0x40251b	0x406824	import	0x40246a	kernel32.dll.GetModuleHandleA
0x40253f	0x43e951	string	0x40246a	hBbr
0x402556		string	0x40246a	hBbr
0x402568	0x406820	import	0x40246a	kernel32.dll.GetTickCount
0x40258a	0x406830	import	0x40246a	kernel32.dll.VirtualProtect
0x402650	0x43e951	string	0x40246a	hBbr
0x402656	0x43e951	string	0x40246a	hBbr
0x402667	0x406830	import	0x40246a	kernel32.dll.VirtualProtect
0x40266d		string	0x40246a	hBbr
0x40268b	0x43e951	string	0x40246a	hBbr
0x4026e4		string	0x40246a	hBbr
0x4026f5	0x43e951	string	0x40246a	hBbr
0x402703	0x406838	import	0x40246a	kernel32.dll.QueryPerformanceCounter
0x40274e	0x406830	import	0x40246a	kernel32.dll.VirtualProtect
0x402754		string	0x40246a	hBbr
0x4027df	0x40682c	import	0x40246a	kernel32.dll.LoadLibraryExA
0x402829		string	0x40246a	hBbr
0x402837	0x43e951	string	0x40246a	hBbr
0x40286d	0x406830	import	0x40246a	kernel32.dll.VirtualProtect
0x4029fb		string	0x4029b0	hBbr
0x402a0c	0x406830	import	0x4029b0	kernel32.dll.VirtualProtect
0x402a1a		string	0x4029b0	hBbr
0x402a45		string	0x4029b0	hBbr
0x402a4b	0x406820	import	0x4029b0	kernel32.dll.GetTickCount
0x402a7e	0x406820	import	0x4029b0	kernel32.dll.GetTickCount
0x402aa4	0x406838	import	0x4029b0	kernel32.dll.QueryPerformanceCounter
0x402b4c		string	0x4029b0	hBbr
0x402c33	0x406828	import	0x402c2c	kernel32.dll.GetCurrentProcessId
0x402c41	0x406824	import	0x402c2c	kernel32.dll.GetModuleHandleA
0x402f32	0x406824	import	0x402ec6	kernel32.dll.GetModuleHandleA
0x402fcc	0x406838	import	0x402ec6	kernel32.dll.QueryPerformanceCounter
0x402fe4	0x43e951	string	0x402ec6	hBbr
