reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001082	0x10059874	import	0x10001020	USER32.dll.LoadIconW
0x100010fa	0x10059878	import	0x100010b0	USER32.dll.GetLastActivePopup
0x1000119e	0x10059768	string	0x10001190	kNT3rfecee42t96b2872ta3y-141ar4vvc-55aa00341dPP1
0x1000139c	0x1005988c	import	0x10001190	ADVAPI32.dll.RegQueryValueExA
0x10001403	0x10059864	import	0x100013e0	KERNEL32.dll.VirtualAlloc
0x100017f5	0x1005979c	string	0x100017d0	34gggg
0x100017fa	0x1005987c	import	0x100017d0	USER32.dll.LoadCursorFromFileW
0x10001800	0x10059868	import	0x100017d0	KERNEL32.dll.GetLastError
0x10001873	0x1005986c	import	0x100017d0	KERNEL32.dll.GetModuleHandleA
0x100019ee	0x10059880	import	0x100019d0	USER32.dll.LoadIconA
