reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10002637	0x100fb114	import	0x100022e0	KERNEL32.dll.VirtualProtect
0x10019b91	0x10019b9a	string	0x10018e43	|r̂- blocks=Basic Latin,Combining Diacritical Marks
0x1002fa81	0x1002fadf	string	0x1002fa15	$j赋H blocks=Basic Latin,CJK Unified Ideographs
0x100310c2	0x100310c4	string	0x1002fa15	B̮KA4 blocks=Basic Latin,Combining Diacritical Marks
0x100311f5	0x10031177	string	0x1002fa15	DVHIELH
0x100317a1	0x10031762	string	0x1002fa15	GamYh
0x10031b58	0x10031b29	string	0x1002fa15	\d)Gi
0x100325f7	0x100325f9	string	0x1002fa15	$\$H
0x10039703	0x10039705	string	0x1003926b	AHIu
0x10039e0b	0x10039dd9	string	0x1003926b	0EH(t
0x1004da80	0x1004da64	string	0x1004d83e	tOHH
0x1005571c	0x10055766	string	0x100552ee	H$H@t@
0x1005a007	0x1005a051	string	0x100594fa	HHs%
0x10067dec	0x10067e36	string	0x10067462	$HLH}H
0x1006a75c	0x1006a71f	string	0x1006a129	;\fHW
0x10070a55	0x10070a5a	string	0x1006ff1c	rHE (
0x100723eb	0x10072439	string	0x10071bb4	̷ÍHH blocks=Combining Diacritical Marks,Latin-1 Supplement,Basic Latin
0x10075380	0x100753c7	string	0x100752f8	H\tIIDtJM
0x10087af0	0x10087af2	string	0x10087594	P\fHHXrH
0x10087d1c	0x10087d67	string	0x10087594	(DxD
0x1008d72c	0x1008d6d3	string	0x1008d567	HHǋHH blocks=Basic Latin,Latin Extended-B
0x100a6ec7	0x100a6ed1	string	0x100a6cf4	0\bIH\v\b
0x100a7c23	0x100a7c72	string	0x100a6cf4	H +H
0x100af5da	0x100af59c	string	0x100aee41	A@BI
0x100b08a3	0x100b08b9	string	0x100b0800	2\fLHH
0x100b0bf6	0x100b0bf8	string	0x100b0800	HvԅCM$̳ blocks=Basic Latin,Cyrillic Supplement,Combining Diacritical Marks
0x100b0bf9	0x100b0bcf	string	0x100b0800	H#;H
0x100b65aa	0x100b6594	string	0x100b64bd	$HB@
0x100e1d99	0x100e1d9b	string	0x100e1d4e	EALO
0x100ee704	0x100ee712	string	0x100ee6b0	+L$\b
0x100ee708	0x100ee712	string	0x100ee6b0	+L$\b
0x100eec15	0x100fb0dc	import	0x100ee77b	KERNEL32.dll.GetSystemDirectoryA
0x100eec85	0x100eec8b	string	0x100ee77b	kD$8Q
0x100eedba	0x100eedfd	string	0x100ee77b	+t$H
0x100eedd8	0x100eedfd	string	0x100ee77b	+t$H
0x100ef499	0x100fb10c	import	0x100ee77b	KERNEL32.dll.Sleep
0x100efeda	0x10115bec	string	0x100efea0	thus bur
0x100efee5	0x100fb0b8	import	0x100efea0	KERNEL32.dll.FindFirstChangeNotificationA
0x100eff2c	0x10115bf8	string	0x100efea0	Clea
0x100eff36	0x100fb0e0	import	0x100efea0	KERNEL32.dll.GetEnvironmentVariableA
0x100f0210	0x10115c00	string	0x100f0210	string too long
0x100f03c4	0x10115c6c	string	0x100f03ba	bad allocation
0x100f04ed	0x10115c4c	string	0x100f04c6	Unknown exception
0x100f0f4e	0x100f0e06	string	0x100f0f37	j\fh\b
0x100f0fa2	0x10115d3c	string	0x100f0f98	bad array new length
0x100f126d	0x100fb124	import	0x100f1196	KERNEL32.dll.IsDebuggerPresent
0x100f128d	0x100fb12c	import	0x100f1196	KERNEL32.dll.SetUnhandledExceptionFilter
0x100f1297	0x100fb128	import	0x100f1196	KERNEL32.dll.UnhandledExceptionFilter
0x100f132e	0x100fb140	import	0x100f131c	KERNEL32.dll.GetSystemTimeAsFileTime
0x100f133d	0x100fb13c	import	0x100f131c	KERNEL32.dll.GetCurrentThreadId
0x100f1346	0x100fb118	import	0x100f131c	KERNEL32.dll.GetCurrentProcessId
0x100f1353	0x100fb138	import	0x100f131c	KERNEL32.dll.QueryPerformanceCounter
0x100f13b9	0x100fb144	import	0x100f13b4	KERNEL32.dll.InitializeSListHead
0x100f1469	0x100fb12c	import	0x100f1464	KERNEL32.dll.SetUnhandledExceptionFilter
0x100f1472	0x100fb128	import	0x100f1464	KERNEL32.dll.UnhandledExceptionFilter
0x100f147d	0x100fb148	import	0x100f1464	KERNEL32.dll.GetCurrentProcess
0x100f1484	0x100fb14c	import	0x100f1464	KERNEL32.dll.TerminateProcess
0x100f2166	0x100fb150	import	0x100f2106	KERNEL32.dll.RaiseException
0x100f229b	0x100f2a70	string	0x100f2220	UVWS
0x100f24e0	0x100fb154	import	0x100f24da	KERNEL32.dll.InterlockedFlushSList
0x100f255d	0x100fb110	import	0x100f254f	KERNEL32.dll.GetLastError
