reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10018b78	0x10018b00	string	0x10018017	=!0c
0x10027d43	0x10058f66	string	0x10027ab0	9D>@1
0x10027f60	0x10027f7b	string	0x10027d60	f9-t
0x10027fd1	0x10058f66	string	0x10027d60	9D>@1
0x100285cc	0x1003504c	import	0x10027d60	KERNEL32.dll.Sleep
0x10028916	0x100288f5	string	0x10028820	f;5b
0x100290e9	0x1003507c	import	0x100290d6	KERNEL32.dll.GetProcessHeap
0x100290fa	0x10035078	import	0x100290d6	KERNEL32.dll.HeapAlloc
0x10029110	0x10035074	import	0x100290d6	KERNEL32.dll.GetVersionExA
0x10029120	0x10035070	import	0x100290d6	KERNEL32.dll.HeapFree
0x10029146	0x10035070	import	0x100290d6	KERNEL32.dll.HeapFree
0x10029193	0x1002a277	string	0x100290d6	WhXR
0x100291ab	0x10035054	import	0x100290d6	KERNEL32.dll.GetCommandLineA
0x10029278	0x10029f9e	string	0x100290d6	j\fh0n
0x1002927f	0x1003506c	import	0x100290d6	KERNEL32.dll.GetCurrentThreadId
0x1002947f	0x10035090	import	0x100293c6	KERNEL32.dll.IsDebuggerPresent
0x10029494	0x1003508c	import	0x100293c6	KERNEL32.dll.SetUnhandledExceptionFilter
0x1002949f	0x10035088	import	0x100293c6	KERNEL32.dll.UnhandledExceptionFilter
0x100294bb	0x10035084	import	0x100293c6	KERNEL32.dll.GetCurrentProcess
0x100294c2	0x10035080	import	0x100293c6	KERNEL32.dll.TerminateProcess
0x10029572	0x10035060	import	0x1002954e	KERNEL32.dll.GetCPInfo
0x100297a3	0x100350a0	import	0x1002977c	KERNEL32.dll.GetOEMCP
0x100297c6	0x1003509c	import	0x1002977c	KERNEL32.dll.GetACP
0x10029821	0x100294f9	string	0x100297f6	SUVW
0x1002984c	0x10035060	import	0x100297f6	KERNEL32.dll.GetCPInfo
0x10029a17	0x10035098	import	0x100299a1	KERNEL32.dll.InterlockedDecrement
0x10029a36	0x10035094	import	0x100299a1	KERNEL32.dll.InterlockedIncrement
0x10029ace	0x10035098	import	0x100299a1	KERNEL32.dll.InterlockedDecrement
0x10029ca1	0x10035094	import	0x10029c99	KERNEL32.dll.InterlockedIncrement
0x10029d2b	0x10035098	import	0x10029d1f	KERNEL32.dll.InterlockedDecrement
0x10029e66	0x100350ac	import	0x10029e5f	KERNEL32.dll.TlsGetValue
0x10029e93	0x10035258	string	0x10029e5f	KERNEL32.DLL
0x10029e98	0x100350a8	import	0x10029e5f	KERNEL32.dll.GetModuleHandleA
0x10029ea2	0x10035248	string	0x10029e5f	EncodePointer
0x10029ea8	0x100350a4	import	0x10029e5f	KERNEL32.dll.GetProcAddress
0x10029ed2	0x100350ac	import	0x10029ecb	KERNEL32.dll.TlsGetValue
0x10029eff	0x10035258	string	0x10029ecb	KERNEL32.DLL
0x10029f04	0x100350a8	import	0x10029ecb	KERNEL32.dll.GetModuleHandleA
0x10029f0e	0x10035268	string	0x10029ecb	DecodePointer
0x10029f14	0x100350a4	import	0x10029ecb	KERNEL32.dll.GetProcAddress
0x10029f2e	0x100350b0	import	0x10029ecb	KERNEL32.dll.TlsAlloc
0x10029f3d	0x100350ac	import	0x10029f37	KERNEL32.dll.TlsGetValue
0x10029f5a	0x100350b4	import	0x10029f37	KERNEL32.dll.TlsSetValue
0x10029f8c	0x100350b8	import	0x10029f61	KERNEL32.dll.TlsFree
0x10029faa	0x10035258	string	0x10029f9e	KERNEL32.DLL
0x10029faf	0x100350a8	import	0x10029f9e	KERNEL32.dll.GetModuleHandleA
0x10029fcc	0x10035248	string	0x10029f9e	EncodePointer
0x10029fd2	0x100350a4	import	0x10029f9e	KERNEL32.dll.GetProcAddress
0x10029fe0	0x10035268	string	0x10029f9e	DecodePointer
0x1002a00a	0x10035094	import	0x10029f9e	KERNEL32.dll.InterlockedIncrement
0x1002a054	0x100350c0	import	0x1002a052	KERNEL32.dll.GetLastError
0x1002a06d	0x100350ac	import	0x1002a052	KERNEL32.dll.TlsGetValue
0x1002a0ab	0x10029f9e	string	0x1002a052	j\fh0n
0x1002a0b2	0x1003506c	import	0x1002a052	KERNEL32.dll.GetCurrentThreadId
0x1002a0ca	0x100350bc	import	0x1002a052	KERNEL32.dll.SetLastError
0x1002a17d	0x10035098	import	0x1002a0ed	KERNEL32.dll.InterlockedDecrement
0x1002a227	0x100350ac	import	0x1002a20e	KERNEL32.dll.TlsGetValue
0x1002a25d	0x1002a0ed	string	0x1002a20e	j\bhPn
0x1002a270	0x100350b4	import	0x1002a20e	KERNEL32.dll.TlsSetValue
0x1002a278	0x10035258	string	0x1002a277	KERNEL32.DLL
0x1002a27d	0x100350a8	import	0x1002a277	KERNEL32.dll.GetModuleHandleA
0x1002a293	0x100350a4	import	0x1002a277	KERNEL32.dll.GetProcAddress
0x1002a299	0x10035298	string	0x1002a277	FlsAlloc
0x1002a2a1	0x1003528c	string	0x1002a277	FlsGetValue
0x1002a2ae	0x10035280	string	0x1002a277	FlsSetValue
0x1002a2bb	0x10035278	string	0x1002a277	FlsFree
0x1002a2cf	0x100350b4	import	0x1002a277	KERNEL32.dll.TlsSetValue
0x1002a316	0x100350b0	import	0x1002a277	KERNEL32.dll.TlsAlloc
0x1002a38c	0x1002a0ed	string	0x1002a277	j\bhPn
0x1002a3d9	0x10029f9e	string	0x1002a277	j\fh0n
0x1002a3e0	0x1003506c	import	0x1002a277	KERNEL32.dll.GetCurrentThreadId
0x1002a565	0x10035090	import	0x1002a4bb	KERNEL32.dll.IsDebuggerPresent
0x1002a56f	0x1003508c	import	0x1002a4bb	KERNEL32.dll.SetUnhandledExceptionFilter
0x1002a579	0x10035088	import	0x1002a4bb	KERNEL32.dll.UnhandledExceptionFilter
0x1002a594	0x10035084	import	0x1002a4bb	KERNEL32.dll.GetCurrentProcess
0x1002a59b	0x10035080	import	0x1002a4bb	KERNEL32.dll.TerminateProcess
0x1002a759	0x100350c4	import	0x1002a731	KERNEL32.dll.EnterCriticalSection
0x1002a77c	0x100350c4	import	0x1002a760	KERNEL32.dll.EnterCriticalSection
0x1002a7ab	0x100350c8	import	0x1002a783	KERNEL32.dll.LeaveCriticalSection
0x1002a7ce	0x100350c8	import	0x1002a7b2	KERNEL32.dll.LeaveCriticalSection
0x1002b133	0x1002b13a	string	0x1002a93b	+E܉E blocks=Basic Latin,Syriac
0x1002b4ea	0x1003532c	string	0x1002b4ea	mscoree.dll
0x1002b4ef	0x100350a8	import	0x1002b4ea	KERNEL32.dll.GetModuleHandleA
0x1002b4f9	0x1003531c	string	0x1002b4ea	CorExitProcess
0x1002b4ff	0x100350a4	import	0x1002b4ea	KERNEL32.dll.GetProcAddress
0x1002b51e	0x10035068	import	0x1002b510	KERNEL32.dll.ExitProcess
0x1002b53a	0x1002b547	string	0x1002b537	;t$\br
0x1002b556	0x1002b567	string	0x1002b54f	;t$\fr
0x1002b55a	0x1002b56d	string	0x1002b54f	^ËL$ blocks=Basic Latin,Latin-1 Supplement
0x1002b5f0	0x1002dc82	string	0x1002b5e2	j\bh@o
0x1002b65b	0x1002dc82	string	0x1002b5e2	j\bh@o
0x1002b74a	0x1002b674	string	0x1002b742	j\fhxn
0x1002b759	0x1002b674	string	0x1002b753	j\fhxn
0x1002b816	0x10035070	import	0x1002b804	KERNEL32.dll.HeapFree
0x1002b827	0x100350c0	import	0x1002b804	KERNEL32.dll.GetLastError
0x1002b859	0x1003504c	import	0x1002b83c	KERNEL32.dll.Sleep
