reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10003226	0x1000329c	string	0x10002e39	R6028\r\n- unable to initialize heap\r\n
0x1000360d	0x10003678	string	0x10002e39	`h`hhh\b\b\axppwpp\b\b
0x100036c5	0x10003730	string	0x10002e39	`managed vector copy constructor iterator'
0x1000381f	0x10003890	string	0x10002e39	`placement delete[] closure'
0x100038f9	0x1000395c	string	0x10002e39	`eh vector vbase constructor iterator'
0x100039b2	0x10003a28	string	0x10002e39	`vector constructor iterator'
0x10003a17	0x10003a88	string	0x10002e39	`vector deleting destructor'
0x10003dd1	0x10003e40	string	0x10002e39	bad allocation
0x1000d435	0x1000d48f	string	0x1000c928	HI$$t%
0x10010438	0x100103c5	string	0x1000fe25	H0/E
0x100111c2	0x10011187	string	0x1000fe25	`BUHLH
0x10012400	0x10012414	string	0x100121d0	x^a4
0x10012b15	0x10012b17	string	0x100121d0	HL ̋ blocks=Basic Latin,Combining Diacritical Marks
0x100194ee	0x10003e50	string	0x10019480	bad locale name
0x10019a5c	0x10003e50	string	0x10019990	bad locale name
0x1001a377	0x10003e78	string	0x1001a320	ios_base::badbit set
0x1001a3ba	0x10003e90	string	0x1001a320	ios_base::failbit set
0x1001a3f8	0x10003ea8	string	0x1001a320	ios_base::eofbit set
0x1001a7b7	0x10001030	import	0x1001a780	KERNEL32.dll.VirtualProtectEx
0x1001a806	0x10083180	string	0x1001a7e0	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001afa2	0x10083180	string	0x1001af70	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001b077	0x100831a0	string	0x1001af70	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001b131	0x10083180	string	0x1001af70	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001b213	0x10083180	string	0x1001b200	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001b2b8	0x1001b2c2	string	0x1001b200	_][Y
0x1001b3f5	0x100831a0	string	0x1001b370	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001b493	0x10083180	string	0x1001b370	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001b565	0x10083180	string	0x1001b370	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001b6d4	0x100831a0	string	0x1001b370	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001b6f6	0x100831a0	string	0x1001b370	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001b702	0x10083180	string	0x1001b370	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001b799	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001b8b2	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001b9ce	0x10083180	string	0x1001b708	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001bac9	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001bc41	0x10083180	string	0x1001b708	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001bdb1	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001bdd4	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001beea	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001bf9b	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001bfa1	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001c027	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001c197	0x10001038	import	0x1001b708	KERNEL32.dll.Sleep
0x1001c20c	0x10083180	string	0x1001b708	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1001c3bd	0x100831a0	string	0x1001b708	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1001ff61	0x1001ff4b	string	0x1001fab1	&|N9
0x10025774	0x1002576d	string	0x1002522d	@Vk?
0x10025f96	0x10026011	string	0x10025f24	ʊz\b?a blocks=IPA Extensions,Basic Latin
0x10029269	0x100292ce	string	0x10029087	}0JA
0x10031b6c	0x10031b3c	string	0x1003152c	%!ll
0x10040ea7	0x10040ed9	string	0x100403c5	4{My
0x1004c1b9	0x10083180	string	0x1004c1b0	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1004c255	0x100831a0	string	0x1004c1b0	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1004c42b	0x10001040	import	0x1004c3e0	KERNEL32.dll.GetProcessHeap
0x1004c432	0x10001048	import	0x1004c3e0	KERNEL32.dll.HeapAlloc
0x1004c481	0x1000102c	import	0x1004c3e0	KERNEL32.dll.GetModuleFileNameA
0x1004c497	0x10083180	string	0x1004c3e0	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1004c4bb	0x100831a0	string	0x1004c3e0	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1004c929	0x10083180	string	0x1004c3e0	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1004c974	0x100831a0	string	0x1004c3e0	\a¤ÚÔ8&¹·Í\v6afª¤ blocks=Basic Latin,Latin-1 Supplement
0x1004c999	0x10083180	string	0x1004c3e0	T-<îµÏ blocks=Basic Latin,Latin-1 Supplement
0x1004d380	0x1004d397	string	0x1004d330	_^][
0x1004df8f	0x1004dfad	string	0x1004df10	WUQP
0x1004e2d8	0x1004e2e4	string	0x1004e210	3ۍD$hP blocks=Basic Latin,Arabic
0x1004e4d2	0x1004e504	string	0x1004e210	9l$d
0x1004e4d6	0x1004e504	string	0x1004e210	9l$d
0x1004e4e3	0x1004e504	string	0x1004e210	9l$d
0x1004ff82	0x10017e54	string	0x1004feb0	bad cast
0x10050682	0x10017e54	string	0x100505b0	bad cast
0x100507d2	0x10017e54	string	0x10050700	bad cast
0x10050b95	0x10003e60	string	0x10050b00	false
0x10050bb2	0x10003e68	string	0x10050b00	true
0x10050d73	0x10001088	import	0x10050d14	KERNEL32.dll.WideCharToMultiByte
0x10051134	0x1005113f	string	0x10051107	3\vΉF8 blocks=Basic Latin,Greek and Coptic
0x100511ad	0x10064174	string	0x100511a9	j\fh`
0x1005121f	0x100659e3	string	0x100511e4	j\fhH
0x10051365	0x10065a3f	string	0x10051317	j\fhh
0x100518b2	0x100518c3	string	0x1005189e	9^Ltv
0x100518b8	0x100518c3	string	0x1005189e	9^Ltv
0x100518bd	0x100518c3	string	0x1005189e	9^Ltv
0x10051d3c	0x10017e54	string	0x10051ce9	bad cast
0x10051fc9	0x10051fdc	string	0x10051fab	3#x3\b
0x100524f2	0x10003e60	string	0x100524aa	false
0x1005250c	0x10003e68	string	0x100524aa	true
0x10052a85	0x10052a91	string	0x10052a5a	3\t\aj
0x10052cd5	0x10017e54	string	0x10052c82	bad cast
0x10052eaf	0x10017e54	string	0x10052e5c	bad cast
0x10052f48	0x10017e54	string	0x10052ef5	bad cast
0x10052fe1	0x10017e54	string	0x10052f8e	bad cast
0x1005307a	0x10017e54	string	0x10053027	bad cast
0x10053615	0x1000145c	string	0x10053491	0123456789abcdefABCDEF
0x10054f50	0x1000108c	import	0x10054f48	KERNEL32.dll.InterlockedIncrement
0x10054f7c	0x10001090	import	0x10054f48	KERNEL32.dll.InterlockedDecrement
0x100550b5	0x10001498	string	0x100550a9	string too long
0x10055146	0x100014a8	string	0x1005513a	invalid string position
0x1005533d	0x10001094	import	0x100552e1	KERNEL32.dll.InterlockedCompareExchange
0x10055356	0x10066786	string	0x100552e1	j\bhH
0x1005537e	0x10001098	import	0x100552e1	KERNEL32.dll.InterlockedExchange
0x1005538f	0x10066786	string	0x100552e1	j\bhH
0x10055ad4	0x100014c4	string	0x10055aa3	$+xv
0x10055e32	0x10055e39	string	0x10055e20	;u\ft\eW
0x10055ee1	0x10055ee8	string	0x10055ecd	;u\ft
0x1005649e	0x100564a2	string	0x10056490	9T$\br
0x1005673c	0x10003e60	string	0x100566f1	false
0x1005675c	0x10003e68	string	0x100566f1	true
0x10057f2a	0x10001860	string	0x10057ef5	:Sun:Sunday:Mon:Monday:Tue:Tuesday:Wed:Wednesday:Thu:Thursday:Fri:Friday:Sat:Saturday
0x10057f67	0x100018b8	string	0x10057f32	:Jan:January:Feb:February:Mar:March:Apr:April:May:May:Jun:June:Jul:July:Aug:August:Sep:September:Oct:October:Nov:November:Dec:December
0x10058780	0x10017e54	string	0x1005872d	bad cast
0x10058819	0x10017e54	string	0x100587c6	bad cast
0x10059dbf	0x10017e54	string	0x10059d6c	bad cast
0x10059e58	0x10017e54	string	0x10059e05	bad cast
0x10059ef1	0x10017e54	string	0x10059e9e	bad cast
0x10059f8a	0x10017e54	string	0x10059f37	bad cast
0x1005a023	0x10017e54	string	0x10059fd0	bad cast
0x1005a0bc	0x10017e54	string	0x1005a069	bad cast
0x1005a155	0x10017e54	string	0x1005a102	bad cast
0x1005a1ee	0x10017e54	string	0x1005a19b	bad cast
0x1005a287	0x10017e54	string	0x1005a234	bad cast
0x1005a320	0x10017e54	string	0x1005a2cd	bad cast
0x1005a3b9	0x10017e54	string	0x1005a366	bad cast
0x1005a452	0x10017e54	string	0x1005a3ff	bad cast
0x1005a4eb	0x10017e54	string	0x1005a498	bad cast
0x1005a584	0x10017e54	string	0x1005a531	bad cast
0x1005aada	0x1000145c	string	0x1005a8ca	0123456789abcdefABCDEF
0x1005b362	0x1000145c	string	0x1005b152	0123456789abcdefABCDEF
