reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x100014f6	0x10001526	string	0x100014d0	F3ɋƺ blocks=Basic Latin,Latin Extended-B
0x1000151b	0x10001526	string	0x100014d0	F3ɋƺ blocks=Basic Latin,Latin Extended-B
0x10001627	0x1002e5f0	string	0x100015d0	ios_base::badbit set
0x1000166a	0x1002e608	string	0x100015d0	ios_base::failbit set
0x100016a8	0x1002e620	string	0x100015d0	ios_base::eofbit set
0x10001918	0x1002c030	import	0x100018d0	KERNEL32.dll.VirtualProtect
0x10001977	0x1002c028	import	0x100018d0	KERNEL32.dll.VirtualProtectEx
0x1000199f	0x1002c028	import	0x100018d0	KERNEL32.dll.VirtualProtectEx
0x10004394	0x10004321	string	0x100041a9	h}(C
0x10004eaa	0x10004e7f	string	0x100041a9	$;L0
0x10011bac	0x10011bc1	string	0x10011a90	3ۍt} blocks=Basic Latin,Arabic
0x10011bb0	0x10011bc1	string	0x10011a90	3ۍt} blocks=Basic Latin,Arabic
0x10011cfa	0x100019d0	string	0x10011a90	S$@H
0x10011d00	0x100329c8	string	0x10011a90	31bf3856ad364e35~x86~~6.1.7601.17514" update="INF_cxfalcon_ibv32"/>\r\n <Install package="Microsoft-Windows-Tuner-Drivers-Package~31bf3856ad364e35~x86~~6.1.7601.17514" update="INF_cxfalpal_ibv32"/>\r\n <Install package="Microsoft-Windows-Tuner-Drivers-Package~31bf385
0x10011dad	0x10011dba	string	0x10011a90	J+ʉT$ blocks=Basic Latin,IPA Extensions
0x10011e6f	0x1002c020	import	0x10011a90	KERNEL32.dll.Sleep
0x1001201e	0x1002c024	import	0x10011fc0	KERNEL32.dll.GetTempPathW
0x10013016	0x10013042	string	0x10012f90	WUQP
0x10014c3c	0x10057758	string	0x10014b70	bad cast
0x10014d8e	0x10057758	string	0x10014cc0	bad cast
0x10014f9a	0x10014fe3	string	0x10014f40	3\t\aǄ$ blocks=Basic Latin,Latin Extended-B
0x10015128	0x1002e5e0	string	0x10015090	false
0x10015144	0x1002e5e8	string	0x10015090	true
0x10015318	0x1001535d	string	0x100152da	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x1001533f	0x1002c034	import	0x100152da	KERNEL32.dll.WideCharToMultiByte
0x1001534d	0x1001535d	string	0x100152da	_^]Ë blocks=Basic Latin,Latin-1 Supplement
0x100154e7	0x100186a6	string	0x100154d3	j\fh`
0x10015693	0x1001569a	string	0x10015681	;u\ft\eW
0x1001574e	0x10015755	string	0x1001573a	;u\ft
0x10015b24	0x10015b2f	string	0x10015af7	3\vΉF8 blocks=Basic Latin,Greek and Coptic
0x10015c90	0x100193b7	string	0x10015c49	j\fh\b
0x10015fd7	0x10016026	string	0x10015f94	_^[]
0x10016006	0x10016026	string	0x10015f94	_^[]
0x100160c8	0x10019413	string	0x100160a2	j\fh(
0x1001629e	0x10019674	string	0x1001610f	j\fhh
0x100162da	0x10019602	string	0x1001610f	j\fhH
0x1001679a	0x100167ab	string	0x10016786	9^Lth
0x100167a0	0x100167ab	string	0x10016786	9^Lth
0x100167a5	0x100167ab	string	0x10016786	9^Lth
0x10016905	0x10019b95	string	0x100168e9	j\fhȄ blocks=Basic Latin,Latin Extended-B
0x10016978	0x10057758	string	0x10016921	bad cast
0x10016a15	0x10057758	string	0x100169be	bad cast
0x10016b86	0x10016b97	string	0x10016b5d	8]\ft\tV
0x10016d1d	0x100186a6	string	0x10016cd5	j\fh`
0x10016f77	0x1002c038	import	0x10016f6d	KERNEL32.dll.InterlockedIncrement
0x10016fa3	0x1002c03c	import	0x10016f6d	KERNEL32.dll.InterlockedDecrement
0x10017133	0x1002c358	string	0x10017127	string too long
0x1001716b	0x1002c368	string	0x1001715f	invalid string position
0x10017305	0x1002c040	import	0x100172a0	KERNEL32.dll.InterlockedCompareExchange
0x1001731e	0x1001a3b9	string	0x100172a0	j\bh(
0x10017324	0x100186a6	string	0x100172a0	j\fh`
0x10017331	0x100186a6	string	0x100172a0	j\fh`
0x10017348	0x1002c044	import	0x100172a0	KERNEL32.dll.InterlockedExchange
0x10017359	0x1001a3b9	string	0x100172a0	j\bh(
0x1001735f	0x100186a6	string	0x100172a0	j\fh`
0x100177eb	0x1002c04c	import	0x100177e3	KERNEL32.dll.InitializeCriticalSection
0x100177fb	0x1002c050	import	0x100177f3	KERNEL32.dll.DeleteCriticalSection
0x1001780b	0x1002c054	import	0x10017803	KERNEL32.dll.EnterCriticalSection
0x1001781b	0x1002c058	import	0x10017813	KERNEL32.dll.LeaveCriticalSection
0x10017860	0x1001788b	string	0x10017832	_^]ËC` blocks=Basic Latin,Latin-1 Supplement
0x1001797c	0x100186a6	string	0x1001796d	j\fh`
0x1001798a	0x1002c390	string	0x1001796d	Unknown exception
0x10017b08	0x1001a2f0	string	0x10017aed	j\fh\b
0x10017bfe	0x1002c06c	import	0x10017b22	KERNEL32.dll.IsDebuggerPresent
0x10017c08	0x1002c068	import	0x10017b22	KERNEL32.dll.SetUnhandledExceptionFilter
0x10017c15	0x1002c064	import	0x10017b22	KERNEL32.dll.UnhandledExceptionFilter
0x10017c30	0x1002c060	import	0x10017b22	KERNEL32.dll.GetCurrentProcess
0x10017c37	0x1002c05c	import	0x10017b22	KERNEL32.dll.TerminateProcess
0x10017c91	0x100186a6	string	0x10017c8b	j\fh`
0x10017d6f	0x1001d941	string	0x10017d66	j\fh8
0x10017e6d	0x1002c074	import	0x10017e37	KERNEL32.dll.GetCommandLineA
0x10017e82	0x1001dd92	string	0x10017e37	jThx
0x10017f3d	0x1002c070	import	0x10017e37	KERNEL32.dll.GetCurrentThreadId
0x10017f4c	0x100186a6	string	0x10017e37	j\fh`
0x1001807b	0x10017f6c	string	0x10018064	j\fh@
0x100181f9	0x1002c078	import	0x10018112	KERNEL32.dll.GetCPInfo
0x100183a3	0x1002c03c	import	0x10018112	KERNEL32.dll.InterlockedDecrement
0x100183b9	0x100186a6	string	0x10018112	j\fh`
0x100183cc	0x100186a6	string	0x10018112	j\fh`
0x100183da	0x100186a6	string	0x10018112	j\fh`
0x100183e5	0x100186a6	string	0x10018112	j\fh`
0x1001842c	0x100186a6	string	0x10018112	j\fh`
0x10018439	0x100186a6	string	0x10018112	j\fh`
0x10018441	0x100186a6	string	0x10018112	j\fh`
0x10018449	0x100186a6	string	0x10018112	j\fh`
0x10018451	0x100186a6	string	0x10018112	j\fh`
0x1001846b	0x1002c03c	import	0x10018112	KERNEL32.dll.InterlockedDecrement
0x10018479	0x1002c620	string	0x10018112	((((( H
0x100184cf	0x1001a2f0	string	0x100184b2	j\fh\b
0x10018514	0x1001a2f0	string	0x100184f7	j\fh\b
0x1001853a	0x1001a2f0	string	0x1001851d	j\fh\b
0x1001869c	0x1002c07c	import	0x1001865a	KERNEL32.dll.RaiseException
0x1001870e	0x1002c084	import	0x100186fc	KERNEL32.dll.HeapFree
0x1001871f	0x1002c080	import	0x100186fc	KERNEL32.dll.GetLastError
0x10018964	0x10018971	string	0x10018903	jjjjj
0x10018d2c	0x10019602	string	0x10018bdc	j\fhH
0x10018d37	0x10018d81	string	0x10018bdc	Y_^[
0x10019343	0x10019356	string	0x100192dd	9}\bu
0x100199a9	0x100199c6	string	0x1001995c	^_]Ë blocks=Basic Latin,Latin-1 Supplement
0x100199c2	0x100199c6	string	0x1001995c	^_]Ë blocks=Basic Latin,Latin-1 Supplement
0x10019b4c	0x10019b90	string	0x10019b1e	_^[]
0x10019b82	0x100186a6	string	0x10019b1e	j\fh`
0x10019e1f	0x100186a6	string	0x10019d4f	j\fh`
0x10019e5e	0x1002c054	import	0x10019e26	KERNEL32.dll.EnterCriticalSection
0x10019e91	0x1002c054	import	0x10019e67	KERNEL32.dll.EnterCriticalSection
0x10019ecd	0x1002c058	import	0x10019e99	KERNEL32.dll.LeaveCriticalSection
0x10019efc	0x1002c058	import	0x10019ed5	KERNEL32.dll.LeaveCriticalSection
0x1001a000	0x1002c068	import	0x10019f04	KERNEL32.dll.SetUnhandledExceptionFilter
0x1001a00d	0x1002c064	import	0x10019f04	KERNEL32.dll.UnhandledExceptionFilter
0x1001a056	0x100186a6	string	0x1001a01b	j\fh`
0x1001a077	0x100186a6	string	0x1001a01b	j\fh`
0x1001a08f	0x100186a6	string	0x1001a01b	j\fh`
0x1001a09a	0x100186a6	string	0x1001a01b	j\fh`
0x1001a0bb	0x100186a6	string	0x1001a01b	j\fh`
0x1001a0ce	0x100186a6	string	0x1001a01b	j\fh`
0x1001a0dc	0x100186a6	string	0x1001a01b	j\fh`
0x1001a0e7	0x100186a6	string	0x1001a01b	j\fh`
0x1001a10e	0x100186a6	string	0x1001a01b	j\fh`
0x1001a133	0x100186a6	string	0x1001a01b	j\fh`
0x1001a14a	0x100186a6	string	0x1001a01b	j\fh`
0x1001a159	0x100186a6	string	0x1001a01b	j\fh`
0x1001a16b	0x1002c038	import	0x1001a164	KERNEL32.dll.InterlockedIncrement
0x1001a206	0x1002c03c	import	0x1001a1f3	KERNEL32.dll.InterlockedDecrement
0x1001a3e4	0x1002c03c	import	0x1001a3b9	KERNEL32.dll.InterlockedDecrement
