reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4011ae	0x4637dc	string	0x401000	^'¿TXå\Y blocks=Basic Latin,Latin-1 Supplement
0x40135a	0x4637dc	string	0x401000	^'¿TXå\Y blocks=Basic Latin,Latin-1 Supplement
0x40194c	0x463850	string	0x401000	Ua°,¼É blocks=Basic Latin,Latin-1 Supplement
0x401976	0x443078	import	0x401000	KERNEL32.dll.GetModuleFileNameW
0x401e53	0x401e79	string	0x401000	*\$0
0x401ef2	0x443020	import	0x401000	KERNEL32.dll.Sleep
0x4021fc	0x44301c	import	0x401000	KERNEL32.dll.GetSystemDirectoryW
0x402215	0x4637dc	string	0x401000	^'¿TXå\Y blocks=Basic Latin,Latin-1 Supplement
0x40223b	0x443084	import	0x401000	KERNEL32.dll.VirtualProtect
0x402305	0x4637dc	string	0x401000	^'¿TXå\Y blocks=Basic Latin,Latin-1 Supplement
0x40230c	0x4637dc	string	0x401000	^'¿TXå\Y blocks=Basic Latin,Latin-1 Supplement
0x402915	0x44308c	import	0x402910	KERNEL32.dll.SetUnhandledExceptionFilter
0x40291f	0x443088	import	0x402910	KERNEL32.dll.UnhandledExceptionFilter
0x40292a	0x443090	import	0x402910	KERNEL32.dll.GetCurrentProcess
0x402931	0x443094	import	0x402910	KERNEL32.dll.TerminateProcess
0x402d39	0x402d3f	string	0x402cf0	hT4G
0x403022	0x4430a8	import	0x403010	KERNEL32.dll.GetSystemTimeAsFileTime
0x403037	0x4430a4	import	0x403010	KERNEL32.dll.GetCurrentThreadId
0x403043	0x4430a0	import	0x403010	KERNEL32.dll.GetCurrentProcessId
0x403053	0x44309c	import	0x403010	KERNEL32.dll.QueryPerformanceCounter
0x403138	0x4430ac	import	0x403130	KERNEL32.dll.InitializeSListHead
0x40331a	0x4430b0	import	0x403240	KERNEL32.dll.IsDebuggerPresent
0x403346	0x44308c	import	0x403240	KERNEL32.dll.SetUnhandledExceptionFilter
