reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x405927	0x405929	string	0x40590a	bvXE
0x405985	0x405987	string	0x40590a	nFWr
0x40598a	0x40598c	string	0x40590a	bvXE
0x405a50	0x405a52	string	0x40590a	bvXE
0x405b56	0x405b58	string	0x40590a	\e,![R
0x405ba0	0x405ba2	string	0x40590a	CNCl
0x405e97	0x405f01	string	0x40590a	CNCl
0x4061ac	0x4061b9	string	0x40590a	B@Ew
0x406307	0x406371	string	0x4062a3	8228
0x406786	0x406788	string	0x4062a3	nFWr
0x4068b7	0x4068b9	string	0x4062a3	8228
0x4086c0	0x4086c2	string	0x408550	CNCl
0x4087f7	0x4087f9	string	0x408550	'hw_06
0x408910	0x408912	string	0x408550	8228
0x409dfd	0x409dff	string	0x409d9f	nFWr
0x40df89	0x40df8b	string	0x40def2	CNCl
0x40e0b2	0x40e0b4	string	0x40def2	RCOg77
0x40e22a	0x40e28e	string	0x40def2	1480
0x40e3ea	0x40e3ec	string	0x40def2	I*}DI52
0x40ed0d	0x40ed77	string	0x40eb6c	CNCl
0x40f145	0x40f147	string	0x40f008	nFWr
0x40f1e6	0x40f1e8	string	0x40f008	)]p(
0x40f20c	0x40f20e	string	0x40f008	bvXE
0x40f5bf	0x40f5c1	string	0x40f58e	Loppet
0x40f645	0x40f6aa	string	0x40f58e	Deoxidator
0x40f69e	0x40f6a0	string	0x40f58e	Millstock
0x40f6ad	0x40f718	string	0x40f58e	Lymphangioplasty
0x40f6b3	0x40f6b5	string	0x40f58e	DllRegisterServer
0x40f70e	0x40f710	string	0x40f58e	Midnoon
0x40f727	0x40f729	string	0x40f58e	Hypomania
0x410381	0x428008	import	0x410237	comdlg32.dll.ChooseFontW
0x410878	0x428008	import	0x410869	comdlg32.dll.ChooseFontW
0x4109cf	0x428008	import	0x41095d	comdlg32.dll.ChooseFontW
0x4109ee	0x40f209	string	0x41095d	nFWr
0x410cc9	0x428008	import	0x410c88	comdlg32.dll.ChooseFontW
0x410cd9	0x418a0e	string	0x410c88	jDjxPW
0x410d38	0x428008	import	0x410d0f	comdlg32.dll.ChooseFontW
0x410d72	0x428008	import	0x410d53	comdlg32.dll.ChooseFontW
0x410df8	0x428008	import	0x410df8	comdlg32.dll.ChooseFontW
0x410f16	0x428064	import	0x410edb	kernel32.dll.GetModuleHandleW
0x410f94	0x428008	import	0x410edb	comdlg32.dll.ChooseFontW
0x41109c	0x428060	import	0x41105a	kernel32.dll.VirtualProtectEx
0x4110a2		string	0x41105a	nFWr
0x4110ae	0x41181f	string	0x41105a	Wjxj
0x41114e	0x407d80	string	0x411131	4766
0x411173	0x428008	import	0x411131	comdlg32.dll.ChooseFontW
0x411188	0x407d80	string	0x411131	4766
0x4111b2		string	0x411131	0686
0x4111bd	0x428008	import	0x411131	comdlg32.dll.ChooseFontW
0x4111e9		string	0x411131	4766
0x411233	0x40f209	string	0x411131	nFWr
0x41123b	0x40f209	string	0x411131	nFWr
0x4112ad	0x428060	import	0x411131	kernel32.dll.VirtualProtectEx
0x41135a	0x407ef7	string	0x411315	GGqD
0x411368	0x428008	import	0x411315	comdlg32.dll.ChooseFontW
0x41136e		string	0x411315	x/c\t
0x4113ad	0x407ef7	string	0x411315	GGqD
0x4113b9	0x40a9b0	string	0x411315	x/c\t
0x4113e3	0x428008	import	0x411315	comdlg32.dll.ChooseFontW
0x41180a	0x428060	import	0x4117d8	kernel32.dll.VirtualProtectEx
0x41183c	0x428008	import	0x4117d8	comdlg32.dll.ChooseFontW
0x41185c		string	0x4117d8	nFWr
0x411a14	0x428008	import	0x411a03	comdlg32.dll.ChooseFontW
0x411a48	0x428068	import	0x411a03	kernel32.dll.LoadLibraryA
0x411a77	0x42806c	import	0x411a03	kernel32.dll.GetProcAddress
0x411bab	0x428064	import	0x411b9d	kernel32.dll.GetModuleHandleW
0x411c19	0x40e606	string	0x411b9d	m4\eb
0x411c38	0x40d74a	string	0x411b9d	UiWW
0x411cf0	0x428064	import	0x411cb7	kernel32.dll.GetModuleHandleW
0x411cfe	0x428064	import	0x411cb7	kernel32.dll.GetModuleHandleW
0x411d0a	0x40f209	string	0x411cb7	nFWr
0x411d3b	0x428008	import	0x411cb7	comdlg32.dll.ChooseFontW
0x4121e4	0x428008	import	0x412195	comdlg32.dll.ChooseFontW
0x4121fe	0x428008	import	0x412195	comdlg32.dll.ChooseFontW
0x41226b	0x428008	import	0x412195	comdlg32.dll.ChooseFontW
0x412301	0x428060	import	0x4122c9	kernel32.dll.VirtualProtectEx
0x412312	0x428068	import	0x4122c9	kernel32.dll.LoadLibraryA
0x412332	0x40e789	string	0x4122c9	\h2q
0x41236a	0x40b43d	string	0x41235b	hlYk\v|
0x412381	0x40c7db	string	0x41235b	i'*I>Mjq
0x412702	0x428060	import	0x4126ac	kernel32.dll.VirtualProtectEx
0x412795	0x428008	import	0x41277d	comdlg32.dll.ChooseFontW
0x41279b		string	0x41277d	\t<\n5
0x4127b5	0x428068	import	0x41277d	kernel32.dll.LoadLibraryA
0x412a25	0x428068	import	0x4129d9	kernel32.dll.LoadLibraryA
0x412ed9	0x428008	import	0x412ec3	comdlg32.dll.ChooseFontW
0x412ef7	0x40f209	string	0x412ec3	nFWr
0x413037	0x428008	import	0x413029	comdlg32.dll.ChooseFontW
